sc_point_gid,class,capacity,capital_adder_per_mw,cf
156885,2,204.0,-7288.8,0.1735
156886,2,210.0,-16515.63,0.1605
156887,2,234.0,-22595.49,0.1854
156888,4,270.0,-4267.0,0.247
156889,3,282.0,-17115.17,0.2209
156890,5,258.0,80963.64,0.2799
156891,4,246.0,87472.83,0.2446
156892,5,258.0,46625.12,0.278
156893,4,264.0,24440.13,0.2404
156894,5,270.0,38626.5,0.2648
156895,6,282.0,32892.8,0.3195
156896,4,276.0,-13413.56,0.2494
156897,4,258.0,-14665.49,0.2341
156898,3,234.0,33425.35,0.2128
156899,4,252.0,6253.12,0.2425
156900,5,222.0,15078.14,0.2685
156901,3,222.0,59586.12,0.2149
156902,3,252.0,30853.49,0.2023
156903,4,252.0,9220.41,0.2564
156904,5,288.0,-3799.29,0.2862
156905,3,270.0,82170.53,0.1915
156906,3,246.0,269923.73,0.2004
156907,3,270.0,51100.77,0.1987
156908,3,258.0,38936.61,0.1937
156909,2,252.0,94011.07,0.1751
156910,3,276.0,55315.73,0.2024
156911,8,288.0,59400.87,0.3686
156912,8,288.0,37841.66,0.3687
156913,7,288.0,26027.58,0.3323
156914,6,288.0,19832.51,0.3103
156915,5,282.0,-5756.19,0.2762
156916,4,270.0,-14627.74,0.2595
156917,5,264.0,-21393.97,0.273
156918,4,270.0,-28434.89,0.257
156919,4,258.0,-27674.77,0.2562
156920,5,264.0,-28515.01,0.2687
156921,5,276.0,-31587.65,0.2733
156922,4,258.0,-5952.1,0.256
156923,5,258.0,-40519.02,0.2652
156924,5,270.0,-43575.61,0.2893
156925,6,198.0,-22680.08,0.3252
156926,8,204.0,-20566.72,0.364
156927,9,270.0,-34612.41,0.4053
156928,9,258.0,-30963.68,0.4095
156929,9,270.0,-35220.69,0.4132
156930,9,276.0,-32902.52,0.406
156931,9,270.0,-31310.83,0.4079
156932,9,270.0,-31586.4,0.4028
156933,9,258.0,-22154.12,0.4
156934,8,264.0,-21848.5,0.3907
156935,9,270.0,-28422.52,0.3941
156936,9,276.0,-30832.29,0.3977
156937,8,276.0,-35205.3,0.3874
156938,8,270.0,-33002.92,0.3852
156939,9,270.0,-23284.25,0.3949
156940,9,252.0,-32027.33,0.3962
156941,9,264.0,-33208.94,0.4024
156942,9,276.0,-24247.61,0.4046
156943,9,270.0,-23681.68,0.4101
156944,9,252.0,-32763.54,0.4207
156945,9,270.0,-39148.88,0.4147
156946,7,246.0,-45159.7,0.3407
156947,6,234.0,-50442.27,0.3234
156948,7,258.0,-49938.21,0.3293
156949,7,258.0,-46897.62,0.3505
156950,7,258.0,-45767.01,0.3323
156951,8,252.0,-46025.12,0.3719
156952,8,276.0,-54370.13,0.3893
156953,8,252.0,-50562.81,0.3647
156954,8,270.0,-54323.36,0.3624
156955,8,252.0,-46624.55,0.3723
156956,8,270.0,-53789.69,0.3865
156957,8,270.0,-53227.07,0.3741
156958,9,276.0,-53237.85,0.4194
156959,9,288.0,-50335.06,0.421
156960,10,276.0,-55046.77,0.4281
156961,9,264.0,-57750.11,0.4188
156962,9,276.0,-51422.02,0.4258
156963,10,276.0,-56092.86,0.458
