sc_point_gid,class,capacity,capital_adder_per_mw,cf
57628,1,5544.89,161068.78,0.2113
57629,1,4543.94,105464.26,0.2089
57630,1,4095.59,441957.89,0.2065
57631,1,2958.01,821092.14,0.2026
57632,1,4891.51,1024002.63,0.1976
57633,1,5237.95,496102.5,0.1924
57634,1,5338.56,62894.73,0.1932
57635,1,5495.2,12406.23,0.1966
57636,1,4401.53,13307.83,0.2077
57637,1,5038.54,12964.99,0.2138
57638,1,3847.39,12973.7,0.2294
57639,2,5165.47,35418.04,0.2402
57640,2,5466.65,28578.69,0.2477
57641,2,5287.83,35573.88,0.2546
57642,2,5468.22,26664.95,0.255
57643,2,5550.76,28069.55,0.2556
57644,3,5449.39,-1815.91,0.2633
57645,3,5639.34,-12340.82,0.2696
57646,3,5610.28,-15952.47,0.2677
57647,3,5483.49,-15936.58,0.2659
57648,3,5501.87,-19917.89,0.2642
57649,3,4722.56,19305.58,0.2592
57650,3,5003.69,233019.31,0.2579
57651,3,5564.36,58370.36,0.2599
57652,3,5343.89,-17193.05,0.2639
57653,3,3473.1,-26518.34,0.264
57654,2,1935.79,50820.78,0.2563
57655,2,3032.6,44564.52,0.2536
57656,2,5638.07,51633.37,0.2542
57657,2,5590.38,7763.27,0.2555
57658,2,5680.19,-29503.22,0.2565
57659,2,5632.53,-38678.63,0.255
57660,2,5204.61,-42047.23,0.2536
57661,2,5239.36,-45360.81,0.253
57662,2,5206.67,-45944.21,0.2529
57663,2,5488.13,-46495.0,0.2506
57664,2,5523.95,-47624.24,0.2467
57665,2,5225.35,-45120.9,0.2463
57666,2,5310.12,-42481.4,0.2444
57667,2,5401.76,-43266.08,0.242
57668,2,5593.16,-39164.63,0.2404
57669,2,5567.4,74056.76,0.2404
57670,2,5595.11,38045.81,0.2375
57671,1,5582.6,12074.51,0.2315
57672,1,5651.23,-22701.14,0.23
57673,1,5548.4,-17081.59,0.2258
57674,1,5390.02,-25697.68,0.2219
57675,1,5315.37,-21707.34,0.2174
57676,1,5637.15,-24418.36,0.2175
57677,1,5589.68,-25697.63,0.2156
57678,1,3760.84,-25542.61,0.2144
57679,1,3539.08,-31466.81,0.2169
57680,1,1830.69,-32150.94,0.2142
57681,1,2840.09,-29775.54,0.2168
57682,1,4842.15,-31630.03,0.2137
57683,1,5201.01,-31417.85,0.2152
57684,1,4484.45,-28329.69,0.2186
57685,1,1985.73,-12463.75,0.2169
57686,1,4505.72,-4021.66,0.2184
57687,1,3235.86,-13129.95,0.2199
57688,1,3417.64,-9147.56,0.2203
57689,1,3756.77,12126.0,0.2215
57690,1,5417.44,57447.92,0.2138
57691,1,5062.96,-11899.82,0.2123
57692,1,1341.95,-2447.17,0.207
57693,1,2806.21,-27541.07,0.2215
57694,1,4750.65,-6974.53,0.2182
57695,1,760.96,-22443.65,0.2208
57696,1,772.53,-41932.9,0.2198
57697,1,490.4,-41361.11,0.2256
57700,2,3066.52,-28784.05,0.2334
57701,2,5276.47,-14537.73,0.2355
57702,2,5429.21,-8288.35,0.2361
57703,2,5232.69,-15188.33,0.2381
57704,2,4996.39,-20126.1,0.2402
57705,2,5022.06,-11761.29,0.2387
57706,2,5010.29,-8551.87,0.2392
57707,2,5091.08,-15099.44,0.2389
57708,2,5447.05,4170.78,0.2372
57709,2,5254.94,88164.68,0.2371
57710,2,5146.22,-9903.89,0.2371
57711,2,5483.01,-28319.4,0.235
57712,1,5527.75,-33214.72,0.2326
57713,1,5512.72,-31480.99,0.2317
57714,1,5295.18,-32262.14,0.2327
57715,2,5192.04,-32565.56,0.2362
57716,2,5450.38,-26189.46,0.2371
57717,2,5488.05,-30725.97,0.2362
57718,2,4457.37,-45371.15,0.2376
57719,2,1849.43,-44563.38,0.239
57720,2,1460.09,-36564.86,0.2385
57721,2,1154.59,-39047.36,0.2405
57722,2,1684.4,-37283.87,0.2426
57723,2,1644.7,-48665.18,0.243
57724,2,282.47,-47456.86,0.2424
57726,2,1282.98,-42937.02,0.2443
57727,2,3877.33,-37061.25,0.2443
57728,2,5470.96,-38640.66,0.2428
57729,2,2123.05,-44606.95,0.2412
57730,2,2118.27,-51669.28,0.2394
57731,2,3104.19,-53003.23,0.2389
57732,2,1910.96,-54606.87,0.2391
