sc_point_gid,class,capacity,capital_adder_per_mw,cf
43959,7,229.93,0,0.9948
43961,7,128.79,0,0.9948
43962,7,347.84,0,0.9948
43963,7,195.81,0,0.9948
43965,8,3.44,0,0.9946
43973,8,6.19,0,0.9945
43974,7,124.37,0,0.9948
43975,7,38.52,0,0.9948
43976,7,6.51,0,0.9947
43977,8,137.79,0,0.9945
43978,7,373.5,0,0.9948
43979,7,424.01,0,0.9948
43980,7,348.48,0,0.9947
43981,7,311.42,0,0.9948
43982,7,254.76,0,0.9947
43983,7,283.12,0,0.9948
43984,8,256.75,0,0.9945
43985,8,81.31,0,0.9945
43987,7,49.04,0,0.9947
43988,7,315.45,0,0.9947
43989,7,287.19,0,0.9947
43990,7,437.57,0,0.9947
43991,7,180.01,0,0.9947
43992,7,9.8,0,0.9947
43993,8,77.05,0,0.9947
43994,8,0.83,0,0.9946
43995,8,5.84,0,0.9946
43996,8,7.78,0,0.9946
43997,8,40.27,0,0.9947
43998,7,11.96,0,0.9947
43999,7,53.1,0,0.9946
44000,6,6.19,0,0.9949
44630,8,434.73,0,0.9946
44631,8,391.07,0,0.9946
44632,8,42.6,0,0.9946
44639,7,20.1,0,0.9947
44642,7,156.38,0,0.9948
44644,7,93.33,0,0.9947
44645,7,124.36,0,0.9948
44646,7,413.4,0,0.9948
44647,7,197.08,0,0.9947
44648,8,4.01,0,0.9945
44655,7,0.07,0,0.9946
44658,7,47.45,0,0.9948
44659,8,70.69,0,0.9945
44660,7,316.73,0,0.9947
44661,7,301.82,0,0.9948
44662,8,208.64,0,0.9945
44663,7,408.23,0,0.9947
44664,8,336.58,0,0.9947
44665,8,154.83,0,0.9947
44666,7,189.52,0,0.9948
44667,7,95.54,0,0.9948
44668,7,80.16,0,0.9948
44669,7,57.7,0,0.9947
44670,7,42.87,0,0.9947
44671,7,73.75,0,0.9947
44672,7,273.62,0,0.9947
44673,7,223.07,0,0.9947
44674,7,104.32,0,0.9947
44675,7,127.96,0,0.9947
44676,7,168.01,0,0.9947
44677,8,12.53,0,0.9946
44678,8,5.39,0,0.9946
44679,8,60.45,0,0.9946
44680,8,131.41,0,0.9947
44681,7,24.63,0,0.9947
44682,6,9.63,0,0.9948
44683,9,10.43,0,0.994
44684,6,118.24,0,0.9949
44685,6,20.03,0,0.9949
44686,8,0.09,0,0.9946
44687,8,0.1,0,0.9947
44688,8,14.72,0,0.9947
45314,8,510.62,0,0.9946
45315,8,482.75,0,0.9946
45316,7,219.0,0,0.9947
45317,7,3.72,0,0.9947
45322,7,8.95,0,0.9947
45323,7,62.05,0,0.9947
45325,8,152.73,0,0.9945
45327,7,26.64,0,0.9948
45328,8,54.02,0,0.9945
45329,7,158.78,0,0.9947
45330,7,272.16,0,0.9947
45331,7,305.79,0,0.9948
45332,7,11.95,0,0.9947
45341,8,2.69,0,0.9945
45342,7,118.04,0,0.9948
45343,8,144.92,0,0.9947
45344,7,359.48,0,0.9947
45345,8,257.23,0,0.9945
45346,7,490.78,0,0.9948
45347,7,386.72,0,0.9947
45348,7,514.95,0,0.9947
45349,7,301.66,0,0.9947
45350,7,429.29,0,0.9947
45351,7,292.65,0,0.9948
45352,7,257.63,0,0.9947
45353,7,66.28,0,0.9947
45354,7,50.1,0,0.9947
45355,7,143.12,0,0.9948
45356,7,198.92,0,0.9947
45357,7,184.95,0,0.9947
45358,7,57.64,0,0.9947
45359,8,88.72,0,0.9947
45360,8,101.85,0,0.9947
45361,8,59.81,0,0.9947
45362,8,36.05,0,0.9946
45363,8,105.18,0,0.9946
45364,7,96.34,0,0.9947
45365,8,27.85,0,0.9947
45366,7,2.37,0,0.9947
45367,7,257.78,0,0.9948
45368,8,158.4,0,0.9947
45369,8,25.72,0,0.9946
45370,8,14.18,0,0.9947
45371,8,83.57,0,0.9947
45372,8,148.06,0,0.9947
45373,8,38.9,0,0.9947
45374,8,48.66,0,0.9947
45375,8,135.26,0,0.9947
45376,8,33.54,0,0.9947
45377,8,0.19,0,0.9946
45998,7,482.28,0,0.9947
45999,8,471.25,0,0.9946
46000,7,178.72,0,0.9946
