tech,AZ,CA,CO,FL,GA,MN,MT,NM,NY,TX,WA
dr_shed_1,25222.525,156512.398,300726.992,15035.515,69197.692,348594.254,393687.275,151046.19,233456.362,66471.157,464075.157
dr_shed_2,33621.801,52031.936,62889.129,14406.003,27954.162,66610.767,90642.657,58027.641,75276.731,25950.904,78838.946
