tech,AZ,CA,CO,FL,GA,MN,MT,NM,NY,TX,WA
dr_shed_1,3798.022,7803.22,937.63,9815.49,4417.129,807.199,212.787,522.575,4115.942,12450.967,1077.421
dr_shed_2,1564.199,10238.139,2204.282,9097.802,7605.88,1677.164,556.584,646.23,4322.549,22526.648,5261.423
