sc_point_gid,class,capacity,capital_adder_per_mw,cf
53568,1,780.17,-36606.54,0.2255
53569,1,480.17,-18359.95,0.2236
53570,1,145.29,999.37,0.2217
53571,1,10.23,347494.38,0.2149
53572,1,6.7,435334.8,0.2103
53573,1,8.5,408278.42,0.2077
53575,1,5.02,487498.43,0.2069
53578,1,74.29,131996.73,0.2043
53579,1,149.85,55931.87,0.2043
53581,1,223.93,159117.99,0.2122
53582,1,545.2,138381.56,0.2124
53583,1,45.17,195216.06,0.2225
53584,1,1325.95,229191.71,0.2195
53585,1,482.87,317846.43,0.2184
53586,1,311.12,328294.16,0.2194
53587,1,23.46,608854.14,0.2149
53588,1,22.51,342519.78,0.2171
53589,1,322.93,276996.43,0.2065
53590,1,17.44,420650.39,0.2077
53591,1,26.09,296176.57,0.2057
53592,1,49.17,285638.48,0.2076
53597,1,777.96,46717.79,0.2318
53598,1,1019.4,32905.93,0.2338
53599,1,1327.12,1872.62,0.2348
53600,1,1761.22,16561.57,0.2372
53601,1,924.07,-22369.52,0.238
53602,1,716.23,-28709.83,0.2378
53603,1,816.11,-31386.3,0.2379
53604,1,923.86,-26442.43,0.2378
53605,1,1389.1,-10572.33,0.2377
53606,1,2009.26,-2372.72,0.2372
53607,1,1836.62,9491.14,0.2376
53608,1,1906.3,5995.24,0.2382
53609,1,1853.26,12955.3,0.2384
53610,1,2195.89,22892.66,0.2384
53611,1,1657.38,-3465.66,0.2379
53612,1,1714.64,-9285.28,0.2375
53613,1,1361.23,-21701.3,0.2357
53614,1,1830.64,-13778.83,0.2342
53615,1,1792.42,81.75,0.2318
53616,1,795.99,-9976.53,0.2311
53617,1,487.62,7713.8,0.2331
53618,1,822.83,-3878.65,0.2344
53619,1,1683.93,-5911.14,0.2353
53620,1,1483.69,-33058.17,0.2361
53621,1,1342.76,-43480.37,0.2365
53622,1,2914.52,-18708.57,0.2363
53623,1,2247.73,22893.64,0.2364
53624,1,1338.76,-1395.4,0.236
53625,1,1797.2,7032.47,0.2373
53626,1,1814.89,-39391.05,0.2376
53627,1,1512.25,-51626.04,0.2386
53628,1,639.19,-50172.58,0.2368
53629,1,1081.07,-33766.08,0.2372
53630,1,737.47,-35651.39,0.2361
53631,1,1530.59,-42719.99,0.2349
53632,1,2385.58,-42659.1,0.235
53633,1,2060.58,-54055.17,0.2356
53634,1,1180.0,-58482.5,0.236
53635,1,483.02,-57407.94,0.2357
53636,1,826.79,-57446.99,0.2359
53637,1,2988.74,-58292.15,0.2358
53638,1,2363.85,-66711.17,0.2363
53639,1,2117.31,-69168.17,0.2353
53640,1,1579.79,-73752.04,0.2344
53641,1,2050.62,-68618.73,0.2347
53642,1,2722.7,-64224.55,0.2339
53643,1,3031.52,-63836.49,0.2343
53644,1,2071.73,-70438.51,0.235
53645,1,1596.58,-74187.48,0.2335
53646,1,1545.13,-65937.26,0.2321
53647,1,907.53,-70154.1,0.234
53648,1,1106.3,-63392.87,0.2383
53649,1,1312.46,-59812.64,0.2376
53650,1,1033.92,-66583.9,0.2372
53651,1,1039.56,-70483.89,0.2374
53652,1,914.04,-73209.13,0.2373
53653,1,1391.33,-64515.93,0.2343
53654,1,2093.74,-53758.24,0.2345
53655,1,1803.06,-58994.72,0.2345
53656,1,2005.66,-56632.5,0.2345
53657,1,1720.77,-64157.26,0.2347
53658,1,1386.96,-69554.63,0.2337
53659,1,1864.45,-64109.09,0.2321
53660,1,1752.8,-63706.43,0.2335
53661,1,1952.88,-64797.36,0.2326
53662,1,2205.64,-60368.98,0.2318
53663,1,1604.35,-67476.81,0.2327
53664,1,785.32,-72004.75,0.2324
53665,1,388.59,-76462.23,0.2323
53666,1,931.86,-76515.57,0.2322
53667,1,486.98,-78603.54,0.2323
53668,1,393.46,-80366.83,0.2317
53669,1,445.31,-79486.13,0.2314
53670,1,443.47,-78698.71,0.2314
53671,1,377.95,-74429.46,0.2313
53672,1,689.12,-74458.23,0.2313
53673,1,751.37,-72556.26,0.2313
53674,1,432.88,-77930.38,0.2299
53675,1,728.62,-73320.66,0.2302
53676,1,514.61,-69523.41,0.2302
53677,1,300.69,-65129.88,0.2339
53678,1,532.25,-57141.88,0.2326
53679,1,662.05,-63461.45,0.2325
53680,1,381.1,-66568.67,0.2326
53681,1,688.65,-58220.67,0.2326
53682,1,384.5,-71611.8,0.2314
53683,1,453.91,-70360.57,0.2306
53684,1,550.54,-68572.14,0.2295
53685,1,326.51,-71215.71,0.2291
53687,1,280.85,-66944.34,0.2291
53688,1,224.43,-66961.1,0.2288
53689,1,197.08,-67181.53,0.2286
53690,1,179.29,-66593.6,0.2282
53691,1,96.42,-66957.34,0.2289
53692,1,185.06,-60420.98,0.2288
53693,1,140.55,-61273.93,0.227
53694,1,65.66,-12199.63,0.2266
53695,1,12.79,249624.59,0.2265
53698,1,37.79,82418.05,0.225
53701,1,201.02,-30182.13,0.2266
53702,1,5.59,442865.6,0.2261
53703,1,36.17,111609.27,0.227
53705,1,50.79,61793.49,0.2252
53706,1,60.12,31198.17,0.224
53708,1,84.6,-3869.32,0.2259
53709,1,14.69,275448.5,0.2216
53877,1,2683.96,-716.58,0.2096
53878,1,3250.77,-6839.37,0.2084
53879,1,2192.05,1704.66,0.2094
53880,1,1952.47,1405.67,0.2118
53881,1,2183.09,1771.09,0.2107
53882,1,2074.47,111.69,0.2125
53883,1,1042.98,1236.07,0.2125
53884,1,2096.6,-602.25,0.2136
53885,1,1985.48,-1898.63,0.2144
53886,1,1395.96,-1303.93,0.2128
53887,1,1994.67,-1442.07,0.213
53888,1,2132.78,-4167.24,0.2132
53889,1,2338.22,-548.53,0.2124
53890,1,2143.54,3380.39,0.2121
53891,1,1410.45,3827.9,0.2124
53892,1,481.32,2670.37,0.2114
