sc_point_gid,class,capacity,capital_adder_per_mw,cf
106260,3,70.61,652962.61,0.2715
106261,3,91.83,-16642.56,0.2783
106263,3,165.25,-1931.75,0.2758
106264,3,910.67,21475.22,0.2869
106265,4,1353.02,54331.6,0.2926
106266,4,2289.8,17285.13,0.295
106267,4,1809.72,-2090.79,0.2966
106268,4,3130.09,4750.22,0.2964
106269,4,4022.06,-4265.09,0.297
106270,4,4011.88,37005.7,0.293
106271,4,3779.92,100090.92,0.2927
106272,4,3044.31,2759.09,0.2935
106273,4,1970.87,-16646.6,0.2969
106274,4,477.32,-45824.16,0.2965
106275,4,2551.04,-47856.41,0.2981
106276,4,1970.42,-36922.53,0.296
106277,4,506.36,-62389.76,0.2968
106278,4,827.09,-68736.4,0.2943
106279,4,1395.76,-79430.47,0.2919
106280,4,863.28,-77686.34,0.2915
106281,4,1170.65,-78981.53,0.2916
106282,3,677.47,-78586.12,0.2883
106283,3,1186.38,-73931.92,0.2863
106284,3,783.72,-81651.88,0.2872
106285,3,2790.1,-82577.03,0.2832
106286,3,1636.32,-76386.09,0.2832
106287,3,2527.86,-80907.89,0.2822
106288,3,3442.74,-53675.23,0.2804
106289,3,2426.76,11762.41,0.2773
106290,3,2587.27,-35283.63,0.2752
106291,3,1624.56,-27763.79,0.2749
106292,3,886.99,-20161.37,0.2712
106293,2,1121.83,29992.07,0.2638
106294,2,1122.21,306371.15,0.2581
106295,2,17.94,693647.11,0.2627
106296,3,525.1,62180.29,0.2759
106297,3,1693.95,-12644.93,0.2721
106298,3,1027.74,1943.7,0.2718
106299,3,1284.95,2030.71,0.2689
106300,2,2365.84,8410.85,0.2607
106301,2,133.93,58928.45,0.2586
106302,2,57.83,129639.32,0.2628
106304,3,415.4,77381.44,0.2681
106305,2,468.35,99384.45,0.2653
106306,2,389.19,15919.55,0.2633
106307,2,2513.7,92310.75,0.2646
106308,3,2271.47,63676.99,0.2767
106309,3,3942.91,-37833.35,0.283
106310,3,4482.21,-56487.69,0.2834
106311,3,5018.73,-74237.73,0.2844
106312,3,3230.46,-79620.65,0.2837
106313,3,4374.73,-79099.72,0.2838
106314,3,5124.01,-79751.46,0.2845
106315,3,2493.78,-84522.11,0.2866
106316,3,3305.44,-85960.9,0.2849
106317,3,3102.99,-86218.97,0.2843
106318,3,2054.08,-89467.07,0.2845
106319,3,2327.01,-89642.83,0.2847
106320,3,2139.68,-88140.09,0.2831
106321,3,2986.36,-89493.0,0.2836
106322,3,2653.05,-89142.65,0.2817
106323,3,2539.59,-87882.77,0.2817
106324,3,2011.8,-86843.19,0.2801
106325,3,2864.53,-87080.38,0.2814
106326,3,3210.74,-89863.36,0.283
106327,3,2303.27,-93658.09,0.2822
106328,3,2038.19,-94207.29,0.2822
106329,3,813.09,-96226.67,0.2835
106330,3,767.69,-95152.68,0.283
106331,3,1012.83,-93173.43,0.2814
106332,3,1597.71,-90470.57,0.2803
106333,3,1737.85,-88007.22,0.2795
106334,3,2074.54,-85760.36,0.2804
106335,3,2627.89,-81192.39,0.2804
106336,3,4775.19,-75011.92,0.2803
106337,3,5255.69,-61473.18,0.2812
106338,3,5286.32,-65709.88,0.28
106339,3,4426.39,-73242.24,0.2785
106340,3,2584.62,-81088.22,0.2764
106341,3,1950.73,-79355.22,0.2757
106342,3,2593.31,-75352.69,0.2746
106343,3,1717.97,-75356.24,0.2726
106344,3,1049.02,-81945.09,0.2741
106345,3,3385.98,-75120.05,0.2749
106346,3,3956.45,-70320.27,0.2746
106347,3,3183.31,-71599.29,0.2736
106348,3,3550.08,-69401.15,0.2724
106349,3,3344.45,-61918.85,0.2717
106350,3,2994.66,-59230.58,0.271
106351,3,3105.44,-46638.27,0.2698
106352,3,2306.61,-48604.22,0.2695
106353,3,2578.81,-48480.24,0.2691
106354,3,1963.57,-55169.61,0.2687
106355,3,2688.37,-45351.63,0.2672
106356,3,2076.92,-44857.59,0.2664
106357,2,593.76,-57085.19,0.2646
106358,2,750.68,-52648.91,0.2644
106359,2,860.53,-54000.52,0.2643
106360,2,621.46,-56483.33,0.2637
106361,2,784.6,-53514.1,0.264
106362,2,872.08,-50328.73,0.2636
106363,2,1035.03,-48940.14,0.263
106364,2,1103.01,-51193.05,0.2624
106365,2,1444.53,-46922.11,0.2625
106366,2,2271.56,-33903.42,0.2615
106367,2,2242.32,-18302.23,0.2605
106368,2,1667.42,-29545.89,0.2604
106369,2,699.26,-43504.62,0.2594
106370,2,557.75,-51131.21,0.2578
