interconnect,interface
western,AZ_N~~AZ_S
western,AZ_N~~CA_SE
western,AZ_N~~NM_W
western,AZ_N~~NV_LV
western,AZ_N~~UT
western,AZ_S~~CA_SE
western,AZ_S~~NM_W
western,AZ_S~~NV_LV
western,CA_LA~~CA_S
western,CA_LA~~CA_SE
western,CA_N~~CA_S
western,CA_N~~NV_N
western,CA_N~~OR_E
western,CA_N~~OR_W
western,CA_SE~~NV_LV
western,CA_S~~CA_SE
western,CA_S~~NV_N
western,CO_E~~CO_W
western,CO_E~~NM_W
western,CO_E~~WY_E
western,CO_W~~NM_W
western,CO_W~~UT
western,CO_W~~WY_E
western,ID_N~~MT_W
western,ID_N~~OR_E
western,ID_N~~WA_E
western,ID_S~~MT_W
western,ID_S~~NV_LV
western,ID_S~~NV_N
western,ID_S~~OR_E
western,ID_S~~UT
western,ID_S~~WY_W
western,MT_C~~MT_W
western,MT_C~~WY_E
western,MT_C~~WY_W
western,MT_W~~WA_E
western,NM_W~~TX_EP
western,NM_W~~UT
western,NV_LV~~NV_N
western,NV_N~~UT
western,OR_E~~OR_W
western,OR_E~~WA_E
western,OR_E~~WA_W
western,OR_W~~WA_E
western,OR_W~~WA_W
western,UT~~WY_W
western,WA_E~~WA_W
western,WY_E~~WY_W
eastern,AL~~FL_N
eastern,AL~~GA_N
eastern,AL~~GA_S
eastern,AL~~MS_MISO
eastern,AL~~MS_SE
eastern,AL~~TN
eastern,AR_MISO~~AR_SPP
eastern,AR_MISO~~LA
eastern,AR_MISO~~MO_MISO
eastern,AR_MISO~~MO_SE
eastern,AR_MISO~~MO_SPP
eastern,AR_MISO~~MS_MISO
eastern,AR_MISO~~TN
eastern,AR_SPP~~LA
eastern,AR_SPP~~MO_SPP
eastern,AR_SPP~~OK
eastern,AR_SPP~~TX_SPP
eastern,CT~~MA
eastern,CT~~NY_E
eastern,CT~~NY_LI
eastern,CT~~RI
eastern,DE~~MD
eastern,DE~~NJ
eastern,DE~~PA_E
eastern,FL_N~~FL_S
eastern,FL_N~~FL_SE
eastern,FL_N~~GA_S
eastern,FL_S~~FL_SE
eastern,GA_N~~GA_S
eastern,GA_N~~NC_SE
eastern,GA_N~~SC
eastern,GA_N~~TN
eastern,GA_S~~SC
eastern,IA~~IL_MISO
eastern,IA~~IL_PJM
eastern,IA~~MN_S
eastern,IA~~MO_MISO
eastern,IA~~MO_SE
eastern,IA~~MO_SPP
eastern,IA~~NE
eastern,IA~~SD
eastern,IA~~WI_E
eastern,IA~~WI_W
eastern,IL_MISO~~IL_PJM
eastern,IL_MISO~~IN_MISO
eastern,IL_MISO~~KY_MISO
eastern,IL_MISO~~MO_MISO
eastern,IL_PJM~~IN_MISO
eastern,IL_PJM~~WI_E
eastern,IL_PJM~~WI_W
eastern,IN_MISO~~IN_PJM
eastern,IN_MISO~~KY_MISO
eastern,IN_MISO~~KY_PJM
eastern,IN_MISO~~MI_LP
eastern,IN_MISO~~MI_PJM
eastern,IN_MISO~~OH_S
eastern,IN_PJM~~OH_N
eastern,KS~~MO_SPP
eastern,KS~~NE
eastern,KS~~OK
eastern,KY_MISO~~KY_PJM
eastern,KY_MISO~~TN
eastern,KY_PJM~~OH_S
eastern,KY_PJM~~TN
eastern,KY_PJM~~VA_W
eastern,KY_PJM~~WV
eastern,LA~~MS_MISO
eastern,LA~~TX_MISO
eastern,LA~~TX_SPP
eastern,MA~~NH
eastern,MA~~NY_E
eastern,MA~~RI
eastern,MA~~VT
eastern,MD~~PA_E
eastern,MD~~PA_W
eastern,MD~~VA_E
eastern,MD~~WV
eastern,ME~~NH
eastern,MI_LP~~MI_PJM
eastern,MI_LP~~MI_UP
eastern,MI_LP~~OH_N
eastern,MI_UP~~WI_E
eastern,MI_UP~~WI_W
eastern,MN_N~~MN_S
eastern,MN_N~~ND_MISO
eastern,MN_N~~SD
eastern,MN_N~~WI_W
eastern,MN_S~~SD
eastern,MN_S~~WI_W
eastern,MO_MISO~~MO_SE
eastern,MO_MISO~~TN
eastern,MO_SE~~MO_SPP
eastern,MO_SE~~NE
eastern,MO_SPP~~NE
eastern,MO_SPP~~OK
eastern,MS_MISO~~MS_SE
eastern,MS_MISO~~TN
eastern,MS_SE~~TN
eastern,MT_E~~ND_SPP
eastern,NC_PJM~~NC_SE
eastern,NC_PJM~~VA_E
eastern,NC_SE~~SC
eastern,NC_SE~~TN
eastern,NC_SE~~VA_E
eastern,NC_SE~~VA_W
eastern,ND_MISO~~ND_SPP
eastern,ND_MISO~~SD
eastern,ND_SPP~~SD
eastern,NE~~SD
eastern,NH~~VT
eastern,NJ~~NY_E
eastern,NJ~~NY_NYC
eastern,NJ~~PA_E
eastern,NM_E~~TX_PAN
eastern,NY_E~~NY_LI
eastern,NY_E~~NY_NYC
eastern,NY_E~~NY_W
eastern,NY_E~~VT
eastern,NY_LI~~NY_NYC
eastern,NY_W~~PA_W
eastern,NY_W~~VT
eastern,OH_N~~OH_S
eastern,OH_N~~PA_W
eastern,OH_N~~WV
eastern,OH_S~~VA_W
eastern,OH_S~~WV
eastern,OK~~TX_PAN
eastern,OK~~TX_SPP
eastern,PA_E~~PA_W
eastern,PA_W~~WV
eastern,TN~~VA_W
eastern,VA_E~~VA_W
eastern,VA_E~~WV
eastern,VA_W~~WV
eastern,WI_E~~WI_W
texas,TX_HOU~~TX_N
texas,TX_HOU~~TX_S
texas,TX_N~~TX_S
texas,TX_N~~TX_W
texas,TX_S~~TX_W
