r,rr
oWA,WA_W
oOR_N,OR_W
oOR_S,OR_W
oCA_NNN,CA_N
oCA_NN,CA_N
oCA_N,CA_N
oCA_S,CA_N
oTX,TX_HOU
oLA,LA
oMS,MS_MISO
oAL,AL
oFL_W,FL_S
oFL_E,FL_SE
oGA,GA_S
oSC,SC
oNC_S,NC_SE
oNC_N,NC_PJM
oVA,VA_E
oMD,MD
oDE,DE
oNJ,NJ
oNY,NY_LI
oCT,CT
oRI,RI
oMA,MA
oNH,NH
oME,ME
