r,rr
oWA,p1
oOR_N,p5
oOR_S,p6
oCA_NNN,p9
oCA_NN,p9
oCA_N,p9
oCA_S,p9
oTX,p67
oLA,p58
oMS,p87
oAL,p90
oFL_W,p101
oFL_E,p102
oGA,p94
oSC,p96
oNC_S,p37129
oNC_N,p37129
oVA,p51810
oMD,p24047
oDE,p10005
oNJ,p34029
oNY,p36103
oCT,p132
oRI,p133
oMA,p131
oNH,p130
oME,p134
