*i,month,r,value
hydD,AUG,p63,0.478
hydD,AUG,p64,0.522
hydD,AUG,p65,0.764
hydD,AUG,p66,0.399
hydD,AUG,p67,0.455
hydD,AUG,p68,0.725
hydD,AUG,p69,0.759
hydD,AUG,p7,0.943
hydD,AUG,p70,0.725
hydD,AUG,p71,0.665
hydD,AUG,p72,0.793
hydD,AUG,p73,0.414
hydD,AUG,p74,0.793
hydD,AUG,p75,0.746
hydD,AUG,p76,0.713
hydD,AUG,p77,0.732
hydD,AUG,p78,0.645
hydD,AUG,p8,0.624
hydD,AUG,p80,0.612
hydD,AUG,p81,0.667
hydD,AUG,p82,0.428
hydD,AUG,p83,0.507
hydD,AUG,p84,0.455
hydD,AUG,p85,0.497
hydD,AUG,p86,0.315
hydD,AUG,p87,0.36
hydD,AUG,p88,0.357
hydD,AUG,p89,0.379
hydD,AUG,p9,0.615
hydD,AUG,p90,0.479
hydD,AUG,p91,0.558
hydD,AUG,p92,0.51
hydD,AUG,p93,0.344
hydD,AUG,p94,0.552
hydD,AUG,p95,0.579
hydD,AUG,p96,0.57
hydD,AUG,p97,0.589
hydD,AUG,p98,0.466
hydD,AUG,p99,0.453
hydD,DEC,p1,0.744
hydD,DEC,p10,0.558
hydD,DEC,p100,0.697
hydD,DEC,p101,0.696
hydD,DEC,p103,0.705
hydD,DEC,p104,0.798
hydD,DEC,p105,0.698
hydD,DEC,p106,0.63
hydD,DEC,p107,0.669
hydD,DEC,p108,0.778
hydD,DEC,p109,0.701
hydD,DEC,p110,0.662
hydD,DEC,p111,0.637
hydD,DEC,p112,0.699
hydD,DEC,p113,0.651
hydD,DEC,p114,0.654
hydD,DEC,p115,0.746
hydD,DEC,p116,0.734
hydD,DEC,p117,0.688
hydD,DEC,p118,0.699
hydD,DEC,p119,0.723
hydD,DEC,p12,0.457
hydD,DEC,p121,0.691
hydD,DEC,p122,0.74
hydD,DEC,p123,0.693
hydD,DEC,p126,0.758
hydD,DEC,p127,0.733
hydD,DEC,p129,0.693
hydD,DEC,p130,0.711
hydD,DEC,p131,0.754
hydD,DEC,p132,0.754
hydD,DEC,p134,0.656
hydD,DEC,p14,0.495
hydD,DEC,p15,0.487
hydD,DEC,p16,0.431
hydD,DEC,p17,0.569
hydD,DEC,p18,0.462
hydD,DEC,p19,0.411
hydD,DEC,p2,0.716
hydD,DEC,p20,0.467
hydD,DEC,p21,0.386
hydD,DEC,p24,0.436
hydD,DEC,p25,0.485
hydD,DEC,p26,0.532
hydD,DEC,p27,0.536
hydD,DEC,p28,0.625
hydD,DEC,p3,0.633
hydD,DEC,p31,0.392
hydD,DEC,p32,0.535
hydD,DEC,p33,0.499
hydD,DEC,p34,0.455
hydD,DEC,p35,0.51
hydD,DEC,p36,0.532
hydD,DEC,p38,0.518
hydD,DEC,p39,0.458
hydD,DEC,p4,0.74
hydD,DEC,p40,0.502
hydD,DEC,p41,0.541
hydD,DEC,p42,0.504
hydD,DEC,p43,0.639
hydD,DEC,p44,0.342
hydD,DEC,p45,0.487
hydD,DEC,p46,0.566
hydD,DEC,p48,0.372
hydD,DEC,p5,0.851
hydD,DEC,p50,0.498
hydD,DEC,p51,0.443
hydD,DEC,p52,0.569
hydD,DEC,p53,0.415
hydD,DEC,p54,0.491
hydD,DEC,p55,0.597
hydD,DEC,p56,0.648
hydD,DEC,p57,0.577
hydD,DEC,p58,0.663
hydD,DEC,p59,0.366
hydD,DEC,p6,0.788
hydD,DEC,p61,0.374
hydD,DEC,p63,0.521
hydD,DEC,p64,0.547
hydD,DEC,p65,0.486
hydD,DEC,p66,0.637
hydD,DEC,p67,0.524
hydD,DEC,p68,0.294
hydD,DEC,p69,0.38
hydD,DEC,p7,0.507
hydD,DEC,p70,0.358
hydD,DEC,p71,0.36
hydD,DEC,p72,0.512
hydD,DEC,p73,0.675
hydD,DEC,p74,0.796
hydD,DEC,p75,0.776
hydD,DEC,p76,0.681
hydD,DEC,p77,0.611
hydD,DEC,p78,0.622
hydD,DEC,p8,0.818
hydD,DEC,p80,0.661
hydD,DEC,p81,0.563
hydD,DEC,p82,0.499
hydD,DEC,p83,0.63
