*i,month,r,value
hydD,MAY,p107,0.834
hydD,MAY,p108,0.767
hydD,MAY,p109,0.794
hydD,MAY,p110,0.839
hydD,MAY,p111,0.819
hydD,MAY,p112,0.85
hydD,MAY,p113,0.837
hydD,MAY,p114,0.832
hydD,MAY,p115,0.85
hydD,MAY,p116,0.856
hydD,MAY,p117,0.864
hydD,MAY,p118,0.857
hydD,MAY,p119,0.856
hydD,MAY,p12,0.847
hydD,MAY,p121,0.849
hydD,MAY,p122,0.86
hydD,MAY,p123,0.856
hydD,MAY,p126,0.866
hydD,MAY,p127,0.878
hydD,MAY,p129,0.912
hydD,MAY,p130,0.916
hydD,MAY,p131,0.9
hydD,MAY,p132,0.88
hydD,MAY,p134,0.869
hydD,MAY,p14,0.911
hydD,MAY,p15,0.852
hydD,MAY,p16,0.734
hydD,MAY,p17,0.852
hydD,MAY,p18,0.748
hydD,MAY,p19,0.759
hydD,MAY,p2,0.854
hydD,MAY,p20,0.742
hydD,MAY,p21,0.669
hydD,MAY,p24,0.89
hydD,MAY,p25,0.855
hydD,MAY,p26,0.874
hydD,MAY,p27,0.893
hydD,MAY,p28,0.821
hydD,MAY,p3,0.878
hydD,MAY,p31,0.853
hydD,MAY,p32,0.761
hydD,MAY,p33,0.795
hydD,MAY,p34,0.802
hydD,MAY,p35,0.783
hydD,MAY,p36,0.815
hydD,MAY,p38,0.822
hydD,MAY,p39,0.887
hydD,MAY,p4,0.901
hydD,MAY,p40,0.867
hydD,MAY,p41,0.882
hydD,MAY,p42,0.742
hydD,MAY,p43,0.86
hydD,MAY,p44,0.844
hydD,MAY,p45,0.858
hydD,MAY,p46,0.907
hydD,MAY,p48,0.669
hydD,MAY,p5,0.818
hydD,MAY,p50,0.738
hydD,MAY,p51,0.754
hydD,MAY,p52,0.807
hydD,MAY,p53,0.661
hydD,MAY,p54,0.866
hydD,MAY,p55,0.786
hydD,MAY,p56,0.781
hydD,MAY,p57,0.721
hydD,MAY,p58,0.769
hydD,MAY,p59,0.861
hydD,MAY,p6,0.814
hydD,MAY,p61,0.849
hydD,MAY,p63,0.714
hydD,MAY,p64,0.712
hydD,MAY,p65,0.777
hydD,MAY,p66,0.726
hydD,MAY,p67,0.679
hydD,MAY,p68,0.811
hydD,MAY,p69,0.809
hydD,MAY,p7,0.875
hydD,MAY,p70,0.802
hydD,MAY,p71,0.771
hydD,MAY,p72,0.866
hydD,MAY,p73,0.842
hydD,MAY,p74,0.938
hydD,MAY,p75,0.916
hydD,MAY,p76,0.935
hydD,MAY,p77,0.936
hydD,MAY,p78,0.932
hydD,MAY,p8,0.898
hydD,MAY,p80,0.866
hydD,MAY,p81,0.865
hydD,MAY,p82,0.768
hydD,MAY,p83,0.804
hydD,MAY,p84,0.852
hydD,MAY,p85,0.809
hydD,MAY,p86,0.659
hydD,MAY,p87,0.734
hydD,MAY,p88,0.764
hydD,MAY,p89,0.764
hydD,MAY,p9,0.853
hydD,MAY,p90,0.784
hydD,MAY,p91,0.795
hydD,MAY,p92,0.822
hydD,MAY,p93,0.798
hydD,MAY,p94,0.782
hydD,MAY,p95,0.781
hydD,MAY,p96,0.79
hydD,MAY,p97,0.834
hydD,MAY,p98,0.774
hydD,MAY,p99,0.847
hydD,NOV,p1,0.744
hydD,NOV,p10,0.558
hydD,NOV,p100,0.697
hydD,NOV,p101,0.696
hydD,NOV,p103,0.705
hydD,NOV,p104,0.798
hydD,NOV,p105,0.698
hydD,NOV,p106,0.63
hydD,NOV,p107,0.669
hydD,NOV,p108,0.778
hydD,NOV,p109,0.701
hydD,NOV,p110,0.662
hydD,NOV,p111,0.637
hydD,NOV,p112,0.699
hydD,NOV,p113,0.651
hydD,NOV,p114,0.654
hydD,NOV,p115,0.746
hydD,NOV,p116,0.734
hydD,NOV,p117,0.688
hydD,NOV,p118,0.699
hydD,NOV,p119,0.723
hydD,NOV,p12,0.457
hydD,NOV,p121,0.691
hydD,NOV,p122,0.74
hydD,NOV,p123,0.693
hydD,NOV,p126,0.758
hydD,NOV,p127,0.733
hydD,NOV,p129,0.693
hydD,NOV,p130,0.711
hydD,NOV,p131,0.754
hydD,NOV,p132,0.754
hydD,NOV,p134,0.656
hydD,NOV,p14,0.495
hydD,NOV,p15,0.487
hydD,NOV,p16,0.431
hydD,NOV,p17,0.569
hydD,NOV,p18,0.462
hydD,NOV,p19,0.411
hydD,NOV,p2,0.716
hydD,NOV,p20,0.467
hydD,NOV,p21,0.386
hydD,NOV,p24,0.436
hydD,NOV,p25,0.485
hydD,NOV,p26,0.532
hydD,NOV,p27,0.536
hydD,NOV,p28,0.625
hydD,NOV,p3,0.633
hydD,NOV,p31,0.392
hydD,NOV,p32,0.535
hydD,NOV,p33,0.499
hydD,NOV,p34,0.455
hydD,NOV,p35,0.51
hydD,NOV,p36,0.532
hydD,NOV,p38,0.518
hydD,NOV,p39,0.458
hydD,NOV,p4,0.74
hydD,NOV,p40,0.502
hydD,NOV,p41,0.541
hydD,NOV,p42,0.504
hydD,NOV,p43,0.639
hydD,NOV,p44,0.342
hydD,NOV,p45,0.487
hydD,NOV,p46,0.566
hydD,NOV,p48,0.372
hydD,NOV,p5,0.851
hydD,NOV,p50,0.498
hydD,NOV,p51,0.443
hydD,NOV,p52,0.569
hydD,NOV,p53,0.415
hydD,NOV,p54,0.491
hydD,NOV,p55,0.597
hydD,NOV,p56,0.648
hydD,NOV,p57,0.577
hydD,NOV,p58,0.663
hydD,NOV,p59,0.366
hydD,NOV,p6,0.788
hydD,NOV,p61,0.374
hydD,NOV,p63,0.521
hydD,NOV,p64,0.547
hydD,NOV,p65,0.486
hydD,NOV,p66,0.637
hydD,NOV,p67,0.524
hydD,NOV,p68,0.294
hydD,NOV,p69,0.38
hydD,NOV,p7,0.507
hydD,NOV,p70,0.358
hydD,NOV,p71,0.36
hydD,NOV,p72,0.512
hydD,NOV,p73,0.675
hydD,NOV,p74,0.796
hydD,NOV,p75,0.776
hydD,NOV,p76,0.681
hydD,NOV,p77,0.611
hydD,NOV,p78,0.622
hydD,NOV,p8,0.818
hydD,NOV,p80,0.661
hydD,NOV,p81,0.563
hydD,NOV,p82,0.499
hydD,NOV,p83,0.63
hydD,NOV,p84,0.727
hydD,NOV,p85,0.657
hydD,NOV,p86,0.68
hydD,NOV,p87,0.712
hydD,NOV,p88,0.756
hydD,NOV,p89,0.744
hydD,NOV,p9,0.649
hydD,NOV,p90,0.756
hydD,NOV,p91,0.759
hydD,NOV,p92,0.755
hydD,NOV,p93,0.719
hydD,NOV,p94,0.753
hydD,NOV,p95,0.746
hydD,NOV,p96,0.755
hydD,NOV,p97,0.754
hydD,NOV,p98,0.707
hydD,NOV,p99,0.695
hydD,OCT,p1,0.376
hydD,OCT,p10,0.6
hydD,OCT,p100,0.499
hydD,OCT,p101,0.494
hydD,OCT,p103,0.404
hydD,OCT,p104,0.558
hydD,OCT,p105,0.398
hydD,OCT,p106,0.325
hydD,OCT,p107,0.322
hydD,OCT,p108,0.308
hydD,OCT,p109,0.225
hydD,OCT,p110,0.251
hydD,OCT,p111,0.257
hydD,OCT,p112,0.282
hydD,OCT,p113,0.306
hydD,OCT,p114,0.291
hydD,OCT,p115,0.37
hydD,OCT,p116,0.292
hydD,OCT,p117,0.265
hydD,OCT,p118,0.408
hydD,OCT,p119,0.334
hydD,OCT,p12,0.484
hydD,OCT,p121,0.365
hydD,OCT,p122,0.384
hydD,OCT,p123,0.383
hydD,OCT,p126,0.518
hydD,OCT,p127,0.434
hydD,OCT,p129,0.477
hydD,OCT,p130,0.521
hydD,OCT,p131,0.459
hydD,OCT,p132,0.457
hydD,OCT,p134,0.55
hydD,OCT,p14,0.382
hydD,OCT,p15,0.527
hydD,OCT,p16,0.65
hydD,OCT,p17,0.534
hydD,OCT,p18,0.623
hydD,OCT,p19,0.504
hydD,OCT,p2,0.384
hydD,OCT,p20,0.66
hydD,OCT,p21,0.648
hydD,OCT,p24,0.468
hydD,OCT,p25,0.608
hydD,OCT,p26,0.583
hydD,OCT,p27,0.645
hydD,OCT,p28,0.63
hydD,OCT,p3,0.426
hydD,OCT,p31,0.603
hydD,OCT,p32,0.595
hydD,OCT,p33,0.731
hydD,OCT,p34,0.627
hydD,OCT,p35,0.669
hydD,OCT,p36,0.624
hydD,OCT,p38,0.6
hydD,OCT,p39,0.506
hydD,OCT,p4,0.552
hydD,OCT,p40,0.584
hydD,OCT,p41,0.597
hydD,OCT,p42,0.56
hydD,OCT,p43,0.625
hydD,OCT,p44,0.411
hydD,OCT,p45,0.563
hydD,OCT,p46,0.619
hydD,OCT,p48,0.656
hydD,OCT,p5,0.465
hydD,OCT,p50,0.469
hydD,OCT,p51,0.425
hydD,OCT,p52,0.581
hydD,OCT,p53,0.444
hydD,OCT,p54,0.557
hydD,OCT,p55,0.346
hydD,OCT,p56,0.338
hydD,OCT,p57,0.308
hydD,OCT,p58,0.308
hydD,OCT,p59,0.595
hydD,OCT,p6,0.221
hydD,OCT,p61,0.627
hydD,OCT,p63,0.335
hydD,OCT,p64,0.427
hydD,OCT,p65,0.629
hydD,OCT,p66,0.27
hydD,OCT,p67,0.334
hydD,OCT,p68,0.392
hydD,OCT,p69,0.45
hydD,OCT,p7,0.631
hydD,OCT,p70,0.369
hydD,OCT,p71,0.321
hydD,OCT,p72,0.503
hydD,OCT,p73,0.283
hydD,OCT,p74,0.696
hydD,OCT,p75,0.691
hydD,OCT,p76,0.652
hydD,OCT,p77,0.634
hydD,OCT,p78,0.518
hydD,OCT,p8,0.592
hydD,OCT,p80,0.446
hydD,OCT,p81,0.441
hydD,OCT,p82,0.182
hydD,OCT,p83,0.317
hydD,OCT,p84,0.324
hydD,OCT,p85,0.333
hydD,OCT,p86,0.225
hydD,OCT,p87,0.277
hydD,OCT,p88,0.26
hydD,OCT,p89,0.29
hydD,OCT,p9,0.435
hydD,OCT,p90,0.365
hydD,OCT,p91,0.466
hydD,OCT,p92,0.404
hydD,OCT,p93,0.254
hydD,OCT,p94,0.495
hydD,OCT,p95,0.552
hydD,OCT,p96,0.557
hydD,OCT,p97,0.511
hydD,OCT,p98,0.474
hydD,OCT,p99,0.423
hydD,SEP,p1,0.376
hydD,SEP,p10,0.6
hydD,SEP,p100,0.499
hydD,SEP,p101,0.494
hydD,SEP,p103,0.404
hydD,SEP,p104,0.558
hydD,SEP,p105,0.398
hydD,SEP,p106,0.325
hydD,SEP,p107,0.322
hydD,SEP,p108,0.308
hydD,SEP,p109,0.225
hydD,SEP,p110,0.251
hydD,SEP,p111,0.257
hydD,SEP,p112,0.282
hydD,SEP,p113,0.306
hydD,SEP,p114,0.291
hydD,SEP,p115,0.37
hydD,SEP,p116,0.292
hydD,SEP,p117,0.265
hydD,SEP,p118,0.408
hydD,SEP,p119,0.334
hydD,SEP,p12,0.484
hydD,SEP,p121,0.365
hydD,SEP,p122,0.384
hydD,SEP,p123,0.383
hydD,SEP,p126,0.518
hydD,SEP,p127,0.434
hydD,SEP,p129,0.477
hydD,SEP,p130,0.521
hydD,SEP,p131,0.459
hydD,SEP,p132,0.457
hydD,SEP,p134,0.55
hydD,SEP,p14,0.382
hydD,SEP,p15,0.527
hydD,SEP,p16,0.65
hydD,SEP,p17,0.534
hydD,SEP,p18,0.623
hydD,SEP,p19,0.504
hydD,SEP,p2,0.384
hydD,SEP,p20,0.66
hydD,SEP,p21,0.648
hydD,SEP,p24,0.468
hydD,SEP,p25,0.608
hydD,SEP,p26,0.583
hydD,SEP,p27,0.645
hydD,SEP,p28,0.63
hydD,SEP,p3,0.426
hydD,SEP,p31,0.603
hydD,SEP,p32,0.595
hydD,SEP,p33,0.731
hydD,SEP,p34,0.627
hydD,SEP,p35,0.669
hydD,SEP,p36,0.624
hydD,SEP,p38,0.6
hydD,SEP,p39,0.506
hydD,SEP,p4,0.552
hydD,SEP,p40,0.584
hydD,SEP,p41,0.597
hydD,SEP,p42,0.56
hydD,SEP,p43,0.625
hydD,SEP,p44,0.411
hydD,SEP,p45,0.563
hydD,SEP,p46,0.619
hydD,SEP,p48,0.656
hydD,SEP,p5,0.465
hydD,SEP,p50,0.469
hydD,SEP,p51,0.425
hydD,SEP,p52,0.581
hydD,SEP,p53,0.444
hydD,SEP,p54,0.557
hydD,SEP,p55,0.346
hydD,SEP,p56,0.338
hydD,SEP,p57,0.308
hydD,SEP,p58,0.308
hydD,SEP,p59,0.595
hydD,SEP,p6,0.221
hydD,SEP,p61,0.627
hydD,SEP,p63,0.335
hydD,SEP,p64,0.427
hydD,SEP,p65,0.629
hydD,SEP,p66,0.27
hydD,SEP,p67,0.334
hydD,SEP,p68,0.392
hydD,SEP,p69,0.45
hydD,SEP,p7,0.631
hydD,SEP,p70,0.369
hydD,SEP,p71,0.321
hydD,SEP,p72,0.503
hydD,SEP,p73,0.283
hydD,SEP,p74,0.696
hydD,SEP,p75,0.691
hydD,SEP,p76,0.652
hydD,SEP,p77,0.634
hydD,SEP,p78,0.518
hydD,SEP,p8,0.592
hydD,SEP,p80,0.446
hydD,SEP,p81,0.441
hydD,SEP,p82,0.182
hydD,SEP,p83,0.317
hydD,SEP,p84,0.324
hydD,SEP,p85,0.333
hydD,SEP,p86,0.225
hydD,SEP,p87,0.277
hydD,SEP,p88,0.26
hydD,SEP,p89,0.29
hydD,SEP,p9,0.435
hydD,SEP,p90,0.365
hydD,SEP,p91,0.466
hydD,SEP,p92,0.404
hydD,SEP,p93,0.254
hydD,SEP,p94,0.495
hydD,SEP,p95,0.552
hydD,SEP,p96,0.557
hydD,SEP,p97,0.511
hydD,SEP,p98,0.474
hydD,SEP,p99,0.423
hydED,APR,p37,0.392
hydED,APR,p70,0.392
hydED,AUG,p37,0.38
hydED,AUG,p70,0.398
hydED,DEC,p37,0.388
hydED,DEC,p70,0.342
hydED,FEB,p37,0.416
hydED,FEB,p70,0.346
hydED,JAN,p37,0.432
hydED,JAN,p70,0.38
hydED,JUL,p37,0.443
hydED,JUL,p70,0.434
hydED,JUN,p37,0.446
hydED,JUN,p70,0.443
hydED,MAR,p37,0.38
hydED,MAR,p70,0.367
hydED,MAY,p37,0.457
hydED,MAY,p70,0.426
hydED,NOV,p37,0.389
hydED,NOV,p70,0.375
hydED,OCT,p37,0.376
hydED,OCT,p70,0.371
hydED,SEP,p37,0.356
hydED,SEP,p70,0.384
hydEND,APR,p101,0.306
hydEND,APR,p45,0.392
hydEND,APR,p71,0.392
hydEND,AUG,p101,0.283
hydEND,AUG,p45,0.398
hydEND,AUG,p71,0.398
hydEND,DEC,p101,0.326
hydEND,DEC,p45,0.342
hydEND,DEC,p71,0.342
hydEND,FEB,p101,0.369
hydEND,FEB,p45,0.346
hydEND,FEB,p71,0.346
hydEND,JAN,p101,0.37
hydEND,JAN,p45,0.38
hydEND,JAN,p71,0.38
hydEND,JUL,p101,0.296
hydEND,JUL,p45,0.434
hydEND,JUL,p71,0.434
hydEND,JUN,p101,0.276
hydEND,JUN,p45,0.443
hydEND,JUN,p71,0.443
hydEND,MAR,p101,0.353
hydEND,MAR,p45,0.367
hydEND,MAR,p71,0.367
hydEND,MAY,p101,0.289
hydEND,MAY,p45,0.426
hydEND,MAY,p71,0.426
hydEND,NOV,p101,0.255
hydEND,NOV,p45,0.375
hydEND,NOV,p71,0.375
hydEND,OCT,p101,0.255
hydEND,OCT,p45,0.371
hydEND,OCT,p71,0.371
hydEND,SEP,p101,0.262
hydEND,SEP,p45,0.384
hydEND,SEP,p71,0.384
hydND,APR,p1,0.822
hydND,APR,p10,0.866
hydND,APR,p100,0.844
hydND,APR,p101,0.747
hydND,APR,p103,0.911
hydND,APR,p104,0.923
hydND,APR,p105,0.813
hydND,APR,p106,0.811
hydND,APR,p107,0.834
hydND,APR,p108,0.767
hydND,APR,p109,0.794
hydND,APR,p110,0.839
hydND,APR,p111,0.819
hydND,APR,p112,0.85
hydND,APR,p113,0.837
hydND,APR,p114,0.832
hydND,APR,p115,0.85
hydND,APR,p116,0.856
hydND,APR,p117,0.864
hydND,APR,p118,0.857
hydND,APR,p119,0.856
hydND,APR,p12,0.847
hydND,APR,p121,0.849
hydND,APR,p122,0.86
hydND,APR,p123,0.856
hydND,APR,p126,0.866
hydND,APR,p127,0.878
hydND,APR,p129,0.912
hydND,APR,p130,0.916
hydND,APR,p131,0.9
hydND,APR,p132,0.88
hydND,APR,p134,0.869
hydND,APR,p14,0.911
hydND,APR,p15,0.852
hydND,APR,p16,0.734
hydND,APR,p17,0.852
hydND,APR,p18,0.748
hydND,APR,p19,0.759
hydND,APR,p2,0.854
hydND,APR,p20,0.742
hydND,APR,p21,0.669
hydND,APR,p24,0.89
hydND,APR,p25,0.855
hydND,APR,p26,0.874
hydND,APR,p27,0.893
hydND,APR,p28,0.821
hydND,APR,p3,0.878
hydND,APR,p31,0.853
hydND,APR,p32,0.761
hydND,APR,p33,0.795
hydND,APR,p34,0.802
hydND,APR,p35,0.783
hydND,APR,p36,0.815
hydND,APR,p38,0.822
hydND,APR,p39,0.887
hydND,APR,p4,0.901
hydND,APR,p40,0.867
hydND,APR,p41,0.882
hydND,APR,p42,0.742
hydND,APR,p43,0.86
hydND,APR,p44,0.844
hydND,APR,p45,0.858
hydND,APR,p46,0.907
hydND,APR,p48,0.669
hydND,APR,p5,0.818
hydND,APR,p50,0.738
hydND,APR,p51,0.754
hydND,APR,p52,0.807
hydND,APR,p53,0.661
hydND,APR,p54,0.866
hydND,APR,p55,0.786
hydND,APR,p56,0.781
hydND,APR,p57,0.721
hydND,APR,p58,0.769
hydND,APR,p59,0.861
hydND,APR,p6,0.814
hydND,APR,p61,0.849
hydND,APR,p63,0.714
hydND,APR,p64,0.712
hydND,APR,p65,0.777
hydND,APR,p66,0.726
hydND,APR,p67,0.679
hydND,APR,p68,0.811
hydND,APR,p69,0.809
hydND,APR,p7,0.875
hydND,APR,p70,0.802
hydND,APR,p71,0.771
hydND,APR,p72,0.866
hydND,APR,p73,0.842
hydND,APR,p74,0.938
hydND,APR,p75,0.916
hydND,APR,p76,0.935
hydND,APR,p77,0.936
hydND,APR,p78,0.932
hydND,APR,p8,0.898
hydND,APR,p80,0.866
hydND,APR,p81,0.865
hydND,APR,p82,0.768
hydND,APR,p83,0.804
hydND,APR,p84,0.852
hydND,APR,p85,0.809
hydND,APR,p86,0.659
hydND,APR,p87,0.734
hydND,APR,p88,0.764
hydND,APR,p89,0.764
hydND,APR,p9,0.853
hydND,APR,p90,0.784
hydND,APR,p91,0.795
hydND,APR,p92,0.822
hydND,APR,p93,0.798
hydND,APR,p94,0.782
hydND,APR,p95,0.781
hydND,APR,p96,0.79
hydND,APR,p97,0.834
hydND,APR,p98,0.774
hydND,APR,p99,0.847
hydND,AUG,p1,0.624
hydND,AUG,p10,0.839
hydND,AUG,p100,0.494
hydND,AUG,p101,0.526
hydND,AUG,p103,0.47
hydND,AUG,p104,0.61
hydND,AUG,p105,0.551
hydND,AUG,p106,0.485
hydND,AUG,p107,0.501
hydND,AUG,p108,0.309
hydND,AUG,p109,0.314
hydND,AUG,p110,0.36
hydND,AUG,p111,0.45
hydND,AUG,p112,0.475
hydND,AUG,p113,0.52
hydND,AUG,p114,0.496
hydND,AUG,p115,0.415
hydND,AUG,p116,0.389
hydND,AUG,p117,0.395
hydND,AUG,p118,0.506
hydND,AUG,p119,0.36
hydND,AUG,p12,0.775
hydND,AUG,p121,0.418
hydND,AUG,p122,0.385
hydND,AUG,p123,0.426
hydND,AUG,p126,0.488
hydND,AUG,p127,0.424
hydND,AUG,p129,0.495
hydND,AUG,p130,0.537
hydND,AUG,p131,0.453
hydND,AUG,p132,0.434
hydND,AUG,p134,0.574
hydND,AUG,p14,0.746
hydND,AUG,p15,0.852
hydND,AUG,p16,0.962
hydND,AUG,p17,0.821
hydND,AUG,p18,0.917
hydND,AUG,p19,0.916
hydND,AUG,p2,0.63
hydND,AUG,p20,0.94
hydND,AUG,p21,0.955
hydND,AUG,p24,0.86
hydND,AUG,p25,0.772
hydND,AUG,p26,0.837
hydND,AUG,p27,0.852
hydND,AUG,p28,0.742
hydND,AUG,p3,0.754
hydND,AUG,p31,0.857
hydND,AUG,p32,0.738
hydND,AUG,p33,0.932
hydND,AUG,p34,0.893
hydND,AUG,p35,0.925
hydND,AUG,p36,0.902
hydND,AUG,p38,0.832
hydND,AUG,p39,0.888
hydND,AUG,p4,0.854
hydND,AUG,p40,0.907
hydND,AUG,p41,0.869
hydND,AUG,p42,0.706
hydND,AUG,p43,0.751
hydND,AUG,p44,0.737
hydND,AUG,p45,0.862
hydND,AUG,p46,0.693
hydND,AUG,p48,0.838
hydND,AUG,p5,0.463
hydND,AUG,p50,0.65
hydND,AUG,p51,0.678
hydND,AUG,p52,0.939
hydND,AUG,p53,0.711
hydND,AUG,p54,0.84
hydND,AUG,p55,0.546
hydND,AUG,p56,0.552
hydND,AUG,p57,0.409
hydND,AUG,p58,0.425
hydND,AUG,p59,0.897
hydND,AUG,p6,0.317
hydND,AUG,p61,0.892
hydND,AUG,p63,0.478
hydND,AUG,p64,0.522
hydND,AUG,p65,0.764
hydND,AUG,p66,0.399
hydND,AUG,p67,0.455
hydND,AUG,p68,0.725
hydND,AUG,p69,0.759
hydND,AUG,p7,0.943
hydND,AUG,p70,0.725
hydND,AUG,p71,0.665
hydND,AUG,p72,0.793
hydND,AUG,p73,0.414
hydND,AUG,p74,0.793
hydND,AUG,p75,0.746
hydND,AUG,p76,0.713
hydND,AUG,p77,0.732
hydND,AUG,p78,0.645
hydND,AUG,p8,0.624
hydND,AUG,p80,0.612
hydND,AUG,p81,0.667
hydND,AUG,p82,0.428
hydND,AUG,p83,0.507
hydND,AUG,p84,0.455
hydND,AUG,p85,0.497
hydND,AUG,p86,0.315
hydND,AUG,p87,0.36
hydND,AUG,p88,0.357
hydND,AUG,p89,0.379
hydND,AUG,p9,0.615
hydND,AUG,p90,0.479
hydND,AUG,p91,0.558
hydND,AUG,p92,0.51
hydND,AUG,p93,0.344
hydND,AUG,p94,0.552
hydND,AUG,p95,0.579
hydND,AUG,p96,0.57
hydND,AUG,p97,0.589
hydND,AUG,p98,0.466
hydND,AUG,p99,0.453
hydND,DEC,p1,0.744
hydND,DEC,p10,0.558
hydND,DEC,p100,0.697
hydND,DEC,p101,0.696
hydND,DEC,p103,0.705
hydND,DEC,p104,0.798
hydND,DEC,p105,0.698
hydND,DEC,p106,0.63
hydND,DEC,p107,0.669
hydND,DEC,p108,0.778
hydND,DEC,p109,0.701
hydND,DEC,p110,0.662
hydND,DEC,p111,0.637
hydND,DEC,p112,0.699
hydND,DEC,p113,0.651
hydND,DEC,p114,0.654
hydND,DEC,p115,0.746
hydND,DEC,p116,0.734
hydND,DEC,p117,0.688
hydND,DEC,p118,0.699
hydND,DEC,p119,0.723
hydND,DEC,p12,0.457
hydND,DEC,p121,0.691
hydND,DEC,p122,0.74
hydND,DEC,p123,0.693
hydND,DEC,p126,0.758
hydND,DEC,p127,0.733
hydND,DEC,p129,0.693
hydND,DEC,p130,0.711
hydND,DEC,p131,0.754
hydND,DEC,p132,0.754
hydND,DEC,p134,0.656
hydND,DEC,p14,0.495
hydND,DEC,p15,0.487
hydND,DEC,p16,0.431
hydND,DEC,p17,0.569
hydND,DEC,p18,0.462
hydND,DEC,p19,0.411
hydND,DEC,p2,0.716
hydND,DEC,p20,0.467
hydND,DEC,p21,0.386
hydND,DEC,p24,0.436
hydND,DEC,p25,0.485
hydND,DEC,p26,0.532
hydND,DEC,p27,0.536
hydND,DEC,p28,0.625
hydND,DEC,p3,0.633
hydND,DEC,p31,0.392
hydND,DEC,p32,0.535
hydND,DEC,p33,0.499
hydND,DEC,p34,0.455
hydND,DEC,p35,0.51
hydND,DEC,p36,0.532
hydND,DEC,p38,0.518
hydND,DEC,p39,0.458
hydND,DEC,p4,0.74
hydND,DEC,p40,0.502
hydND,DEC,p41,0.541
hydND,DEC,p42,0.504
hydND,DEC,p43,0.639
hydND,DEC,p44,0.342
hydND,DEC,p45,0.487
hydND,DEC,p46,0.566
hydND,DEC,p48,0.372
hydND,DEC,p5,0.851
hydND,DEC,p50,0.498
hydND,DEC,p51,0.443
hydND,DEC,p52,0.569
hydND,DEC,p53,0.415
hydND,DEC,p54,0.491
hydND,DEC,p55,0.597
hydND,DEC,p56,0.648
hydND,DEC,p57,0.577
hydND,DEC,p58,0.663
hydND,DEC,p59,0.366
hydND,DEC,p6,0.788
hydND,DEC,p61,0.374
hydND,DEC,p63,0.521
hydND,DEC,p64,0.547
hydND,DEC,p65,0.486
hydND,DEC,p66,0.637
hydND,DEC,p67,0.524
hydND,DEC,p68,0.294
hydND,DEC,p69,0.38
hydND,DEC,p7,0.507
hydND,DEC,p70,0.358
hydND,DEC,p71,0.36
hydND,DEC,p72,0.512
hydND,DEC,p73,0.675
hydND,DEC,p74,0.796
hydND,DEC,p75,0.776
hydND,DEC,p76,0.681
hydND,DEC,p77,0.611
hydND,DEC,p78,0.622
hydND,DEC,p8,0.818
hydND,DEC,p80,0.661
hydND,DEC,p81,0.563
hydND,DEC,p82,0.499
hydND,DEC,p83,0.63
hydND,DEC,p84,0.727
hydND,DEC,p85,0.657
hydND,DEC,p86,0.68
hydND,DEC,p87,0.712
hydND,DEC,p88,0.756
hydND,DEC,p89,0.744
hydND,DEC,p9,0.649
hydND,DEC,p90,0.756
hydND,DEC,p91,0.759
hydND,DEC,p92,0.755
hydND,DEC,p93,0.719
hydND,DEC,p94,0.753
hydND,DEC,p95,0.746
hydND,DEC,p96,0.755
hydND,DEC,p97,0.754
hydND,DEC,p98,0.707
hydND,DEC,p99,0.695
hydND,FEB,p1,0.744
hydND,FEB,p10,0.558
hydND,FEB,p100,0.697
hydND,FEB,p101,0.696
hydND,FEB,p103,0.705
hydND,FEB,p104,0.798
hydND,FEB,p105,0.698
hydND,FEB,p106,0.63
hydND,FEB,p107,0.669
hydND,FEB,p108,0.778
hydND,FEB,p109,0.701
hydND,FEB,p110,0.662
hydND,FEB,p111,0.637
hydND,FEB,p112,0.699
hydND,FEB,p113,0.651
hydND,FEB,p114,0.654
hydND,FEB,p115,0.746
hydND,FEB,p116,0.734
hydND,FEB,p117,0.688
hydND,FEB,p118,0.699
hydND,FEB,p119,0.723
hydND,FEB,p12,0.457
hydND,FEB,p121,0.691
hydND,FEB,p122,0.74
hydND,FEB,p123,0.693
hydND,FEB,p126,0.758
hydND,FEB,p127,0.733
hydND,FEB,p129,0.693
hydND,FEB,p130,0.711
hydND,FEB,p131,0.754
hydND,FEB,p132,0.754
hydND,FEB,p134,0.656
hydND,FEB,p14,0.495
hydND,FEB,p15,0.487
hydND,FEB,p16,0.431
hydND,FEB,p17,0.569
hydND,FEB,p18,0.462
hydND,FEB,p19,0.411
hydND,FEB,p2,0.716
hydND,FEB,p20,0.467
hydND,FEB,p21,0.386
hydND,FEB,p24,0.436
hydND,FEB,p25,0.485
hydND,FEB,p26,0.532
hydND,FEB,p27,0.536
hydND,FEB,p28,0.625
hydND,FEB,p3,0.633
hydND,FEB,p31,0.392
hydND,FEB,p32,0.535
hydND,FEB,p33,0.499
hydND,FEB,p34,0.455
hydND,FEB,p35,0.51
hydND,FEB,p36,0.532
hydND,FEB,p38,0.518
hydND,FEB,p39,0.458
hydND,FEB,p4,0.74
hydND,FEB,p40,0.502
hydND,FEB,p41,0.541
hydND,FEB,p42,0.504
hydND,FEB,p43,0.639
hydND,FEB,p44,0.342
hydND,FEB,p45,0.487
hydND,FEB,p46,0.566
hydND,FEB,p48,0.372
hydND,FEB,p5,0.851
hydND,FEB,p50,0.498
hydND,FEB,p51,0.443
hydND,FEB,p52,0.569
hydND,FEB,p53,0.415
hydND,FEB,p54,0.491
hydND,FEB,p55,0.597
hydND,FEB,p56,0.648
hydND,FEB,p57,0.577
hydND,FEB,p58,0.663
