name,MW,year_online,trtype,certain,from_lon,from_lat,to_lon,to_lat
z134:p24~~p32,100000,0,VSC,0,-105.84340623,42.21713106,-103.3188474,44.05686287
z134:p24~~p33,100000,0,VSC,0,-105.84340623,42.21713106,-105.87875049,40.04403731
z134:p25~~p26,100000,0,VSC,0,-111.91422885,39.08215518,-110.32728203,40.50195126
z134:p25~~p28,100000,0,VSC,0,-111.91422885,39.08215518,-111.61025637,34.16709078
z134:p25~~p31,100000,0,VSC,0,-111.91422885,39.08215518,-106.59023968,34.6065333
z134:p26~~p33,100000,0,VSC,0,-110.32728203,40.50195126,-105.87875049,40.04403731
z134:p27~~p28,100000,0,VSC,0,-113.76209955,35.69784258,-111.61025637,34.16709078
z134:p28~~p29,100000,0,VSC,0,-111.61025637,34.16709078,-109.48843324,35.38468623
z134:p28~~p30,100000,0,VSC,0,-111.61025637,34.16709078,-111.67656486,32.0319002
z134:p28~~p31,100000,0,VSC,0,-111.61025637,34.16709078,-106.59023968,34.6065333
z134:p29~~p30,100000,0,VSC,0,-109.48843324,35.38468623,-111.67656486,32.0319002
z134:p29~~p31,100000,0,VSC,0,-109.48843324,35.38468623,-106.59023968,34.6065333
z134:p31~~p34,100000,0,VSC,0,-106.59023968,34.6065333,-105.27644256,38.11411763
z134:p31~~p59,100000,0,VSC,0,-106.59023968,34.6065333,-106.23450948,31.76851457
z134:p33~~p34,100000,0,VSC,0,-105.87875049,40.04403731,-105.27644256,38.11411763
z134:p35~~p36,100000,0,VSC,0,-105.02376919,47.140418,-102.05522753,47.14542311
z134:p36~~p37,100000,0,VSC,0,-102.05522753,47.14542311,-99.0387572,47.69809765
z134:p36~~p38,100000,0,VSC,0,-102.05522753,47.14542311,-99.80784462,44.48705973
z134:p37~~p38,100000,0,VSC,0,-99.0387572,47.69809765,-99.80784462,44.48705973
z134:p37~~p42,100000,0,VSC,0,-99.0387572,47.69809765,-95.4965009,48.01572924
