name,from_lon,from_lat,to_lon,to_lat,polarity,voltage,cost_MUSD,length_miles
z134:p115~~p122,-79.86932478,40.38084573,-76.28677225,40.53840825,dc,500,487.54,201.28
z134:p116~~p117,-80.17476357,38.90026172,-81.70096999,38.00344574,dc,500,255.1,106.8
z134:p116~~p118,-80.17476357,38.90026172,-80.87858774,37.06974171,dc,500,350.2,139.04
z134:p116~~p120,-80.17476357,38.90026172,-77.86296392,39.92662364,dc,500,371.05,146.15
z134:p116~~p121,-80.17476357,38.90026172,-77.50609328,39.49881674,dc,500,409.67,159.97
z134:p117~~p118,-81.70096999,38.00344574,-80.87858774,37.06974171,dc,500,204.12,80.01
z134:p119~~p122,-77.99562482,41.33663796,-76.28677225,40.53840825,dc,500,282.43,113.22
z134:p120~~p121,-77.86296392,39.92662364,-77.50609328,39.49881674,dc,500,95.39,36.0
z134:p120~~p122,-77.86296392,39.92662364,-76.28677225,40.53840825,dc,500,251.05,97.42
z134:p121~~p122,-77.50609328,39.49881674,-76.28677225,40.53840825,dc,500,260.34,104.17
z134:p121~~p123,-77.50609328,39.49881674,-76.35304548,38.89366177,dc,500,338.7,87.56
z134:p122~~p123,-76.28677225,40.53840825,-76.35304548,38.89366177,dc,500,415.98,151.07
z134:p122~~p125,-76.28677225,40.53840825,-75.49933961,38.98534827,dc,500,339.35,126.74
z134:p122~~p126,-76.28677225,40.53840825,-74.66277334,40.17966937,dc,500,300.01,101.12
z134:p122~~p127,-76.28677225,40.53840825,-75.58732565,42.99934248,dc,500,433.2,180.61
z134:p122~~p131,-76.28677225,40.53840825,-71.79474674,42.25461052,dc,500,853.44,324.74
z134:p123~~p124,-76.35304548,38.89366177,-75.72664655,37.60377329,dc,500,452.1,147.65
z134:p123~~p125,-76.35304548,38.89366177,-75.49933961,38.98534827,dc,500,164.88,57.22
z134:p125~~p126,-75.49933961,38.98534827,-74.66277334,40.17966937,dc,500,311.06,107.96
z134:p126~~p127,-74.66277334,40.17966937,-75.58732565,42.99934248,dc,500,581.88,223.1
z134:p127~~p128,-75.58732565,42.99934248,-73.00505025,40.84011058,dc,500,1254.37,279.69
z134:p127~~p129,-75.58732565,42.99934248,-72.66583269,44.06877327,dc,500,446.75,180.27
z134:p127~~p131,-75.58732565,42.99934248,-71.79474674,42.25461052,dc,500,551.02,219.19
z134:p127~~p132,-75.58732565,42.99934248,-72.7264833,41.62044742,dc,500,532.61,204.97
z134:p127~~p134,-75.58732565,42.99934248,-69.23781577,45.35740733,dc,500,931.34,371.7
z134:p128~~p132,-73.00505025,40.84011058,-72.7264833,41.62044742,dc,500,184.17,58.12
z134:p129~~p130,-72.66583269,44.06877327,-71.58021877,43.67873388,dc,500,167.07,64.44
z134:p129~~p131,-72.66583269,44.06877327,-71.79474674,42.25461052,dc,500,403.91,144.82
z134:p12~~p13,-116.76501417,39.57265625,-115.01366961,36.21387654,dc,500,771.93,294.33
z134:p12~~p15,-116.76501417,39.57265625,-115.22499865,44.39350062,dc,500,1196.77,420.9
z134:p12~~p25,-116.76501417,39.57265625,-111.91422885,39.08215518,dc,500,748.84,322.11
z134:p130~~p131,-71.58021877,43.67873388,-71.79474674,42.25461052,dc,500,308.41,107.03
z134:p130~~p134,-71.58021877,43.67873388,-69.23781577,45.35740733,dc,500,430.39,176.67
z134:p131~~p132,-71.79474674,42.25461052,-72.7264833,41.62044742,dc,500,212.41,73.93
z134:p131~~p133,-71.79474674,42.25461052,-71.55359808,41.67561684,dc,500,142.02,46.69
z134:p132~~p133,-72.7264833,41.62044742,-71.55359808,41.67561684,dc,500,181.25,65.79
z134:p13~~p18,-115.01366961,36.21387654,-111.55656715,48.08647186,dc,500,2147.51,927.63
z134:p13~~p24,-115.01366961,36.21387654,-105.84340623,42.21713106,dc,500,1701.02,701.99
z134:p13~~p25,-115.01366961,36.21387654,-111.91422885,39.08215518,dc,500,704.13,294.46
z134:p13~~p27,-115.01366961,36.21387654,-113.76209955,35.69784258,dc,500,1925.9,809.29
z134:p13~~p28,-115.01366961,36.21387654,-111.61025637,34.16709078,dc,500,2135.78,829.56
z134:p13~~p31,-115.01366961,36.21387654,-106.59023968,34.6065333,dc,500,1844.96,778.25
z134:p13~~p61,-115.01366961,36.21387654,-102.52534008,30.80627576,dc,500,2647.4,1151.45
z134:p14~~p15,-116.62286863,47.60393639,-115.22499865,44.39350062,dc,500,2202.8,442.9
z134:p14~~p17,-116.62286863,47.60393639,-113.58090985,46.78287505,dc,500,944.95,210.58
z134:p15~~p16,-115.22499865,44.39350062,-112.43934162,43.04119611,dc,500,788.21,195.64
z134:p15~~p17,-115.22499865,44.39350062,-113.58090985,46.78287505,dc,500,1170.05,282.56
z134:p15~~p21,-115.22499865,44.39350062,-109.27122026,43.02938593,dc,500,1530.04,454.44
z134:p15~~p24,-115.22499865,44.39350062,-105.84340623,42.21713106,dc,500,1628.57,556.41
z134:p15~~p25,-115.22499865,44.39350062,-111.91422885,39.08215518,dc,500,1446.65,477.5
z134:p15~~p31,-115.22499865,44.39350062,-106.59023968,34.6065333,dc,500,2582.65,941.44
z134:p16~~p17,-112.43934162,43.04119611,-113.58090985,46.78287505,dc,500,735.53,307.72
z134:p16~~p18,-112.43934162,43.04119611,-111.55656715,48.08647186,dc,500,909.66,384.91
z134:p16~~p21,-112.43934162,43.04119611,-109.27122026,43.02938593,dc,500,825.34,259.38
z134:p16~~p25,-112.43934162,43.04119611,-111.91422885,39.08215518,dc,500,784.39,304.71
z134:p17~~p18,-113.58090985,46.78287505,-111.55656715,48.08647186,dc,500,347.43,147.47
z134:p17~~p20,-113.58090985,46.78287505,-108.01220465,46.44019682,dc,500,684.74,288.5
z134:p18~~p19,-111.55656715,48.08647186,-106.82890126,47.83145626,dc,500,516.63,236.42
z134:p18~~p20,-111.55656715,48.08647186,-108.01220465,46.44019682,dc,500,460.55,206.46
z134:p18~~p21,-111.55656715,48.08647186,-109.27122026,43.02938593,dc,500,1039.98,411.18
z134:p18~~p22,-111.55656715,48.08647186,-106.69473738,44.32138902,dc,500,819.54,371.29
z134:p18~~p25,-111.55656715,48.08647186,-111.91422885,39.08215518,dc,500,1690.84,689.43
z134:p18~~p33,-111.55656715,48.08647186,-105.87875049,40.04403731,dc,500,1566.52,684.14
z134:p18~~p41,-111.55656715,48.08647186,-96.33443022,40.9564524,dc,500,2011.96,934.6
z134:p18~~p43,-111.55656715,48.08647186,-93.66196443,46.24990794,dc,500,1971.91,915.37
z134:p1~~p18,-121.52720518,47.80413219,-111.55656715,48.08647186,dc,500,2070.46,606.83
z134:p1~~p2,-121.52720518,47.80413219,-121.52605782,46.63558835,dc,500,663.6,124.08
z134:p1~~p25,-121.52720518,47.80413219,-111.91422885,39.08215518,dc,500,2269.37,852.9
z134:p1~~p4,-121.52720518,47.80413219,-119.54845201,47.41580274,dc,500,663.47,111.37
z134:p1~~p9,-121.52720518,47.80413219,-121.38102184,38.35087876,dc,500,2135.76,762.8
z134:p20~~p35,-108.01220465,46.44019682,-105.02376919,47.140418,dc,500,344.12,160.06
z134:p21~~p24,-109.27122026,43.02938593,-105.84340623,42.21713106,dc,500,534.32,197.48
z134:p21~~p25,-109.27122026,43.02938593,-111.91422885,39.08215518,dc,500,1161.57,403.98
z134:p21~~p26,-109.27122026,43.02938593,-110.32728203,40.50195126,dc,500,770.31,272.32
z134:p22~~p23,-106.69473738,44.32138902,-105.03634161,44.24703513,dc,500,190.02,86.66
z134:p22~~p24,-106.69473738,44.32138902,-105.84340623,42.21713106,dc,500,360.45,160.89
z134:p23~~p24,-105.03634161,44.24703513,-105.84340623,42.21713106,dc,500,354.98,158.61
z134:p23~~p32,-105.03634161,44.24703513,-103.3188474,44.05686287,dc,500,229.94,92.37
z134:p24~~p25,-105.84340623,42.21713106,-111.91422885,39.08215518,dc,500,1042.17,419.62
z134:p24~~p28,-105.84340623,42.21713106,-111.61025637,34.16709078,dc,500,1663.78,701.69
z134:p24~~p32,-105.84340623,42.21713106,-103.3188474,44.05686287,dc,500,437.14,185.9
z134:p24~~p33,-105.84340623,42.21713106,-105.87875049,40.04403731,dc,500,450.7,189.42
z134:p24~~p39,-105.84340623,42.21713106,-102.67501629,41.72626681,dc,500,391.38,178.45
z134:p24~~p41,-105.84340623,42.21713106,-96.33443022,40.9564524,dc,500,1147.36,530.51
z134:p24~~p43,-105.84340623,42.21713106,-93.66196443,46.24990794,dc,500,1555.95,718.81
z134:p24~~p50,-105.84340623,42.21713106,-97.47898472,35.29751298,dc,500,1482.07,682.33
z134:p24~~p63,-105.84340623,42.21713106,-97.11394036,32.36521363,dc,500,1943.06,895.02
z134:p24~~p76,-105.84340623,42.21713106,-89.1038466,44.08576245,dc,500,1963.3,892.76
z134:p24~~p80,-105.84340623,42.21713106,-88.78740634,41.76755631,dc,500,1981.26,889.39
z134:p25~~p26,-111.91422885,39.08215518,-110.32728203,40.50195126,dc,500,422.68,139.9
z134:p25~~p28,-111.91422885,39.08215518,-111.61025637,34.16709078,dc,500,1260.54,497.78
z134:p25~~p31,-111.91422885,39.08215518,-106.59023968,34.6065333,dc,500,1158.97,484.55
z134:p25~~p33,-111.91422885,39.08215518,-105.87875049,40.04403731,dc,500,978.35,367.94
z134:p25~~p37,-111.91422885,39.08215518,-99.0387572,47.69809765,dc,500,2168.51,926.4
z134:p25~~p38,-111.91422885,39.08215518,-99.80784462,44.48705973,dc,500,1833.35,788.63
z134:p25~~p41,-111.91422885,39.08215518,-96.33443022,40.9564524,dc,500,2077.98,885.76
z134:p25~~p45,-111.91422885,39.08215518,-95.03227389,42.42197121,dc,500,2234.68,965.92
z134:p25~~p50,-111.91422885,39.08215518,-97.47898472,35.29751298,dc,500,2188.96,957.35
z134:p25~~p53,-111.91422885,39.08215518,-97.49793745,38.39157084,dc,500,2088.77,896.0
z134:p25~~p54,-111.91422885,39.08215518,-93.97419616,39.67019964,dc,500,2418.82,1046.43
z134:p25~~p61,-111.91422885,39.08215518,-102.52534008,30.80627576,dc,500,1961.41,857.75
z134:p26~~p33,-110.32728203,40.50195126,-105.87875049,40.04403731,dc,500,626.19,257.03
z134:p27~~p28,-113.76209955,35.69784258,-111.61025637,34.16709078,dc,500,504.06,172.81
z134:p28~~p29,-111.61025637,34.16709078,-109.48843324,35.38468623,dc,500,649.22,213.32
z134:p28~~p30,-111.61025637,34.16709078,-111.67656486,32.0319002,dc,500,557.5,174.41
z134:p28~~p31,-111.61025637,34.16709078,-106.59023968,34.6065333,dc,500,1010.47,372.53
z134:p28~~p53,-111.61025637,34.16709078,-97.49793745,38.39157084,dc,500,2296.54,956.29
z134:p28~~p61,-111.61025637,34.16709078,-102.52534008,30.80627576,dc,500,1637.31,656.77
z134:p29~~p30,-109.48843324,35.38468623,-111.67656486,32.0319002,dc,500,682.92,290.04
z134:p29~~p31,-109.48843324,35.38468623,-106.59023968,34.6065333,dc,500,420.49,185.82
z134:p2~~p14,-121.52605782,46.63558835,-116.62286863,47.60393639,dc,500,803.28,257.18
z134:p2~~p3,-121.52605782,46.63558835,-118.4775817,47.8997302,dc,500,644.35,189.56
z134:p2~~p4,-121.52605782,46.63558835,-119.54845201,47.41580274,dc,500,503.55,123.29
z134:p2~~p5,-121.52605782,46.63558835,-120.84858533,44.8758229,dc,500,551.93,149.91
z134:p31~~p33,-106.59023968,34.6065333,-105.87875049,40.04403731,dc,500,1389.5,459.81
z134:p31~~p34,-106.59023968,34.6065333,-105.27644256,38.11411763,dc,500,739.47,278.03
z134:p31~~p41,-106.59023968,34.6065333,-96.33443022,40.9564524,dc,500,1643.2,755.52
z134:p31~~p47,-106.59023968,34.6065333,-103.91132463,33.46127096,dc,500,408.83,186.97
z134:p31~~p48,-106.59023968,34.6065333,-101.7996265,34.84980919,dc,500,611.47,279.44
z134:p31~~p50,-106.59023968,34.6065333,-97.47898472,35.29751298,dc,500,1157.89,532.1
z134:p31~~p59,-106.59023968,34.6065333,-106.23450948,31.76851457,dc,500,480.96,209.15
z134:p31~~p63,-106.59023968,34.6065333,-97.11394036,32.36521363,dc,500,1339.62,614.82
