start,end,polarity,voltage,cost_MUSD,length_miles
6b10bde7e3113dbf417c0696008ae9d9,f706d04e4f5dd59a8e4dde3ad238dfe9,ac,138,101.16,58.94
75bba14f3b9c2c2fbaab30d94e502d54,8134736e3bba7bedeb99312cc5d7f4e4,ac,230,105.01,35.49
75bba14f3b9c2c2fbaab30d94e502d54,8f3711e4d3e3b05b3f4bb7caa55e204a,ac,138,141.13,67.27
6b10bde7e3113dbf417c0696008ae9d9,c610cfef1f7f60b84c4daae59531dd03,ac,500,281.28,61.46
6b10bde7e3113dbf417c0696008ae9d9,ecc28b249b1c770b0a603cc4cc5b76cd,ac,500,399.11,102.86
319b2600b8defbf79afcb125d55ff9c7,d1753623bca69e9b6549954e526d6b64,ac,230,53.08,28.59
319b2600b8defbf79afcb125d55ff9c7,2ec937378ea08e49faa1a6608880d002,ac,230,74.75,39.38
258b55f3d6bc1cafb846ac3bbe5bc643,0fff885ae427e3adae25dbb31251470c,ac,230,346.46,84.13
258b55f3d6bc1cafb846ac3bbe5bc643,ecc28b249b1c770b0a603cc4cc5b76cd,ac,230,93.9,40.43
6b10bde7e3113dbf417c0696008ae9d9,57a2d4bce39348d41d45c639cf9fb371,ac,345,880.73,170.67
6b10bde7e3113dbf417c0696008ae9d9,d2e2db7fd52f7d7e8880ee081f5cd521,ac,230,160.08,88.27
6b10bde7e3113dbf417c0696008ae9d9,711fdb7d82d96139a0b28ff8f3d37a56,ac,230,166.15,86.35
50429f255f0345eb0f7c06048a3bfd71,ae401e91c59522060b39dc28b850fad3,ac,230,647.29,213.13
50429f255f0345eb0f7c06048a3bfd71,a4ed13a6f161d96f8aa20727345a3158,ac,230,205.42,99.21
50429f255f0345eb0f7c06048a3bfd71,d14df0e3482dbfefc31bbf9196420883,ac,230,552.81,299.7
50429f255f0345eb0f7c06048a3bfd71,f95164989b1010c59e4a64bd7bd6f192,ac,500,1573.5,261.59
50429f255f0345eb0f7c06048a3bfd71,93e7754e3229c4cd9167c5292a7773b5,ac,500,1221.28,255.86
f5a7c84ef5817d4f09432d22bfeb2a45,4cb2ca077f51dd1ea110325095c79c87,ac,138,56.79,33.08
e120d8cb6af50a5cbf76b8fafd89afb6,b7d944793cfd1c1f1b156d5d4ed191fe,ac,138,62.41,36.3
75bba14f3b9c2c2fbaab30d94e502d54,57a2d4bce39348d41d45c639cf9fb371,ac,500,185.64,36.9
2ee7d49cbf53f1079bfd51cce6a1c06f,4cb2ca077f51dd1ea110325095c79c87,ac,230,104.4,57.98
37654b793d96ed06d8c2bfa60658a502,4cb2ca077f51dd1ea110325095c79c87,ac,138,98.56,57.43
54f4472e596fa8826686790226920fa7,5ce3197852088a7e5a3c8b625430c44f,ac,138,90.46,52.32
54f4472e596fa8826686790226920fa7,1372c3d1724fa299700974106f330ccc,ac,138,81.24,47.22
54f4472e596fa8826686790226920fa7,b7d944793cfd1c1f1b156d5d4ed191fe,ac,138,155.59,90.22
2ee7d49cbf53f1079bfd51cce6a1c06f,f5a7c84ef5817d4f09432d22bfeb2a45,ac,138,79.7,46.5
2ee7d49cbf53f1079bfd51cce6a1c06f,f142c6067e6345134c6728f299cf4c1e,ac,138,74.8,43.56
2ee7d49cbf53f1079bfd51cce6a1c06f,b7d944793cfd1c1f1b156d5d4ed191fe,ac,138,103.28,60.17
cb61843a4d547a8d2a199fe80a7a1add,a83d567f09e542dbe66a7e1a9430504a,ac,161,105.76,59.63
cb61843a4d547a8d2a199fe80a7a1add,5c72c99424191cfd8ec2227b923c03d9,ac,161,94.75,54.11
93e7754e3229c4cd9167c5292a7773b5,a4ed13a6f161d96f8aa20727345a3158,ac,500,950.9,188.58
93e7754e3229c4cd9167c5292a7773b5,ea4f893317f30161c72d21075feaf713,ac,500,704.1,122.77
93e7754e3229c4cd9167c5292a7773b5,d14df0e3482dbfefc31bbf9196420883,ac,500,790.61,143.79
16f6598b8413c2691f729ba63964007d,3c8c149fa9b5eb887bb9d5cb446962dd,ac,230,384.85,206.23
16f6598b8413c2691f729ba63964007d,0c03add16b1ced2262e7d738a50e7c80,ac,230,843.06,410.26
16f6598b8413c2691f729ba63964007d,223606f488621a5b46d3b064f5c4ce83,ac,230,686.55,370.92
16f6598b8413c2691f729ba63964007d,932bd69975a061bb299f65fa80844851,ac,230,779.06,417.67
1372c3d1724fa299700974106f330ccc,ce4a34de8a08d5b2a3fb5dff44d7a5d2,ac,138,51.78,30.16
aa67a5155398e6ffede7cf8b4825fe39,30b8014701a623705dd4bbc01ee7860b,ac,230,60.02,29.91
aa67a5155398e6ffede7cf8b4825fe39,89d7b51cbf6fdf18a3b0586c9e538b6d,ac,138,77.66,39.86
aa67a5155398e6ffede7cf8b4825fe39,bb969c87c69d4aa51f6d1a21c913d8fa,ac,138,53.99,38.24
7c9c1ec602afac5119950925b588121e,c5d84b491de9533ab5043b62c3d41057,ac,138,62.83,36.56
7c9c1ec602afac5119950925b588121e,da03ec3df4a3182b2235d387e94b66cb,ac,138,61.74,35.72
7c9c1ec602afac5119950925b588121e,1e30822b8bd1d607bb099fa9387b8976,ac,138,95.12,55.13
6fb5805e13f6fac6c4b268029196d1be,da03ec3df4a3182b2235d387e94b66cb,ac,138,73.69,42.72
6fb5805e13f6fac6c4b268029196d1be,b19db9e093184a424038e07ab2ce8425,ac,138,67.72,39.42
cfc7c6a21387750bd3f2b14f8242d548,0fff885ae427e3adae25dbb31251470c,ac,230,222.56,46.93
f4c1f8a98bd9d71eacac4a85c855e149,0fff885ae427e3adae25dbb31251470c,ac,230,210.31,52.47
9707fe6c04d0d1a0e611ad54ec908ceb,75bba14f3b9c2c2fbaab30d94e502d54,ac,230,70.41,31.0
3ca21ef60e46b13907b2a75832fd100b,1134604ead16f77309235aa3d327bb59,ac,138,116.07,67.74
3ca21ef60e46b13907b2a75832fd100b,4cb2ca077f51dd1ea110325095c79c87,ac,138,147.93,86.21
b17c44705baa151946cca111b7196cae,eeaeae6496ed292665577df6377dcff5,ac,138,61.06,35.67
b17c44705baa151946cca111b7196cae,6b10bde7e3113dbf417c0696008ae9d9,ac,138,82.29,47.72
b17c44705baa151946cca111b7196cae,f706d04e4f5dd59a8e4dde3ad238dfe9,ac,138,76.38,44.64
b17c44705baa151946cca111b7196cae,4b440313d7f8dfa0629155da8af59613,ac,138,91.73,53.69
e6511e07069c95500e0337215ac85395,b146d051b578201f1e3419f8850a8a43,ac,230,119.06,43.61
91dacc0f5b8d3192aa89bc86db450dc1,258b55f3d6bc1cafb846ac3bbe5bc643,ac,138,62.71,33.03
da03ec3df4a3182b2235d387e94b66cb,1e30822b8bd1d607bb099fa9387b8976,ac,138,52.66,30.52
30b8014701a623705dd4bbc01ee7860b,bb969c87c69d4aa51f6d1a21c913d8fa,ac,138,61.29,31.8
1772d7476f7f38debfcd459a8489217f,a83d567f09e542dbe66a7e1a9430504a,ac,161,102.28,57.68
30b8014701a623705dd4bbc01ee7860b,34fc31720ce1b1ab18191a852120231f,ac,230,248.23,55.03
30b8014701a623705dd4bbc01ee7860b,206125c6e7523ba7c0301144ac24eea9,ac,230,94.55,38.95
30b8014701a623705dd4bbc01ee7860b,9707fe6c04d0d1a0e611ad54ec908ceb,ac,230,125.59,56.18
1772d7476f7f38debfcd459a8489217f,d8591042aaf8c8d8b53b7e43085a0587,ac,230,195.08,105.9
30b8014701a623705dd4bbc01ee7860b,170277c92bb14228ea593cb85b2654a9,ac,500,121.42,28.57
30b8014701a623705dd4bbc01ee7860b,75bba14f3b9c2c2fbaab30d94e502d54,ac,500,299.29,69.1
91dacc0f5b8d3192aa89bc86db450dc1,284c1ffedc349416c5a95b82a0f6a6d7,ac,230,60.38,29.87
91dacc0f5b8d3192aa89bc86db450dc1,cfc7c6a21387750bd3f2b14f8242d548,ac,230,128.94,39.66
91dacc0f5b8d3192aa89bc86db450dc1,ecc28b249b1c770b0a603cc4cc5b76cd,ac,230,95.78,46.46
91dacc0f5b8d3192aa89bc86db450dc1,4b440313d7f8dfa0629155da8af59613,ac,230,94.73,49.87
b146d051b578201f1e3419f8850a8a43,6f760a053c4fc2b0e7a369b42fd7f68c,ac,500,843.34,207.77
206125c6e7523ba7c0301144ac24eea9,9707fe6c04d0d1a0e611ad54ec908ceb,ac,230,70.82,30.79
b4bee9fe0aef927e2a9e2b7072832d6e,4cb2ca077f51dd1ea110325095c79c87,ac,138,126.05,72.87
284c1ffedc349416c5a95b82a0f6a6d7,870271b323edc885b0478b67113fdbb1,ac,230,69.43,36.32
206125c6e7523ba7c0301144ac24eea9,c27b70bc885cfc378c0ea91bf9953cf6,ac,138,116.21,35.23
eeaeae6496ed292665577df6377dcff5,d2e2db7fd52f7d7e8880ee081f5cd521,ac,138,53.53,31.21
284c1ffedc349416c5a95b82a0f6a6d7,4b440313d7f8dfa0629155da8af59613,ac,138,75.38,42.27
d26cf5a5aa1c2999c8339d77fc3eed44,ab243ac315c8f9c55254cbafe079b3c5,ac,138,256.57,56.82
e31187e638aaf1bb37a436452de8230e,c4c98da153c360c232e1494b9cdd8cea,ac,138,94.63,50.49
c5d84b491de9533ab5043b62c3d41057,218a6beba67ce30416235c45f0357c20,ac,138,45.52,26.41
c5d84b491de9533ab5043b62c3d41057,fc57743d9d05b175ede3ff68f2d8623b,ac,138,109.03,63.24
d26cf5a5aa1c2999c8339d77fc3eed44,a1b2e04c65e8fa74ba1e50a429b828ca,ac,500,730.38,108.24
d26cf5a5aa1c2999c8339d77fc3eed44,0fff885ae427e3adae25dbb31251470c,ac,500,400.38,38.01
d26cf5a5aa1c2999c8339d77fc3eed44,ecc28b249b1c770b0a603cc4cc5b76cd,ac,500,787.78,131.55
89d7b51cbf6fdf18a3b0586c9e538b6d,170277c92bb14228ea593cb85b2654a9,ac,138,88.0,31.99
baedb748044841999a16d08bbb7e7299,b7d944793cfd1c1f1b156d5d4ed191fe,ac,138,131.13,74.75
89d7b51cbf6fdf18a3b0586c9e538b6d,b541f9935c1b4824b94f71c64ee36e6c,ac,230,56.03,26.81
4c8760b53ef0ab2331c82d45634cf29b,eeaeae6496ed292665577df6377dcff5,ac,138,69.56,38.64
f142c6067e6345134c6728f299cf4c1e,b7d944793cfd1c1f1b156d5d4ed191fe,ac,230,69.69,38.47
f142c6067e6345134c6728f299cf4c1e,4cb2ca077f51dd1ea110325095c79c87,ac,230,103.21,57.13
170277c92bb14228ea593cb85b2654a9,b541f9935c1b4824b94f71c64ee36e6c,ac,230,58.44,26.86
170277c92bb14228ea593cb85b2654a9,206125c6e7523ba7c0301144ac24eea9,ac,230,94.07,36.53
5ce3197852088a7e5a3c8b625430c44f,bd552ac73bbb7569413071a2661aab05,ac,138,157.7,91.59
5ce3197852088a7e5a3c8b625430c44f,32bae55485fd5716ea748794e67da429,ac,230,92.14,51.04
5ce3197852088a7e5a3c8b625430c44f,baedb748044841999a16d08bbb7e7299,ac,230,57.04,31.46
5ce3197852088a7e5a3c8b625430c44f,b7d944793cfd1c1f1b156d5d4ed191fe,ac,230,79.85,43.71
5ce3197852088a7e5a3c8b625430c44f,feaa3aa9821868db73534710d1945c9c,ac,230,100.5,55.51
baedb748044841999a16d08bbb7e7299,b19db9e093184a424038e07ab2ce8425,ac,230,110.95,61.08
baedb748044841999a16d08bbb7e7299,1372c3d1724fa299700974106f330ccc,ac,230,70.0,38.78
baedb748044841999a16d08bbb7e7299,23770696e86230ab2f6d000142be218a,ac,230,92.43,51.14
6151ca1f26822034f6b12f142bdfc9db,e6511e07069c95500e0337215ac85395,ac,230,168.38,87.41
6151ca1f26822034f6b12f142bdfc9db,6f760a053c4fc2b0e7a369b42fd7f68c,ac,230,178.25,89.68
0c66ecade1fe6cf8e9c92080459986ff,df03af942339bf722676fd2f752f2a1f,ac,345,221.02,69.7
987abbb401850a3f9d10dc85a625c0c9,48f36fcf310742f269ed41f985563900,ac,138,107.43,57.46
ab243ac315c8f9c55254cbafe079b3c5,596f13d0466c69130d1cf0951e189df3,ac,161,203.64,73.75
0c66ecade1fe6cf8e9c92080459986ff,e31187e638aaf1bb37a436452de8230e,ac,138,83.66,46.46
0c66ecade1fe6cf8e9c92080459986ff,3065e37608eff557bbbd771c9c0fb34b,ac,138,108.29,60.17
3c7abc591eb9e683ef213f134f800a8b,5f3325f394c801db949611a1479a0091,ac,161,214.93,122.89
3c7abc591eb9e683ef213f134f800a8b,1134604ead16f77309235aa3d327bb59,ac,161,145.29,82.93
ab243ac315c8f9c55254cbafe079b3c5,a1b2e04c65e8fa74ba1e50a429b828ca,ac,230,188.58,59.71
ab243ac315c8f9c55254cbafe079b3c5,0fff885ae427e3adae25dbb31251470c,ac,230,319.57,84.27
4c8760b53ef0ab2331c82d45634cf29b,6b10bde7e3113dbf417c0696008ae9d9,ac,500,304.46,76.81
4c8760b53ef0ab2331c82d45634cf29b,c610cfef1f7f60b84c4daae59531dd03,ac,500,354.72,88.99
4c8760b53ef0ab2331c82d45634cf29b,4731930038e535c8a92a63282a1bdf7f,ac,500,266.56,69.59
4c8760b53ef0ab2331c82d45634cf29b,d2e2db7fd52f7d7e8880ee081f5cd521,ac,500,216.98,53.43
4c8760b53ef0ab2331c82d45634cf29b,711fdb7d82d96139a0b28ff8f3d37a56,ac,500,256.75,65.32
987abbb401850a3f9d10dc85a625c0c9,1772d7476f7f38debfcd459a8489217f,ac,230,112.2,61.81
987abbb401850a3f9d10dc85a625c0c9,14f5c9b660813801b453b5903af18ca7,ac,230,118.15,52.58
987abbb401850a3f9d10dc85a625c0c9,d1753623bca69e9b6549954e526d6b64,ac,230,105.48,57.55
987abbb401850a3f9d10dc85a625c0c9,2ec937378ea08e49faa1a6608880d002,ac,230,174.81,94.35
9fc373d0ebace3e362fd05ce042e7579,0aa95157ba94430c97499e6cdf5d9efc,ac,500,998.77,149.17
9fc373d0ebace3e362fd05ce042e7579,29caed99fc1dd3b1885e56417648e1e6,ac,500,686.21,176.89
9fc373d0ebace3e362fd05ce042e7579,42c235ae41fc004e2bfd44da309b7153,ac,230,609.13,298.21
14f5c9b660813801b453b5903af18ca7,a1b2e04c65e8fa74ba1e50a429b828ca,ac,230,76.27,35.49
4731930038e535c8a92a63282a1bdf7f,711fdb7d82d96139a0b28ff8f3d37a56,ac,230,90.96,46.67
34fc31720ce1b1ab18191a852120231f,c27b70bc885cfc378c0ea91bf9953cf6,ac,138,139.75,48.66
4731930038e535c8a92a63282a1bdf7f,c27b70bc885cfc378c0ea91bf9953cf6,ac,138,150.35,63.28
d2e2db7fd52f7d7e8880ee081f5cd521,4b440313d7f8dfa0629155da8af59613,ac,500,263.03,69.33
e33f0fb10c9764b3cc1803bccdf448d6,d2e2db7fd52f7d7e8880ee081f5cd521,ac,500,185.23,48.07
e33f0fb10c9764b3cc1803bccdf448d6,4b440313d7f8dfa0629155da8af59613,ac,500,132.36,34.69
34fc31720ce1b1ab18191a852120231f,170277c92bb14228ea593cb85b2654a9,ac,230,216.45,39.36
34fc31720ce1b1ab18191a852120231f,206125c6e7523ba7c0301144ac24eea9,ac,230,251.57,49.81
34fc31720ce1b1ab18191a852120231f,4731930038e535c8a92a63282a1bdf7f,ac,230,513.33,146.82
d6368eb1ada0146fbabee40e79f3b4e4,284c1ffedc349416c5a95b82a0f6a6d7,ac,138,106.76,55.39
d6368eb1ada0146fbabee40e79f3b4e4,a13f8dcef4c4ab510e0c0795af71f77b,ac,138,95.87,51.31
0aa519b9fd9be846fcedee48dbdb44fd,baedb748044841999a16d08bbb7e7299,ac,138,57.31,33.39
0aa519b9fd9be846fcedee48dbdb44fd,b19db9e093184a424038e07ab2ce8425,ac,138,61.75,35.94
0aa519b9fd9be846fcedee48dbdb44fd,ce4a34de8a08d5b2a3fb5dff44d7a5d2,ac,138,76.97,44.84
d6368eb1ada0146fbabee40e79f3b4e4,870271b323edc885b0478b67113fdbb1,ac,500,251.64,61.31
d6368eb1ada0146fbabee40e79f3b4e4,d26cf5a5aa1c2999c8339d77fc3eed44,ac,500,487.93,52.99
fcccfc1beffbaa487eb34db63fe3e823,d2e2db7fd52f7d7e8880ee081f5cd521,ac,230,53.69,28.5
fcccfc1beffbaa487eb34db63fe3e823,e33f0fb10c9764b3cc1803bccdf448d6,ac,138,37.62,21.1
218a6beba67ce30416235c45f0357c20,ececd3cff01bb6137f0578be5337a5f2,ac,230,49.34,27.12
218a6beba67ce30416235c45f0357c20,dc66b44552c92b64725c5483f5881102,ac,138,24.93,14.5
218a6beba67ce30416235c45f0357c20,fc57743d9d05b175ede3ff68f2d8623b,ac,138,121.54,70.38
fcccfc1beffbaa487eb34db63fe3e823,4b440313d7f8dfa0629155da8af59613,ac,500,184.66,47.6
4bd106ffe5e8ef167227db73267a1011,d347ad6d027270dec609d179e21995d4,ac,138,98.77,57.42
4bd106ffe5e8ef167227db73267a1011,4cb2ca077f51dd1ea110325095c79c87,ac,138,115.89,67.43
2ecc65c44282f1ad4bfa9ca7bf4d0a37,88beb72f600e507cecc09bd636b1da5e,ac,138,95.28,51.83
2ecc65c44282f1ad4bfa9ca7bf4d0a37,6f760a053c4fc2b0e7a369b42fd7f68c,ac,138,187.89,102.87
c4c98da153c360c232e1494b9cdd8cea,df03af942339bf722676fd2f752f2a1f,ac,138,150.94,82.77
ca8a8fb4c0c308ce39ee7947b2c90faa,5335b9060b734d89e75fbd13d9e6d678,ac,500,663.24,166.34
746de7a2ddd516aba7e075df93ee1984,6dcecce2bf925ad09dd36d34a68b1f3e,ac,345,569.06,176.44
e787c80d4fae910c1c6d0a14eb2d5db5,4731930038e535c8a92a63282a1bdf7f,ac,138,105.86,54.12
fda1e6e7b8c6a594746d60ff48746f12,b19db9e093184a424038e07ab2ce8425,ac,138,61.58,35.48
c81b59a1e08f93cdea2fa3637aee0565,5cacb64862789cc1a6c5d2e646e8177f,ac,138,64.72,36.58
c81b59a1e08f93cdea2fa3637aee0565,228b495ddf77bcfc7f5a57c1648599f9,ac,138,110.53,61.86
1134604ead16f77309235aa3d327bb59,25ba6ebb3e470993540ebc62e98a51e2,ac,161,118.82,68.02
1134604ead16f77309235aa3d327bb59,3ca21ef60e46b13907b2a75832fd100b,ac,138,116.07,67.74
1134604ead16f77309235aa3d327bb59,b4bee9fe0aef927e2a9e2b7072832d6e,ac,138,99.94,58.24
c81b59a1e08f93cdea2fa3637aee0565,6f760a053c4fc2b0e7a369b42fd7f68c,ac,500,523.72,133.45
e787c80d4fae910c1c6d0a14eb2d5db5,34fc31720ce1b1ab18191a852120231f,ac,230,157.96,43.11
e787c80d4fae910c1c6d0a14eb2d5db5,0ace14f7dd3d8e29870664c6fa021440,ac,230,107.72,50.02
1134604ead16f77309235aa3d327bb59,dd661f9e8782f1ba01c20f67620d2be1,ac,500,437.95,116.22
1134604ead16f77309235aa3d327bb59,949ea4ab75af45c20e68cdd4e2600bf9,ac,500,316.22,83.65
1134604ead16f77309235aa3d327bb59,e31003304da364867f1dce3be564fb7a,ac,500,432.64,114.75
c81b59a1e08f93cdea2fa3637aee0565,eeb7eebbb38d3cd16f18d4a68f065866,ac,230,161.1,84.48
c81b59a1e08f93cdea2fa3637aee0565,ececd3cff01bb6137f0578be5337a5f2,ac,230,142.58,78.56
d347ad6d027270dec609d179e21995d4,bd552ac73bbb7569413071a2661aab05,ac,345,254.23,85.81
d347ad6d027270dec609d179e21995d4,0607fc0e91072d38ee2f2ba2cf07b77c,ac,345,233.79,78.75
d347ad6d027270dec609d179e21995d4,4cb2ca077f51dd1ea110325095c79c87,ac,345,305.56,102.68
46d758807d9e444cb7cf7607ecc4663c,e33f0fb10c9764b3cc1803bccdf448d6,ac,138,44.18,24.84
fc57743d9d05b175ede3ff68f2d8623b,1e30822b8bd1d607bb099fa9387b8976,ac,138,61.51,35.76
870271b323edc885b0478b67113fdbb1,e33f0fb10c9764b3cc1803bccdf448d6,ac,500,164.23,41.96
46d758807d9e444cb7cf7607ecc4663c,d2e2db7fd52f7d7e8880ee081f5cd521,ac,230,128.09,66.99
a43cf1bfb47754486720d964df63425b,5c51774e43c9db3aa687f23c27956104,ac,138,96.93,54.19
a43cf1bfb47754486720d964df63425b,d8591042aaf8c8d8b53b7e43085a0587,ac,138,119.9,65.82
870271b323edc885b0478b67113fdbb1,54cbacbc5d8130ebcec9891bf80027d8,ac,230,162.21,66.73
870271b323edc885b0478b67113fdbb1,46d758807d9e444cb7cf7607ecc4663c,ac,230,47.52,25.05
870271b323edc885b0478b67113fdbb1,4b440313d7f8dfa0629155da8af59613,ac,230,106.84,58.0
fc57743d9d05b175ede3ff68f2d8623b,165d6d6efc3c235ff0c042d3d8cfa8fd,ac,345,606.19,204.97
ae401e91c59522060b39dc28b850fad3,16f6598b8413c2691f729ba63964007d,ac,230,286.49,147.43
fc57743d9d05b175ede3ff68f2d8623b,63a870d439103e960fd82086ec3a5d0b,ac,230,75.74,41.85
fc57743d9d05b175ede3ff68f2d8623b,da03ec3df4a3182b2235d387e94b66cb,ac,230,108.02,59.37
fc57743d9d05b175ede3ff68f2d8623b,b19db9e093184a424038e07ab2ce8425,ac,230,124.82,68.98
fc57743d9d05b175ede3ff68f2d8623b,ddb078fe50b8985f6347bee505567bb3,ac,230,90.75,50.15
ae401e91c59522060b39dc28b850fad3,3c8c149fa9b5eb887bb9d5cb446962dd,ac,500,1155.0,288.5
ae401e91c59522060b39dc28b850fad3,a4ed13a6f161d96f8aa20727345a3158,ac,500,1483.85,282.68
a13f8dcef4c4ab510e0c0795af71f77b,870271b323edc885b0478b67113fdbb1,ac,138,31.27,17.74
