voltage_kv,kcmil,conductor_type,conductor_quantity,amp
69,477,ACSS,1,1175
115,795,ACSS,1,1650
138,795,ACSS,1,1650
161,795,ACSS,1,1650
230,795,ACSS,1,1650
345,795,ACSS,2,3000
500,954,ACSR,3,3000
765,795,ACSR,6,5000
