r,md5,node_lat,node_lon
p04027,3609856d4fe53bcb826693f3ee2efe65,32.76902774,-113.90562712
p05001,f0d04f66ba165d47971ad5b479fa289f,34.28904313,-91.37401608
p05003,a0476db0f3f2463f29ba554f6e61cd72,33.19122067,-91.76851396
p05005,b1ec7126b9148b73275e631dca9acc8b,36.28698661,-92.3369351
p05007,3b785adcb68c264cbf72bdc88c234613,36.33879963,-94.25621175
p05009,990d46ecd9a3285044e356c0de580a2b,36.30854596,-93.09154117
p05011,f83260a62c6107628dc18c2af37425f3,33.46626323,-92.1623895
p05013,e31d5b16e65fdb36caedd9ab3933384b,33.55794508,-92.50303185
p05015,349d707270cbe0aafdad3b7480ae881f,36.34104103,-93.53801837
p05017,cdd24e9c08f116efd812e91220a447cf,33.26681183,-91.29365473
p05019,5d1b48a9347cea56614eb2257b664102,34.05082134,-93.17611112
p05021,069b2628b955501ac6bb3aa28c33616b,36.36843063,-90.41729896
p05023,b73e8b9713e8c757adde80feb911d0f9,35.53812951,-92.02673984
p05025,c3aee0f10708a26e5ed3d114424a5ddb,33.89832625,-92.1850875
p05027,1cb675bcd6e4db47f0a8714969f55371,33.21422714,-93.22736321
p05029,4df404ec4767e87cd6de81517c289064,35.26228566,-92.70157923
p05031,5e810e313b0c03097a95c4a5440e2caf,35.83092069,-90.63292089
p05033,89548a8663903996cd93634bbc42b7e4,35.58800663,-94.24289054
p05035,32e1df6f29762c12c5e219279f5cbe5f,35.20540968,-90.30785109
p05037,958b32c1d097b9ef61492d84df31224d,35.29574807,-90.77115212
p05039,3129d1320d963d075ae91a00477b0b1d,33.96986787,-92.65436089
p05041,b5d997d49edee834f331c4c9c10fb022,33.83084321,-91.25517901
p05043,ee47078b05280b77fafcac5685dfa9d4,33.58938103,-91.71996406
p05045,09aef310e06b7386b998c5b92a989647,35.14691195,-92.33212012
p05047,6abbc11a23cb85d1e340f70e3df558d3,35.51217606,-93.89072001
p05049,2fe685be2c82f7c6700c10f2afdd0577,36.38176033,-91.81828058
p05051,7c6976217d9cb503aeed5e8c737cd066,34.57668532,-93.15037349
p05053,a6ae9f17090e5b066e0e04e684104bcb,34.28998362,-92.42364824
p05055,41e56694f12635960e617714ff5dc4a7,36.11768714,-90.55910325
p05057,c902fef34d9cb8c04e2442f105b24964,33.73523234,-93.6684054
p05059,1e8e558bc995a5e14d58712b7689c117,34.31772795,-92.94611735
p05061,fb5e2d99bdb7dbb38d7903d17d3ead5d,34.08857356,-93.99331378
p05063,9708e62e38b00b3a290559790286d710,35.74152911,-91.56969502
p05065,38f01f66e90656aeefee12e40c5877b8,36.09480212,-91.91337366
p05067,d73459bae88c12bfd4dba652db727855,35.59904079,-91.21466168
p05069,c628a31fa9fef9287399f24fc717e6f7,34.26828298,-91.93029165
p05071,37e536c737888f7e3718736710b65dfe,35.56960588,-93.4601011
p05073,47326683c4698fca6d9010bb4f09b124,33.24147641,-93.60714438
p05075,fc56d0663987c53b209c37b1a4b3e188,36.04123581,-91.10696424
p05077,baa7364d80e023bf2eb87a344c34feae,34.78050683,-90.78079727
p05079,1daacb6a37dcb2a8611908073a49a14b,33.95700921,-91.73448348
p05081,046dcdcc85b77b2cea66ba37650b38b6,33.70094791,-94.23509249
p05083,797cb7f0aa68ef92f7178dc9e71c7d18,35.21497615,-93.71689165
p05085,cf4c82047a6faeec49d27d02ed11aad3,34.7540393,-91.88865085
p05087,bfb4c81ae0656baf9b35f32c0daa2ad4,36.01079072,-93.72455982
p05089,ada407eacee807aaf4bcea726aca22f4,36.26822671,-92.68412172
p05091,496425995e95339e49b41c04a3fc1bee,33.31224716,-93.89212774
p05093,f433001cccf12e5d20b1546d1ed8bf58,35.76228847,-90.05231136
p05095,432987f50e047133329ae6aeac68c1b9,34.67758427,-91.20375966
p05097,982eb70bf8926c22597436392ebf6e11,34.53886419,-93.65956703
p05099,1d514c090bf341efbd39d07dbec0b51a,33.66384789,-93.30710232
p05101,734ff357df3748ac9b6d57a50e4a7a4d,35.919935,-93.21785258
p05103,964bcc390ec2df5252bc3eef11f19207,33.59326543,-92.88197969
p05105,9b9a5fdc77d0a777055328e7b4c77b93,34.94763844,-92.93147824
p05107,c08ca8ec080e51e9367fa69d1e93e391,34.42733865,-90.84900546
p05109,55ed3f83ee5791beccc8b66f29bf4c97,34.16344948,-93.65624546
p05111,0d4c785ed50263dce384bdbc041fe3f0,35.57416975,-90.66294058
p05113,2c89ea3ab0fb20d97a4e431024566f10,34.48566081,-94.22829064
p05115,498d7167f57bfd0c88fe0e759eb6831d,35.44767213,-93.03458191
p05117,5e4153c9178cdf1abd2ecbcb68c74b1c,34.8295832,-91.55275326
p05119,c33d4f88b98cb8b7286b5d0c9714f33e,34.76999023,-92.31185741
p05121,8198066383a39a570c88ef793855a1a1,36.34147312,-91.02753367
p05123,43d0908953718746372accc9b86f5e40,35.02209838,-90.74787638
p05125,ca0faab9de1acd234765e5cbb7ac9471,34.64666171,-92.67627131
p05127,cd05d838090721a9874dd8bb9529b3da,34.86076603,-94.06331455
p05129,8fc6471fd6b60f51c33e4d6553a12313,35.91090972,-92.69950948
p05131,b7ad34ef446a7e22cec7a0f536216260,35.19879857,-94.27439829
p05133,845a3c1380d0cb46b59a0b95c7712874,33.99715488,-94.24113948
p05135,c4afd536ae351238767129b5e7100700,36.16103651,-91.47993069
p05137,381bd7363d02cba0070fedc7d180fc22,35.85985154,-92.15667284
p05139,54095f89bbd043880727feab915a32af,33.17151896,-92.59711858
p05141,9e7aa3343a58310e0eda0cf70518aa10,35.5806192,-92.51566748
p05143,aa73bf148ce3fb280f7f95144e1544a7,35.97896991,-94.21570747
p05145,c387182beff6556d0414caa24ec326c3,35.25626727,-91.74571075
p05147,91ab86afea5972bc933729a3e4d4e119,35.18620099,-91.24308298
p05149,25b0988b16c9e503a3d764c7a862b2a4,35.00249229,-93.411124
p06001,63a6330825ea313d633f232656950817,37.64697093,-121.88876666
p06003,6ad12fa5cb42f30cf25eece923e5ac56,38.59710894,-119.82060454
p06005,de49432ef8a45a3ef88fa9f1f847ef8f,38.44660466,-120.65166846
p06007,f205a52005f9a51dd847d0e0e960dd93,39.66655683,-121.60070172
p06009,fceaaa2a329c2b7d1ac74cb1560a987e,38.2044648,-120.55466682
p06011,63c9b9988d637d34a8aa9f62b50f9404,39.17750833,-122.23673433
p06013,f4bc2d08d2a155ec41b7cd19a8681210,37.91925474,-121.92769862
p06015,3053f5b72c1d5d296948743fc8e25459,41.74278435,-123.89713072
p06017,12e722941ec90460f0f4140e6d688475,38.77890609,-120.52504562
p06019,62d18e9bac27e3def8ecae1b4467aab4,36.75853164,-119.6534272
p06021,8e81b95015256a486e5905dcf5cefdf5,39.59847893,-122.39201343
p06023,efa215ac8c477d458492c48d16440813,40.69710558,-123.87613384
p06025,f8ac4f1aea6b471b813407c27414c568,33.03993339,-115.36533393
p06027,172416eb508af203754655262efcf02e,36.51016351,-117.40560195
p06029,8d2a25802e14c45e087218692ddc7d17,35.34353455,-118.72904086
p06031,99ba1fe9ae18039f9352269083c79646,36.07496098,-119.81583881
p06033,6398796f364ce2e7005f31bbd08ba210,39.09948642,-122.7527794
p06035,80c817113389751eacdd03f7429e72a9,40.67262885,-120.59327275
p06037,81f91231b26a935397761e0db4e76aa6,34.31975569,-118.22498697
p06039,1404f734d7dad774d06b9d6c4b2afbc7,37.21783239,-119.76473985
p06041,ad004110cab2de55ca06ac6617cab7ff,38.07334699,-122.72318447
p06043,963da0cf7589259915d631519cf70a0b,37.58147963,-119.90594062
p06045,94b3177c00bd1d4de361c12bafb2f9b4,39.43872075,-123.39125589
p06047,b2e56e652f04b4d034ed236a5a399afd,37.19168731,-120.71843269
p06049,7d165c09f9828db3a4f7419e745149dd,41.5896507,-120.72501524
p06051,d2274d0bf4b008a080c34267cb661e2b,37.93840996,-118.88393535
p06053,0a76dc806a9b7597d50305fb55a85470,36.21690605,-121.2371314
p06055,5aa973607e09b891273f262c76c5a6b5,38.50667072,-122.33048315
p06057,ae723eaccbc1648ad55fc7d4c8f714df,39.30167785,-120.76952954
p06059,6567fcc79b6610ae3fcd4987f2bee78d,33.70292007,-117.76082893
p06061,53ecacdd9135035f951819fa84b40cb4,39.06381187,-120.71901151
p06063,fc5a8b718c0cfe369d173cd6526cccab,40.00465027,-120.83794252
p06065,e4b8ec08b159c28267d85eec452dc348,33.74663022,-115.993939
p06067,23068df585eb3c6330d918d78a17f5ec,38.4490559,-121.34451677
p06069,e35566aa5521eedba82a37dc959feaea,36.60552674,-121.07407769
p06071,470769de5e77043cc6ae48de5367f565,34.84202996,-116.17662434
p06073,441271fa01294c9c0dd096b2f320bae9,33.03408966,-116.73493496
p06075,2f68a0f3c97ce65ec16ea4636bc03d89,37.75624567,-122.44314046
p06077,80710527a5ff2d7f5a63e347e3966c9a,37.93443861,-121.27165824
p06079,0d63fc3e207247d24cc0eb25393b0a17,35.38717634,-120.40303527
p06081,91549cfe2c2b16c04db7ec12dd4c57f5,37.42267925,-122.32887705
p06083,12951c17f17bc5990f5f4daa42171f72,34.67257632,-120.01648711
p06085,d0cba70d779bc115254b28593b2b2eae,37.2317577,-121.69472328
p06087,e93f659b0cf9cd057491d3adeff06a82,37.05621787,-122.00159571
p06089,500e09b42899c08ea7b1fb9e228a22c5,40.76364821,-122.04134615
p06091,844987264feb419224cf6468af112274,39.58068334,-120.51601418
p06093,d924ade33ef90c7f539582b8604457f2,41.59331162,-122.54038905
p06095,5658abf78fe1ed8a891ac0e0a523afed,38.26985229,-121.9329922
p06097,9ef0162f6e5ed8501eada951ffe08103,38.52816693,-122.88669063
p06099,b39795af2819388ccf5f6ad4cde39e00,37.55894217,-120.9984948
p06101,1d03db92c1e08a1e08df46f367cc015b,39.03427841,-121.69453585
p06103,5a8ac461d80eb8517a97f321a66cc40a,40.12604179,-122.23449663
p06105,1c7421558cc04684d4b1fe812cfaa945,40.64915749,-123.11399907
p06107,8063c290705f39da11657f6918a15a57,36.22004447,-118.80036177
p06109,f0cd96089358d5851c47604e7b34f227,38.02765175,-119.95493566
p06111,7b47d431260f96e291376c5205a790f9,34.45559715,-119.08339725
p06113,5ee10af641ffad0043ad0ed9389ffd2a,38.6865535,-121.90056533
p06115,a4479a26d72107d4a6fef4f11351bd6e,39.26875247,-121.35179312
p08001,628eaf9baf2ddb65aa8c0eddde638f1b,39.87413291,-104.33784668
p08003,a8af589a32db036e8cc3c753691beefa,37.57283162,-105.78839816
p08005,c098212c0c565aa121b5c13fc3343a11,39.65027908,-104.33932787
p08007,b4088670882d70a5e952e6b4e85234c1,37.19370169,-107.04813645
p08009,55ccb628432f3f6d0f1ada7e42f8b447,37.31909872,-102.56048303
p08011,7812b83ec34fd78e74ebcec1e48782e8,37.95480627,-103.07171741
p08013,43b1e7b58a0bd7b5b5b07eef1d1e707b,40.09244601,-105.35771229
p08014,62cf895fca76010ab6f29c9d1195809b,39.95412746,-105.05271025
p08015,300cf2dbca16bf0a3613509290892cce,38.74659009,-106.19376321
p08017,98536a2d62ab1b496b172946b4b6d29a,38.82815129,-102.60341453
p08019,a0382a77b99c55dfa56274e125ef4c24,39.68905582,-105.64430846
p08021,a5e5f38955827a27691e8fbb91bc4fb0,37.20078783,-106.19147695
p08023,a804027d8acd16a9c92c7a5330a6510c,37.27768102,-105.42838925
