t,st,rps_all,rps_solar,rps_wind
2033,RI,0.990606,0,0
2034,RI,0.990606,0,0
2035,RI,0.990606,0,0
2036,RI,0.990606,0,0
2037,RI,0.990606,0,0
2038,RI,0.990606,0,0
2039,RI,0.990606,0,0
2040,RI,0.990606,0,0
2041,RI,0.990606,0,0
2042,RI,0.990606,0,0
2043,RI,0.990606,0,0
2044,RI,0.990606,0,0
2045,RI,0.990606,0,0
2046,RI,0.990606,0,0
2047,RI,0.990606,0,0
2048,RI,0.990606,0,0
2049,RI,0.990606,0,0
2050,RI,0.990606,0,0
2010,TX,0.024811,0,0
2011,TX,0.030781,0,0
2012,TX,0.033272,0,0
2013,TX,0.040227,0,0
2014,TX,0.039967,0,0
2015,TX,0.044410,0,0
2016,TX,0.045259,0,0
2017,TX,0.044901,0,0
2018,TX,0.042516,0,0
2019,TX,0.042030,0,0
2020,TX,0.042277,0,0
2021,TX,0.041429,0,0
2022,TX,0.037966,0,0
2023,TX,0.036626,0,0
2024,TX,0.035712,0,0
2025,TX,0.033913,0,0
2026,TX,0.032556,0,0
2027,TX,0.031200,0,0
2028,TX,0.029843,0,0
2029,TX,0.028487,0,0
2030,TX,0.027130,0,0
2031,TX,0.025774,0,0
2032,TX,0.024417,0,0
2033,TX,0.023061,0,0
2034,TX,0.021704,0,0
2035,TX,0.020348,0,0
2036,TX,0.018991,0,0
2037,TX,0.017635,0,0
2038,TX,0.016278,0,0
2039,TX,0.014922,0,0
2040,TX,0.013565,0,0
2041,TX,0.012209,0,0
2042,TX,0.010852,0,0
2043,TX,0.009496,0,0
2044,TX,0.008139,0,0
2045,TX,0.006783,0,0
2046,TX,0.005426,0,0
2047,TX,0.004070,0,0
2048,TX,0.002713,0,0
2049,TX,0.001357,0,0
2050,TX,0,0,0
2010,VA,0,0,0
2011,VA,0,0,0
2012,VA,0,0,0
2013,VA,0,0,0
2014,VA,0,0,0
2015,VA,0,0,0
2016,VA,0,0,0
2017,VA,0,0,0
2018,VA,0,0,0
2019,VA,0,0,0
2020,VA,0,0,0
2021,VA,0.066505,0,0
2022,VA,0.075528,0,0
2023,VA,0.091796,0,0
2024,VA,0.109495,0,0
2025,VA,0.128182,0,0
2026,VA,0.144892,0,0
2027,VA,0.162142,0,0
2028,VA,0.179392,0,0
2029,VA,0.196642,0,0
2030,VA,0.217226,0,0
2031,VA,0.237810,0,0
2032,VA,0.258394,0,0
2033,VA,0.278432,0,0
2034,VA,0.298470,0,0
2035,VA,0.318508,0,0
2036,VA,0.346748,0,0
2037,VA,0.367804,0,0
2038,VA,0.392452,0,0
2039,VA,0.417299,0,0
2040,VA,0.442162,0,0
2041,VA,0.466202,0,0
2042,VA,0.490331,0,0
2043,VA,0.514459,0,0
2044,VA,0.538588,0,0
2045,VA,0.567798,0,0
2046,VA,0.573213,0,0
2047,VA,0.578489,0,0
2048,VA,0.583627,0,0
2049,VA,0.588598,0,0
2050,VA,0.593502,0,0
2010,VT,0,0,0
2011,VT,0,0,0
2012,VT,0,0,0
2013,VT,0,0,0
2014,VT,0,0,0
2015,VT,0,0,0
2016,VT,0,0,0
2017,VT,0.550000,0,0
2018,VT,0.550000,0,0
2019,VT,0.550000,0,0
2020,VT,0.590000,0,0
2021,VT,0.590000,0,0
2022,VT,0.590000,0,0
2023,VT,0.630000,0,0
2024,VT,0.650000,0,0
2025,VT,0.670000,0,0
2026,VT,0.690000,0,0
2027,VT,0.710000,0,0
2028,VT,0.750000,0,0
2029,VT,0.790000,0,0
2030,VT,0.989836,0,0
2031,VT,0.992228,0,0
2032,VT,0.994619,0,0
2033,VT,0.997011,0,0
2034,VT,0.999402,0,0
2035,VT,1,0,0
2036,VT,1,0,0
2037,VT,1,0,0
2038,VT,1,0,0
2039,VT,1,0,0
2040,VT,1,0,0
2041,VT,1,0,0
2042,VT,1,0,0
2043,VT,1,0,0
2044,VT,1,0,0
2045,VT,1,0,0
2046,VT,1,0,0
2047,VT,1,0,0
2048,VT,1,0,0
2049,VT,1,0,0
2050,VT,1,0,0
2010,WA,0,0,0
2011,WA,0,0,0
2012,WA,0.024046,0,0
2013,WA,0.023797,0,0
2014,WA,0.024033,0,0
2015,WA,0.024399,0,0
2016,WA,0.074048,0,0
2017,WA,0.071624,0,0
2018,WA,0.074546,0,0
2019,WA,0.074237,0,0
2020,WA,0.128489,0,0
2021,WA,0.126837,0,0
2022,WA,0.125714,0,0
2023,WA,0.131950,0,0
2024,WA,0.131881,0,0
2025,WA,0.131789,0,0
2026,WA,0.131708,0,0
2027,WA,0.132954,0,0
2028,WA,0.131546,0,0
2029,WA,0.131466,0,0
2030,WA,0.131385,0,0
2031,WA,0.131304,0,0
2032,WA,0.131223,0,0
2033,WA,0.131143,0,0
2034,WA,0.131062,0,0
2035,WA,0.130981,0,0
2036,WA,0.130900,0,0
2037,WA,0.130820,0,0
2038,WA,0.130739,0,0
2039,WA,0.130658,0,0
2040,WA,0.130577,0,0
2041,WA,0.130497,0,0
2042,WA,0.130416,0,0
2043,WA,0.130335,0,0
2044,WA,0.130254,0,0
2045,WA,0.130174,0,0
2046,WA,0.130093,0,0
2047,WA,0.130012,0,0
2048,WA,0.129931,0,0
2049,WA,0.129851,0,0
2050,WA,0.129770,0,0
2010,WI,0.060422,0,0
2011,WI,0.059803,0,0
2012,WI,0.059183,0,0
2013,WI,0.059917,0,0
2014,WI,0.059359,0,0
2015,WI,0.100506,0,0
2016,WI,0.098952,0,0
2017,WI,0.100334,0,0
2018,WI,0.097490,0,0
2019,WI,0.101115,0,0
2020,WI,0.103388,0,0
2021,WI,0.099648,0,0
2022,WI,0.098279,0,0
2023,WI,0.100512,0,0
2024,WI,0.101461,0,0
2025,WI,0.100405,0,0
2026,WI,0.100351,0,0
2027,WI,0.100297,0,0
2028,WI,0.100244,0,0
2029,WI,0.100217,0,0
2030,WI,0.100137,0,0
2031,WI,0.100083,0,0
2032,WI,0.100029,0,0
2033,WI,0.099976,0,0
2034,WI,0.099922,0,0
2035,WI,0.099868,0,0
2036,WI,0.099815,0,0
2037,WI,0.099761,0,0
2038,WI,0.099708,0,0
2039,WI,0.099654,0,0
2040,WI,0.099600,0,0
2041,WI,0.099547,0,0
2042,WI,0.099493,0,0
2043,WI,0.099439,0,0
2044,WI,0.099386,0,0
2045,WI,0.099332,0,0
2046,WI,0.099279,0,0
2047,WI,0.099225,0,0
2048,WI,0.099171,0,0
2049,WI,0.099118,0,0
2050,WI,0.099064,0,0
2010,voluntary,0.009722,0,0
2011,voluntary,0.011713,0,0
2012,voluntary,0.014350,0,0
2013,voluntary,0.016916,0,0
2014,voluntary,0.018124,0,0
2015,voluntary,0.020821,0,0
2016,voluntary,0.023127,0,0
2017,voluntary,0.027167,0,0
2018,voluntary,0.032475,0,0
2019,voluntary,0.038784,0,0
2020,voluntary,0.048610,0,0
2021,voluntary,0.057369,0,0
2022,voluntary,0.063270,0,0
2023,voluntary,0.070446,0,0
2024,voluntary,0.079580,0,0
2025,voluntary,0.080788,0,0
2026,voluntary,0.081997,0,0
2027,voluntary,0.083205,0,0
2028,voluntary,0.084414,0,0
2029,voluntary,0.085622,0,0
2030,voluntary,0.086831,0,0
2031,voluntary,0.088039,0,0
2032,voluntary,0.089248,0,0
2033,voluntary,0.090457,0,0
2034,voluntary,0.091665,0,0
2035,voluntary,0.092874,0,0
2036,voluntary,0.094082,0,0
2037,voluntary,0.095291,0,0
2038,voluntary,0.096499,0,0
2039,voluntary,0.097708,0,0
2040,voluntary,0.098916,0,0
2041,voluntary,0.100125,0,0
2042,voluntary,0.101334,0,0
2043,voluntary,0.102542,0,0
2044,voluntary,0.103751,0,0
2045,voluntary,0.104959,0,0
2046,voluntary,0.106168,0,0
2047,voluntary,0.107376,0,0
2048,voluntary,0.108585,0,0
2049,voluntary,0.109793,0,0
2050,voluntary,0.111002,0,0
