*t,st,Value
2010,CA,0.168775
2011,CA,0.197283
2012,CA,0.197325
2013,CA,0.197242
2014,CA,0.208537
2015,CA,0.220868
2016,CA,0.245039
2017,CA,0.263927
2018,CA,0.283753
2019,CA,0.302047
2020,CA,0.319335
2021,CA,0.346564
2022,CA,0.373687
2023,CA,0.399432
2024,CA,0.425138
2025,CA,0.453957
2026,CA,0.476551
2027,CA,0.502257
2028,CA,0.548127
2029,CA,0.593997
2030,CA,0.639867
2031,CA,0.685737
2032,CA,0.731607
2033,CA,0.777477
2034,CA,0.823347
2035,CA,0.869217
2036,CA,0.878870
2037,CA,0.888523
2038,CA,0.898176
2039,CA,0.907829
2040,CA,0.917482
2041,CA,0.927135
2042,CA,0.936788
2043,CA,0.946441
2044,CA,0.956094
2045,CA,0.965747
2046,CA,0.965747
2047,CA,0.965747
2048,CA,0.965748
2049,CA,0.965748
2050,CA,0.965748
2010,CO,0.024734
2011,CO,0.061340
2012,CO,0.062494
2013,CO,0.062821
2014,CO,0.062680
2015,CO,0.107166
2016,CO,0.106583
2017,CO,0.106267
2018,CO,0.106865
2019,CO,0.104952
2020,CO,0.194092
2021,CO,0.194082
2022,CO,0.195018
2023,CO,0.193968
2024,CO,0.257553
2025,CO,0.321138
2026,CO,0.384723
2027,CO,0.448309
2028,CO,0.511894
2029,CO,0.575479
2030,CO,0.639064
2031,CO,0.646710
2032,CO,0.654687
2033,CO,0.662580
2034,CO,0.672980
2035,CO,0.682074
2036,CO,0.690935
2037,CO,0.699052
2038,CO,0.703712
2039,CO,0.710197
2040,CO,0.716309
2041,CO,0.722253
2042,CO,0.739674
2043,CO,0.757095
2044,CO,0.774516
2045,CO,0.791937
2046,CO,0.809358
2047,CO,0.826779
2048,CO,0.844200
2049,CO,0.861621
2050,CO,0.879042
2010,CT,0.100000
2011,CT,0.110000
2012,CT,0.120000
2013,CT,0.129997
2014,CT,0.140000
2015,CT,0.155000
2016,CT,0.170000
2017,CT,0.185000
2018,CT,0.210000
2019,CT,0.235000
2020,CT,0.250000
2021,CT,0.265000
2022,CT,0.280000
2023,CT,0.300000
2024,CT,0.341176
2025,CT,0.382353
2026,CT,0.423529
2027,CT,0.464706
2028,CT,0.505882
2029,CT,0.547059
2030,CT,0.588235
2031,CT,0.629412
2032,CT,0.670588
2033,CT,0.711765
2034,CT,0.752941
2035,CT,0.794118
2036,CT,0.835294
2037,CT,0.876471
2038,CT,0.917647
2039,CT,0.958824
2040,CT,1
2041,CT,1
2042,CT,1
2043,CT,1
2044,CT,1
2045,CT,1
2046,CT,1
2047,CT,1
2048,CT,1
2049,CT,1
2050,CT,1
2010,IL,0.023655
2011,IL,0.032425
2012,IL,0.037657
2013,IL,0.046905
2014,IL,0.053525
2015,IL,0.056286
2016,IL,0.047162
2017,IL,0.056818
2018,IL,0.062034
2019,IL,0.104102
2020,IL,0.151658
2021,IL,0.168592
2022,IL,0.175132
2023,IL,0.193398
2024,IL,0.209594
2025,IL,0.225790
2026,IL,0.241985
2027,IL,0.258181
2028,IL,0.274377
2029,IL,0.308296
2030,IL,0.335906
2031,IL,0.364395
2032,IL,0.371116
2033,IL,0.377836
2034,IL,0.384557
2035,IL,0.391277
2036,IL,0.397998
2037,IL,0.404718
2038,IL,0.411439
2039,IL,0.418160
2040,IL,0.424880
2041,IL,0.441197
2042,IL,0.443483
2043,IL,0.445042
2044,IL,0.510538
2045,IL,0.576033
2046,IL,0.641529
2047,IL,0.707024
2048,IL,0.772520
2049,IL,0.838015
2050,IL,0.903511
2010,MA,0.104203
2011,MA,0.112431
2012,MA,0.122783
2013,MA,0.113095
2014,MA,0.123928
2015,MA,0.135126
2016,MA,0.148182
2017,MA,0.157381
2018,MA,0.192103
2019,MA,0.207117
2020,MA,0.236987
2021,MA,0.388316
2022,MA,0.427725
2023,MA,0.524902
2024,MA,0.544236
2025,MA,0.563571
2026,MA,0.582905
2027,MA,0.602240
2028,MA,0.621574
2029,MA,0.637837
2030,MA,0.654100
2031,MA,0.670364
2032,MA,0.686627
2033,MA,0.702890
2034,MA,0.719153
2035,MA,0.733093
2036,MA,0.747032
2037,MA,0.763506
2038,MA,0.774912
2039,MA,0.790119
2040,MA,0.802791
2041,MA,0.816731
2042,MA,0.831516
2043,MA,0.846300
2044,MA,0.861085
2045,MA,0.878826
2046,MA,0.896568
2047,MA,0.905439
2048,MA,0.923180
2049,MA,0.940922
2050,MA,0.958663
2010,ME,0.313089
2011,ME,0.351043
2012,ME,0.355693
2013,ME,0.371749
2014,ME,0.386209
2015,ME,0.390292
2016,ME,0.400178
2017,ME,0.413332
2018,ME,0.405135
2019,ME,0.405681
2020,ME,0.437152
2021,ME,0.459897
2022,ME,0.488762
2023,ME,0.506243
2024,ME,0.542407
2025,ME,0.578310
2026,ME,0.614343
2027,ME,0.650132
2028,ME,0.685921
2029,ME,0.721710
2030,ME,0.766998
2031,ME,0.786589
2032,ME,0.806396
2033,ME,0.826523
2034,ME,0.846650
2035,ME,0.866776
2036,ME,0.886903
2037,ME,0.907012
2038,ME,0.927029
2039,ME,0.947043
2040,ME,0.967002
2041,ME,0.967607
2042,ME,0.967819
2043,ME,0.968175
2044,ME,0.968487
2045,ME,0.968778
2046,ME,0.969072
2047,ME,0.969297
2048,ME,0.969472
2049,ME,0.969577
2050,ME,0.969782
2010,MI,0
2011,MI,0
2012,MI,0.033181
2013,MI,0.046564
2014,MI,0.056987
2015,MI,0.092830
2016,MI,0.091063
2017,MI,0.093359
2018,MI,0.090718
2019,MI,0.117296
2020,MI,0.122419
2021,MI,0.138705
2022,MI,0.134822
2023,MI,0.135113
2024,MI,0.171344
2025,MI,0.207574
2026,MI,0.243805
2027,MI,0.280036
2028,MI,0.316267
2029,MI,0.352497
2030,MI,0.388728
2031,MI,0.470982
2032,MI,0.553237
2033,MI,0.635491
2034,MI,0.717746
2035,MI,0.800000
2036,MI,0.840000
2037,MI,0.880000
2038,MI,0.920000
2039,MI,0.960000
2040,MI,1
2041,MI,1
2042,MI,1
2043,MI,1
2044,MI,1
2045,MI,1
2046,MI,1
2047,MI,1
2048,MI,1
2049,MI,1
2050,MI,1
2010,MN,0.107727
2011,MN,0.107314
2012,MN,0.147768
2013,MN,0.147323
2014,MN,0.146746
2015,MN,0.147212
2016,MN,0.206278
2017,MN,0.205295
2018,MN,0.205308
2019,MN,0.204697
2020,MN,0.243757
2021,MN,0.243105
2022,MN,0.243341
2023,MN,0.199829
2024,MN,0.274169
2025,MN,0.348508
2026,MN,0.422848
2027,MN,0.497188
2028,MN,0.571528
2029,MN,0.645867
2030,MN,0.720207
2031,MN,0.756012
2032,MN,0.791816
2033,MN,0.827621
2034,MN,0.863425
2035,MN,0.899230
2036,MN,0.919213
2037,MN,0.939196
2038,MN,0.959178
2039,MN,0.979161
2040,MN,0.999144
2041,MN,0.999144
2042,MN,0.999144
2043,MN,0.999144
2044,MN,0.999144
2045,MN,0.999144
2046,MN,0.999144
2047,MN,0.999144
2048,MN,0.999144
2049,MN,0.999144
2050,MN,0.999144
2010,NC,0.000200
2011,NC,0.000208
2012,NC,0.017218
2013,NC,0.016979
2014,NC,0.016868
2015,NC,0.034258
2016,NC,0.034117
2017,NC,0.035072
2018,NC,0.059513
2019,NC,0.059554
2020,NC,0.061685
2021,NC,0.058922
2022,NC,0.056922
2023,NC,0.059609
2024,NC,0.087263
2025,NC,0.114916
2026,NC,0.142570
2027,NC,0.170223
2028,NC,0.197877
2029,NC,0.225530
2030,NC,0.253184
2031,NC,0.280837
2032,NC,0.308491
2033,NC,0.336145
2034,NC,0.363798
2035,NC,0.391452
2036,NC,0.419105
2037,NC,0.446759
2038,NC,0.474412
2039,NC,0.502066
2040,NC,0.529719
2041,NC,0.557373
2042,NC,0.585027
2043,NC,0.612680
2044,NC,0.640334
2045,NC,0.667987
2046,NC,0.695641
2047,NC,0.723294
2048,NC,0.750948
2049,NC,0.778601
2050,NC,0.806255
2010,NE,0
2011,NE,0
2012,NE,0
2013,NE,0
2014,NE,0
2015,NE,0
2016,NE,0
2017,NE,0
2018,NE,0
2019,NE,0
2020,NE,0
2021,NE,0
2022,NE,0
2023,NE,0
2024,NE,0.005434
2025,NE,0.010868
2026,NE,0.016302
2027,NE,0.021736
2028,NE,0.027170
2029,NE,0.032604
2030,NE,0.038038
2031,NE,0.043472
2032,NE,0.048907
2033,NE,0.054341
2034,NE,0.059775
2035,NE,0.065209
2036,NE,0.070643
2037,NE,0.076077
2038,NE,0.081511
2039,NE,0.086945
2040,NE,0.092379
2041,NE,0.182013
2042,NE,0.271648
2043,NE,0.361282
2044,NE,0.450916
2045,NE,0.540551
2046,NE,0.630185
2047,NE,0.719819
2048,NE,0.809453
2049,NE,0.899088
2050,NE,0.988722
2010,NM,0.039784
2011,NM,0.066439
2012,NM,0.067493
2013,NM,0.068091
2014,NM,0.067665
2015,NM,0.112824
2016,NM,0.115832
2017,NM,0.117605
2018,NM,0.120762
2019,NM,0.123480
2020,NM,0.164316
2021,NM,0.164083
2022,NM,0.163154
2023,NM,0.165151
2024,NM,0.262286
2025,NM,0.359422
2026,NM,0.377393
2027,NM,0.395364
2028,NM,0.413335
2029,NM,0.431306
2030,NM,0.449277
2031,NM,0.471644
2032,NM,0.494011
2033,NM,0.516378
2034,NM,0.538745
2035,NM,0.561113
2036,NM,0.583480
2037,NM,0.605847
2038,NM,0.628214
2039,NM,0.650581
2040,NM,0.672948
2041,NM,0.702771
2042,NM,0.732593
2043,NM,0.762416
2044,NM,0.792238
2045,NM,0.822061
2046,NM,0.837360
2047,NM,0.852659
2048,NM,0.867957
2049,NM,0.883256
2050,NM,0.898555
2010,NV,0.073446
2011,NV,0.090402
2012,NV,0.089341
2013,NV,0.108493
2014,NV,0.108197
2015,NV,0.129519
2016,NV,0.131122
2017,NV,0.131766
2018,NV,0.132744
2019,NV,0.130925
2020,NV,0.167791
2021,NV,0.181552
2022,NV,0.228374
2023,NV,0.228440
2024,NV,0.271056
2025,NV,0.302804
2026,NV,0.339987
2027,NV,0.377169
2028,NV,0.401145
2029,NV,0.425122
2030,NV,0.452061
2031,NV,0.473074
2032,NV,0.497051
2033,NV,0.521027
2034,NV,0.545003
2035,NV,0.568979
2036,NV,0.592956
2037,NV,0.616932
2038,NV,0.640908
2039,NV,0.664885
2040,NV,0.688861
2041,NV,0.712837
2042,NV,0.736814
2043,NV,0.760790
2044,NV,0.784766
2045,NV,0.808742
2046,NV,0.832719
