,construction,fom,vom
egs_nearfield_9,6.8,0.4,0
egs_nearfield_10,6.8,0.4,0
Gas-CT_H2-CT,1.27,0.14,0.00007
Gas-CC_H2-CC,1.27,0.14,0.00007
CoalOldUns_CoalOldScr,11.08,0.22,0.00001
CoalOldUns_CofireOld,11.08,0.22,0.00001
CoalOldScr_CofireOld,11.08,0.22,0.00001
coal-new_CofireNew,11.08,0.22,0.00001
Gas-CC_Gas-CC-CCS_mod,1.27,0.14,0.00007
Coal-IGCC_coal-CCS_mod,11.08,0.22,0.00001
coal-new_coal-CCS_mod,11.08,0.22,0.00001
CoalOldScr_coal-CCS_mod,11.08,0.22,0.00001
CoalOldUns_coal-CCS_mod,11.08,0.22,0.00001
CofireNew_coal-CCS_mod,11.08,0.22,0.00001
CofireOld_coal-CCS_mod,11.08,0.22,0.00001
Gas-CC_Gas-CC-CCS_max,1.27,0.14,0.00007
Coal-IGCC_coal-CCS_max,11.08,0.22,0.00001
coal-new_coal-CCS_max,11.08,0.22,0.00001
CoalOldScr_coal-CCS_max,11.08,0.22,0.00001
CoalOldUns_coal-CCS_max,11.08,0.22,0.00001
CofireNew_coal-CCS_max,11.08,0.22,0.00001
CofireOld_coal-CCS_max,11.08,0.22,0.00001
hydEND_hydED,7.36,0.14,0
hydED_pumped-hydro,7.18,0.08,0
hydED_pumped-hydro-flex,7.18,0.08,0
