,construction,fom,vom
CoalOldScr_coal-CCS_mod,0,0.266,0
CoalOldUns_coal-CCS_mod,0,0.266,0
CofireNew_coal-CCS_mod,0,0.266,0
CofireOld_coal-CCS_mod,0,0.266,0
Gas-CC_Gas-CC-CCS_max,0.346,0.123,0
Coal-IGCC_coal-CCS_max,0,0.266,0
coal-new_coal-CCS_max,0,0.266,0
CoalOldScr_coal-CCS_max,0,0.266,0
CoalOldUns_coal-CCS_max,0,0.266,0
CofireNew_coal-CCS_max,0,0.266,0
CofireOld_coal-CCS_max,0,0.266,0
hydEND_hydED,0,0,0
hydED_pumped-hydro,0,0,0
hydED_pumped-hydro-flex,0,0,0
