r,rr
oWA,WA
oOR_N,OR
oOR_S,OR
oCA_NNN,CA_N
oCA_NN,CA_N
oCA_N,CA_N
oCA_S,CA_N
oTX,TX_ERCOT_E
oLA,LA
oMS,MS
oAL,AL
oFL_W,FL
oFL_E,FL
oGA,GA
oSC,SC
oNC_S,NC
oNC_N,NC
oVA,VA
oMD,MD
oDE,DE
oNJ,NJ
oNY,NY_NYCLI
oCT,CT
oRI,RI
oMA,MA
oNH,NH
oME,ME
