interconnect,interface
western,AZ~~CA_S
western,AZ~~NM
western,AZ~~NV
western,AZ~~UT
western,CA_N~~CA_S
western,CA_N~~NV
western,CA_N~~OR
western,CA_S~~NV
western,CO~~NM
western,CO~~UT
western,CO~~WY
western,ID~~MT
western,ID~~NV
western,ID~~OR
western,ID~~UT
western,ID~~WA
western,ID~~WY
western,MT~~WA
western,MT~~WY
western,NM~~UT
western,NV~~UT
western,OR~~WA
western,UT~~WY
eastern,AL~~FL
eastern,AL~~GA
eastern,AL~~MS
eastern,AL~~TN
eastern,AR~~LA
eastern,AR~~MO
eastern,AR~~MS
eastern,AR~~OK
eastern,AR~~TN
eastern,AR~~TX_MISO
eastern,CT~~MA
eastern,CT~~NY_NYCLI
eastern,CT~~NY_UP
eastern,CT~~RI
eastern,DE~~MD
eastern,DE~~NJ
eastern,DE~~PA
eastern,FL~~GA
eastern,GA~~NC
eastern,GA~~SC
eastern,GA~~TN
eastern,IA~~IL_MISO
eastern,IA~~IL_PJM
eastern,IA~~MN
eastern,IA~~MO
eastern,IA~~NE
eastern,IA~~SD
eastern,IA~~WI
eastern,IL_MISO~~IL_PJM
eastern,IL_MISO~~IN
eastern,IL_MISO~~KY
eastern,IL_MISO~~MO
eastern,IL_PJM~~IN
eastern,IL_PJM~~WI
eastern,IN~~KY
eastern,IN~~MI
eastern,IN~~OH
eastern,KS~~MO
eastern,KS~~NE
eastern,KS~~OK
eastern,KY~~OH
eastern,KY~~TN
eastern,KY~~VA
eastern,KY~~WV
eastern,LA~~MS
eastern,LA~~TX_MISO
eastern,MA~~NH
eastern,MA~~NY_UP
eastern,MA~~RI
eastern,MA~~VT
eastern,MD~~PA
eastern,MD~~VA
eastern,MD~~WV
eastern,ME~~NH
eastern,MI~~OH
eastern,MI~~WI
eastern,MN~~ND
eastern,MN~~SD
eastern,MN~~WI
eastern,MO~~NE
eastern,MO~~OK
eastern,MO~~TN
eastern,MS~~TN
eastern,NC~~SC
eastern,NC~~TN
eastern,NC~~VA
eastern,ND~~SD
eastern,NE~~SD
eastern,NH~~VT
eastern,NJ~~NY_UP
eastern,NJ~~PA
eastern,NY_NYCLI~~NY_UP
eastern,NY_UP~~PA
eastern,NY_UP~~VT
eastern,OH~~PA
eastern,OH~~VA
eastern,OH~~WV
eastern,OK~~TX_MISO
eastern,OK~~TX_SPP
eastern,PA~~WV
eastern,TN~~VA
eastern,VA~~WV
texas,TX_ERCOT_E~~TX_ERCOT_W
