year,st,MWh
2015,SD,12102572
2015,TN,102217622
2015,TX,428679306
2015,UT,31469185
2015,VA,114779778
2015,VT,5579814
2015,WA,91120801
2015,WI,70694434
2015,WV,32965976
2015,WY,18448782
2016,AL,92819160
2016,AR,47531357
2016,AZ,79161060
2016,CA,274957193
2016,CO,55174348
2016,CT,29978666
2016,DE,12141024
2016,FL,241252970
2016,GA,143586504
2016,IA,50745199
2016,ID,23708825
2016,IL,144589993
2016,IN,108647945
2016,KS,40869893
2016,KY,74978918
2016,LA,113023784
2016,MA,55355517
2016,MD,73907712
2016,ME,13616060
2016,MI,106934466
2016,MN,67820531
2016,MO,79067808
2016,MS,50914241
2016,MT,14208877
2016,NC,136732720
2016,ND,18712082
2016,NE,30652317
2016,NH,11057238
2016,NJ,77877556
2016,NM,23356058
2016,NV,36516341
2016,NY,150351466
2016,OH,151769560
2016,OK,62831361
2016,OR,47990696
2016,PA,150797644
2016,RI,7618300
2016,SC,82049075
2016,SD,12130155
2016,TN,103302544
2016,TX,435118677
2016,UT,31647180
2016,VA,115010815
2016,VT,5590720
2016,WA,89996144
2016,WI,71546986
2016,WV,32551250
2016,WY,18022240
2017,AL,91177032
2017,AR,47490635
2017,AZ,78667011
2017,CA,277813763
2017,CO,55254853
2017,CT,29367873
2017,DE,11991946
2017,FL,238626806
2017,GA,138786517
2017,IA,51299677
2017,ID,24428275
2017,IL,141387268
2017,IN,103952783
2017,KS,40356297
2017,KY,73072636
2017,LA,113373136
2017,MA,54408081
2017,MD,71255431
2017,ME,13348312
2017,MI,104363350
2017,MN,68638469
2017,MO,76919370
2017,MS,49686772
2017,MT,14825701
2017,NC,133791660
2017,ND,20315243
2017,NE,30812325
2017,NH,10965326
2017,NJ,76228654
2017,NM,23349482
2017,NV,37042602
2017,NY,147708896
2017,OH,147759939
2017,OK,61748742
2017,OR,50682782
2017,PA,148632190
2017,RI,7648688
2017,SC,81058653
2017,SD,12314371
2017,TN,99712381
2017,TX,437467818
2017,UT,31948152
2017,VA,114277958
2017,VT,5524192
2017,WA,93047170
2017,WI,70929654
2017,WV,32358596
2017,WY,18253963
2018,AL,95328456
2018,AR,51025144
2018,AZ,79427551
2018,CA,277761582
2018,CO,56929061
2018,CT,30171290
2018,DE,12570984
2018,FL,244045852
2018,GA,145404789
2018,IA,53701856
2018,ID,24369349
2018,IL,146858869
2018,IN,111097249
2018,KS,42167085
2018,KY,77009892
2018,LA,114323812
2018,MA,55391237
2018,MD,75054649
2018,ME,14417055
2018,MI,107471096
2018,MN,70263255
2018,MO,82534433
2018,MS,52242858
2018,MT,14956891
2018,NC,140597531
2018,ND,20851711
2018,NE,31441466
2018,NH,11251286
2018,NJ,78913998
2018,NM,24434072
2018,NV,38235993
2018,NY,152929624
2018,OH,154240928
2018,OK,65876157
2018,OR,49999117
2018,PA,154694450
2018,RI,7888010
2018,SC,84058194
2018,SD,12858197
2018,TN,105488414
2018,TX,463507960
2018,UT,32379923
2018,VA,121028960
2018,VT,5652244
2018,WA,91132525
2018,WI,72964523
2018,WV,34128404
2018,WY,18463549
2019,AL,93268574
2019,AR,49470349
2019,AZ,79159151
2019,CA,274868938
2019,CO,57054491
2019,CT,29280178
2019,DE,12257598
2019,FL,245991561
2019,GA,144758581
2019,IA,53581021
2019,ID,24697609
2019,IL,142195880
2019,IN,109626277
2019,KS,41311357
2019,KY,75701217
2019,LA,115067815
2019,MA,53332787
2019,MD,73597093
2019,ME,13944366
2019,MI,103690817
2019,MN,68469744
2019,MO,79390828
2019,MS,50767934
2019,MT,15446240
2019,NC,138709778
2019,ND,21762617
2019,NE,30854819
2019,NH,10917985
2019,NJ,77231121
2019,NM,25276425
2019,NV,37572424
2019,NY,148718108
2019,OH,149836832
2019,OK,65704201
2019,OR,51106070
2019,PA,150770937
2019,RI,7735242
2019,SC,82477936
2019,SD,12882615
2019,TN,102799803
2019,TX,467067667
2019,UT,32275808
2019,VA,121326075
2019,VT,5563958
2019,WA,92131140
2019,WI,71119755
2019,WV,34030169
2019,WY,18147600
2020,AL,88520268
2020,AR,46795180
2020,AZ,83479395
2020,CA,276289327
2020,CO,56645388
2020,CT,28444970
2020,DE,11941535
2020,FL,248187620
2020,GA,138945195
2020,IA,52988095
2020,ID,25199071
2020,IL,136876244
2020,IN,104634366
2020,KS,39735866
2020,KY,72131168
2020,LA,110114892
2020,MA,52022377
2020,MD,68993546
2020,ME,13322771
2020,MI,99299937
2020,MN,65509523
2020,MO,76298910
2020,MS,48387410
2020,MT,14646286
2020,NC,132780081
2020,ND,21985947
2020,NE,31524155
2020,NH,10923730
2020,NJ,75278520
2020,NM,25247907
2020,NV,38910584
2020,NY,144214383
2020,OH,143998914
2020,OK,63251868
2020,OR,51736564
2020,PA,145318062
2020,RI,7846470
2020,SC,79125107
2020,SD,12727261
2020,TN,97713774
2020,TX,463962265
2020,UT,32839933
2020,VA,120202964
2020,VT,5489374
2020,WA,87776335
2020,WI,69334292
2020,WV,32851611
2020,WY,16847665
2021,AL,90947484
2021,AR,50048039
2021,AZ,83372807
2021,CA,276180836
2021,CO,57284743
2021,CT,29175864
2021,DE,12310793
2021,FL,247865077
2021,GA,142824126
2021,IA,55301542
2021,ID,26032625
2021,IL,140476160
2021,IN,107322217
2021,KS,40800270
2021,KY,74945470
2021,LA,110709500
2021,MA,53514208
2021,MD,70277235
2021,ME,13428702
2021,MI,102380598
2021,MN,68142626
2021,MO,78429328
2021,MS,49843052
2021,MT,15032399
2021,NC,138135445
2021,ND,23042401
2021,NE,32806192
2021,NH,11145512
2021,NJ,76095963
2021,NM,26006666
2021,NV,39883449
2021,NY,145771882
2021,OH,149070465
2021,OK,65434621
2021,OR,54877172
2021,PA,149588320
2021,RI,7961658
2021,SC,82522243
2021,SD,13097981
2021,TN,102272399
2021,TX,473433333
2021,UT,33949187
2021,VA,128183074
2021,VT,5574198
2021,WA,89339771
2021,WI,71243801
2021,WV,33575212
2021,WY,17280696
2022,AL,91945986
2022,AR,50422746
2022,AZ,86951177
2022,CA,284408096
2022,CO,58143209
2022,CT,29170818
2022,DE,12471905
2022,FL,255119513
2022,GA,150493422
2022,IA,56809122
2022,ID,26970297
2022,IL,140722456
2022,IN,107298780
2022,KS,42227812
2022,KY,75797970
2022,LA,114875511
2022,MA,54561224
2022,MD,71170991
2022,ME,13610040
2022,MI,103415873
2022,MN,68479992
2022,MO,81063069
2022,MS,50577256
2022,MT,15663423
2022,NC,141648085
2022,ND,25595367
2022,NE,34323904
2022,NH,11131704
2022,NJ,78318920
2022,NM,27834512
2022,NV,40435927
2022,NY,148627812
2022,OH,150923383
2022,OK,70492809
2022,OR,57115762
2022,PA,152063532
2022,RI,8263381
2022,SC,85691565
2022,SD,13539018
2022,TN,104381070
2022,TX,515736350
2022,UT,34714324
2022,VA,135045690
2022,VT,5640890
2022,WA,92021316
2022,WI,71604170
2022,WV,33554560
2022,WY,18017442
2023,AL,90393431
2023,AR,50078368
2023,AZ,89278429
2023,CA,275130026
2023,CO,57264730
2023,CT,28384177
2023,DE,11939366
2023,FL,257637854
2023,GA,147297662
2023,IA,56984281
2023,ID,26513673
2023,IL,134932777
2023,IN,103266525
2023,KS,41436009
2023,KY,71680126
2023,LA,112730612
2023,MA,53750276
2023,MD,68321098
2023,ME,12868684
2023,MI,100148697
2023,MN,68118213
2023,MO,77896783
2023,MS,50251641
2023,MT,15600487
2023,NC,135523272
2023,ND,28383392
2023,NE,34037493
2023,NH,10938587
2023,NJ,74996657
2023,NM,29186620
2023,NV,39642491
2023,NY,145330376
2023,OH,148046454
2023,OK,69955534
2023,OR,58950961
2023,PA,146464166
2023,RI,8072408
2023,SC,83854845
2023,SD,13568457
2023,TN,101335389
2023,TX,535488742
2023,UT,34641922
2023,VA,135322698
2023,VT,5561591
2023,WA,90720246
2023,WI,70338384
2023,WV,32780124
2023,WY,18351392
2024,AL,92193598
2024,AR,51106326
2024,AZ,94428061
2024,CA,282355907
2024,CO,58821051
2024,CT,28753467
2024,DE,12208882
2024,FL,261380176
2024,GA,149643879
2024,IA,56010612
2024,ID,26707411
2024,IL,135926323
2024,IN,107297550
2024,KS,41957426
2024,KY,74540350
2024,LA,111391432
2024,MA,53012339
2024,MD,70426093
2024,ME,11495029
2024,MI,101024928
2024,MN,66935893
2024,MO,79398124
2024,MS,49940373
2024,MT,15775538
2024,NC,139272716
2024,ND,29813225
2024,NE,35477702
2024,NH,11307382
2024,NJ,77346238
2024,NM,31303694
2024,NV,42262176
2024,NY,146288639
2024,OH,155393210
2024,OK,73405346
2024,OR,59786910
2024,PA,148725729
2024,RI,8256703
2024,SC,85253868
2024,SD,13560256
2024,TN,105385459
2024,TX,528697895
2024,UT,35923769
2024,VA,139086742
2024,VT,5629587
2024,WA,91395100
2024,WI,70653876
2024,WV,33788639
2024,WY,18831818
