year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,7.284740,7.052195,8.029929,7.411758,7.982745,7.111215,8.881817,7.945617,6.794563
2011,6.590526,6.200719,7.377836,6.943720,7.167235,6.701323,7.820684,7.384226,6.186470
2012,4.436393,4.285315,5.055407,4.944189,5.265741,5.118084,5.901089,4.969132,4.197890
2013,5.798799,5.573907,6.391770,6.191380,8.288568,6.129617,6.665336,6.387280,5.456864
2014,7.090144,6.365429,6.934217,6.711761,9.008804,6.834649,7.414891,7.600775,6.309728
2015,3.830344,3.936559,3.955524,4.400529,5.818904,4.436219,5.351985,4.549214,3.810969
2016,3.702813,3.440444,3.761103,3.641224,5.288969,3.767287,4.637625,3.596053,3.182103
2017,4.367491,4.171180,4.273347,4.309878,5.501604,4.303622,5.005705,4.591622,3.918561
2018,4.194623,4.135983,4.343893,4.429510,6.041946,4.435284,4.821424,4.452841,3.887967
2019,3.158146,3.382092,3.666846,3.652844,5.626095,3.851271,4.210978,3.444215,2.928796
2020,2.500094,2.847042,3.002106,3.202177,5.028296,3.395345,3.632215,2.932145,2.437787
2021,5.354461,6.103195,5.469398,6.467966,8.165012,6.896124,6.814051,5.812811,5.589903
2022,6.920882,8.127083,6.343897,8.030012,9.172878,8.260091,8.777133,7.836413,7.561634
2023,2.647104,3.014444,3.178631,3.390465,5.323960,3.594995,3.845785,3.104561,2.581129
2024,2.347516,2.717609,2.331541,2.918821,4.021704,3.265625,3.679544,2.676249,2.259577
2025,3.263801,3.789199,3.353367,3.655058,5.294798,3.905813,4.832328,3.540977,3.288816
2026,4.033495,4.519078,3.963801,4.433659,5.685656,4.561513,5.198661,4.260452,4.150634
2027,4.479586,5.134305,4.249576,4.871719,5.053397,4.903999,5.751545,4.782177,4.657691
2028,5.468980,6.094103,4.996347,5.929786,5.736206,6.002690,6.548896,5.827187,5.634982
2029,6.310399,6.794102,5.790377,6.662073,6.381851,6.815924,7.144698,6.769516,6.258209
2030,6.713041,7.222132,6.203698,7.181173,6.649747,7.346393,7.568275,7.371433,6.632887
2031,7.004788,7.529885,6.481824,7.526796,6.826379,7.611009,7.898701,7.679960,7.050432
2032,7.753469,8.184606,7.052512,8.462646,7.462828,8.514933,8.551950,8.613667,7.788092
2033,7.940298,8.380210,7.312173,8.690731,7.706581,8.761770,8.767888,8.760403,7.947466
2034,8.109896,8.575316,7.490126,8.864508,7.939864,8.877319,9.000998,8.820741,8.073168
2035,8.306912,8.830894,7.736515,9.076791,8.260612,9.041146,9.300612,8.889380,8.261165
2036,8.737354,9.240022,8.154497,9.564580,8.656876,9.496066,9.819419,9.314214,8.776074
2037,9.195817,9.701205,8.585943,10.010752,9.160049,9.970448,10.329938,9.722696,9.260747
2038,9.448765,9.956623,8.932805,10.219106,9.502454,10.117539,10.634950,9.927127,9.497434
2039,9.869632,10.316548,9.263495,10.563908,9.768356,10.335305,10.923554,9.853006,9.844378
2040,10.104809,10.489601,9.538232,10.902516,9.921204,10.608404,11.088107,9.953640,10.011313
2041,10.753163,11.151180,10.137972,11.630302,10.627369,11.381525,11.537051,10.661174,10.722422
2042,11.243264,11.619881,10.656480,12.137983,11.117891,11.829603,12.021381,11.140112,11.159154
2043,11.569989,11.936073,11.023234,12.457313,11.486072,12.094296,12.357872,11.447901,11.444778
2044,11.909888,12.234546,11.338474,12.775576,11.489775,12.299760,12.697484,11.744664,11.745035
2045,12.426816,12.709871,11.800955,13.299936,11.881731,12.771711,13.193504,12.195352,12.218987
2046,12.876985,13.091917,12.201417,13.838241,12.337296,13.206833,13.586978,12.648473,12.583334
2047,13.157214,13.383212,12.439937,14.182432,12.625209,13.455883,13.874180,12.880009,12.864495
2048,13.406144,13.672522,12.661606,14.479213,12.923044,13.656775,14.144248,13.117165,13.108910
2049,13.595934,13.877510,12.862795,14.660414,13.178946,13.802397,14.350445,13.306535,13.296640
2050,13.788420,14.070285,13.066490,14.776094,13.449883,14.035362,14.584373,13.447649,13.498145
