Year,Utility Name,State,Trn - Total Transmission Plant,Dis - Total Distribution Plant,Gen - Total General Plant
2016,4C Acquisition LLC,AZ,152599,0,-88506
2003,Access Energy Coop,IA,0,2762831,191095
2019,AEP Appalachian Transmission Co Inc,OH,84874008,0,0
2018,AEP Appalachian Transmission Co Inc,OH,856380,0,0
2019,AEP Generating Co,OH,0,0,6220
2018,AEP Generating Co,OH,0,0,7015
2017,AEP Generating Co,OH,0,0,4053
2016,AEP Generating Co,OH,0,0,51215
2015,AEP Generating Co,OH,0,0,8280
2014,AEP Generating Co,OH,0,0,35715
2013,AEP Generating Co,OH,0,0,2553
2012,AEP Generating Co,OH,0,0,6351
2011,AEP Generating Co,OH,0,0,59704
2010,AEP Generating Co,OH,420,0,129906
2009,AEP Generating Co,OH,1937818,0,41304
2008,AEP Generating Co,OH,0,0,39047
2007,AEP Generating Co,OH,0,0,65981
2006,AEP Generating Co,OH,0,0,46952
2005,AEP Generating Co,OH,0,0,148680
2004,AEP Generating Co,OH,0,0,0
2003,AEP Generating Co,OH,0,0,41980
2002,AEP Generating Co,OH,0,0,0
2001,AEP Generating Co,OH,0,0,0
2000,AEP Generating Co,OH,0,0,0
1999,AEP Generating Co,OH,0,0,0
1998,AEP Generating Co,OH,0,0,16895
1997,AEP Generating Co,OH,0,0,1818
1996,AEP Generating Co,OH,0,0,3375
1995,AEP Generating Co,OH,0,0,2841
1994,AEP Generating Co,OH,0,0,208574
2014,AEP Generation Resources Inc,OH,0,0,68963
2019,AEP Indiana Michigan Transmission Co Inc,OH,465264280,0,1077162
2018,AEP Indiana Michigan Transmission Co Inc,OH,411583293,0,6660193
2017,AEP Indiana Michigan Transmission Co Inc,OH,520911672,0,11968011
2016,AEP Indiana Michigan Transmission Co Inc,OH,464307458,0,0
2015,AEP Indiana Michigan Transmission Co Inc,OH,168092356,0,0
2014,AEP Indiana Michigan Transmission Co Inc,OH,57886918,0,0
2013,AEP Indiana Michigan Transmission Co Inc,OH,175754355,0,0
2012,AEP Indiana Michigan Transmission Co Inc,OH,24825479,0,209505
2011,AEP Indiana Michigan Transmission Co Inc,OH,-1053064,0,0
2010,AEP Indiana Michigan Transmission Co Inc,OH,4504519,0,0
2019,AEP Kentucky Transmission Co Inc,OH,13202579,0,1423
2018,AEP Kentucky Transmission Co Inc,OH,30523799,0,34942
2017,AEP Kentucky Transmission Co Inc,OH,13131676,0,0
2016,AEP Kentucky Transmission Co Inc,OH,42056735,0,0
2015,AEP Kentucky Transmission Co Inc,OH,25042009,0,0
2019,AEP Ohio Transmission Co Inc,OH,676108659,0,68114192
2018,AEP Ohio Transmission Co Inc,OH,508378420,0,15614549
2017,AEP Ohio Transmission Co Inc,OH,411048896,0,322759
2016,AEP Ohio Transmission Co Inc,OH,251172064,0,56509428
2015,AEP Ohio Transmission Co Inc,OH,480678757,0,0
2014,AEP Ohio Transmission Co Inc,OH,532627091,0,0
2013,AEP Ohio Transmission Co Inc,OH,277650536,0,162233
2012,AEP Ohio Transmission Co Inc,OH,196654393,0,0
2011,AEP Ohio Transmission Co Inc,OH,70052470,0,0
2010,AEP Ohio Transmission Co Inc,OH,3163661,0,0
2019,AEP Oklahoma Transmission Co Inc,OH,98010615,0,58687
2018,AEP Oklahoma Transmission Co Inc,OH,109680881,0,728292
2017,AEP Oklahoma Transmission Co Inc,OH,216410064,0,251627
2016,AEP Oklahoma Transmission Co Inc,OH,192390621,0,16874250
2015,AEP Oklahoma Transmission Co Inc,OH,97076272,0,0
2014,AEP Oklahoma Transmission Co Inc,OH,108960397,0,0
2013,AEP Oklahoma Transmission Co Inc,OH,157772097,0,0
2012,AEP Oklahoma Transmission Co Inc,OH,62303943,0,0
2011,AEP Oklahoma Transmission Co Inc,OH,13399503,0,0
2010,AEP Oklahoma Transmission Co Inc,OH,1611355,0,0
2011,AEP Southwestern Transmission Co Inc,OH,0,0,0
2010,AEP Southwestern Transmission Co Inc,OH,0,0,0
2016,AEP Texas Central Co,TX,207620399,182423907,12750726
2015,AEP Texas Central Co,TX,229635455,172350373,15600548
2014,AEP Texas Central Co,TX,226752567,174479007,6615005
2013,AEP Texas Central Co,TX,115815240,196023787,15987712
2012,AEP Texas Central Co,TX,62888617,148950498,9986051
2011,AEP Texas Central Co,TX,75294388,126068718,11988376
2010,AEP Texas Central Co,TX,8620089,112294335,6417697
2009,AEP Texas Central Co,TX,12776358,86907218,9469784
2008,AEP Texas Central Co,TX,133955608,133016352,8940219
2007,AEP Texas Central Co,TX,66221108,109971729,10090394
2006,AEP Texas Central Co,TX,96819462,137995143,2343404
2005,AEP Texas Central Co,TX,23751005,81107639,1285689
2004,AEP Texas Central Co,TX,23371030,77560435,8376748
2003,AEP Texas Central Co,TX,83321495,108476966,13846586
2002,AEP Texas Central Co,TX,36099283,36448077,5229336
2001,AEP Texas Central Co,TX,83704628,68235521,6750153
2000,AEP Texas Central Co,TX,17036020,74694897,5419470
1999,AEP Texas Central Co,TX,42381632,91382100,16803780
1998,AEP Texas Central Co,TX,9561714,75272700,5352410
1997,AEP Texas Central Co,TX,14370295,73443901,15488298
1996,AEP Texas Central Co,TX,19384201,77512828,24806056
1995,AEP Texas Central Co,TX,35209386,57463924,21843726
1994,AEP Texas Central Co,TX,102442772,75019158,17467014
2019,AEP Texas Inc,OK,835124603,389836146,68306222
2018,AEP Texas Inc,OK,658152037,402933934,253347859
2017,AEP Texas Inc,OK,447585071,249462674,10712007
2016,AEP Texas North Co,TX,77705889,52970583,8156919
2015,AEP Texas North Co,TX,58835741,59762237,6771760
2014,AEP Texas North Co,TX,40616177,56654346,872555
2013,AEP Texas North Co,TX,32877940,43936803,8639261
2012,AEP Texas North Co,TX,22244772,42536690,5451280
2011,AEP Texas North Co,TX,41048045,41466007,5229828
2010,AEP Texas North Co,TX,1843817,33991292,1500331
2009,AEP Texas North Co,TX,74738719,25122032,1988210
2008,AEP Texas North Co,TX,71960991,33873487,4181454
2007,AEP Texas North Co,TX,33570886,24942014,1911192
2006,AEP Texas North Co,TX,44312909,25291435,2191697
2005,AEP Texas North Co,TX,14687919,22574228,1045549
2004,AEP Texas North Co,TX,13559692,22820400,1813105
2003,AEP Texas North Co,TX,13989762,22127621,4436491
2002,AEP Texas North Co,TX,5524885,15283946,1107111
2001,AEP Texas North Co,TX,14943354,18803844,4242032
2000,AEP Texas North Co,TX,15359273,16675928,3925957
1999,AEP Texas North Co,TX,7358846,25914162,8782214
1998,AEP Texas North Co,TX,4770320,19222530,3831435
1997,AEP Texas North Co,TX,8621787,18576554,10942843
1996,AEP Texas North Co,TX,2229766,23612664,9964434
1995,AEP Texas North Co,TX,4806406,20983421,8087229
1994,AEP Texas North Co,TX,4342937,20244780,5241501
2019,AEP West Virginia Transmission Co Inc,OH,289024069,0,13751
2018,AEP West Virginia Transmission Co Inc,OH,136566420,0,150035
2017,AEP West Virginia Transmission Co Inc,OH,204577108,0,21907
2016,AEP West Virginia Transmission Co Inc,OH,224449895,0,0
2015,AEP West Virginia Transmission Co Inc,OH,216124987,0,0
2014,AEP West Virginia Transmission Co Inc,OH,124695942,0,0
2019,Alabama Power Co,AL,390427815,521505710,130710760
2018,Alabama Power Co,AL,297792419,463329553,145878442
2017,Alabama Power Co,AL,228714064,408890732,129234588
2016,Alabama Power Co,AL,168478225,346170310,136547632
2015,Alabama Power Co,AL,225559913,301021134,79725046
2014,Alabama Power Co,AL,316898944,321366386,78117152
2013,Alabama Power Co,AL,176758705,287329351,76536393
2012,Alabama Power Co,AL,153362827,258338498,92924142
2011,Alabama Power Co,AL,216313521,351345076,53347934
2010,Alabama Power Co,AL,136373665,296011623,71751423
2009,Alabama Power Co,AL,159051998,313134374,60641099
2008,Alabama Power Co,AL,134557031,313713245,56726448
2007,Alabama Power Co,AL,141334126,290603072,83807991
2006,Alabama Power Co,AL,110999847,300956130,41484157
2005,Alabama Power Co,AL,116296668,258050639,29900959
2004,Alabama Power Co,AL,123460741,240587598,40132067
2003,Alabama Power Co,AL,173819932,247277946,24423979
2002,Alabama Power Co,AL,137894068,137322703,28950964
2001,Alabama Power Co,AL,272529233,221840544,18661938
2000,Alabama Power Co,AL,44101950,195243942,37457554
1999,Alabama Power Co,AL,69632658,201581025,40519534
1998,Alabama Power Co,AL,78451506,187880908,40144258
1997,Alabama Power Co,AL,74181767,180935481,30500249
1996,Alabama Power Co,AL,83688177,172393893,57812575
1995,Alabama Power Co,AL,53095902,199078095,30293425
1994,Alabama Power Co,AL,42988564,194861273,58646828
2019,Alaska Electric Light & Power Co,AK,912019,2197332,1866378
2018,Alaska Electric Light & Power Co,AK,1044979,1885589,637022
2017,Alaska Electric Light & Power Co,AK,1227127,1189893,728772
2016,Alaska Electric Light & Power Co,AK,1518482,1324750,1001015
2015,Alaska Electric Light & Power Co,AK,502746,1356777,360427
2014,Alaska Electric Light & Power Co,AK,751979,1848661,512529
2013,Alaska Electric Light & Power Co,AK,638146,1198652,892512
2012,Alaska Electric Light & Power Co,AK,972327,726501,511056
2011,Alaska Electric Light & Power Co,AK,344778,817269,310779
2010,Alaska Electric Light & Power Co,AK,434104,1010456,907277
2009,Alaska Electric Light & Power Co,AK,8793815,659681,392371
2008,Alaska Electric Light & Power Co,AK,399001,1216664,1203572
2007,Alaska Electric Light & Power Co,AK,2120570,873302,2447467
2006,Alaska Electric Light & Power Co,AK,2416793,1357077,634234
2005,Alaska Electric Light & Power Co,AK,357498,934784,281633
2004,Alaska Electric Light & Power Co,AK,200684,905246,882023
2003,Alaska Electric Light & Power Co,AK,290311,871820,697416
2002,Alaska Electric Light & Power Co,AK,669051,1841072,421458
2001,Alaska Electric Light & Power Co,AK,1049517,541330,415132
2000,Alaska Electric Light & Power Co,AK,510645,1044740,441853
1999,Alaska Electric Light & Power Co,AK,423347,1219453,478576
1998,Alaska Electric Light & Power Co,AK,1128202,1378724,757607
1997,Alaska Electric Light & Power Co,AK,182128,979352,909161
1996,Alaska Electric Light & Power Co,AK,93511,1002133,4817329
1995,Alaska Electric Light & Power Co,AK,146699,1184904,488670
1994,Alaska Electric Light & Power Co,AK,730366,1093143,613887
1999,Alcoa Generating Corp,PA,102188,0,0
1998,Alcoa Generating Corp,PA,0,0,0
1997,Alcoa Generating Corp,PA,45555,0,0
1996,Alcoa Generating Corp,PA,0,0,0
1995,Alcoa Generating Corp,PA,121987,0,0
1994,Alcoa Generating Corp,PA,0,0,0
2019,Alcoa Power Generating Inc,NC,330263,0,550541
2018,Alcoa Power Generating Inc,NC,190655,0,1205368
2017,Alcoa Power Generating Inc,NC,987489,0,16879
2016,Alcoa Power Generating Inc,NC,1115777,0,845571
2015,Alcoa Power Generating Inc,NC,748792,0,1610152
2014,Alcoa Power Generating Inc,NC,2164085,0,54732
2013,Alcoa Power Generating Inc,NC,1938898,0,0
2012,Alcoa Power Generating Inc,NC,23724697,0,677926
2011,Alcoa Power Generating Inc,NC,570379,0,265190
2010,Alcoa Power Generating Inc,NC,4336405,0,834613
2009,Alcoa Power Generating Inc,NC,0,0,5293068
2008,Alcoa Power Generating Inc,NC,1730217,0,80047
2007,Alcoa Power Generating Inc,NC,6587500,0,240925
2006,Alcoa Power Generating Inc,NC,9892031,0,39646
2005,Alcoa Power Generating Inc,NC,438300,0,62188
2004,Alcoa Power Generating Inc,NC,74756,0,37028
2003,Alcoa Power Generating Inc,NC,1346733,0,296474
2002,Alcoa Power Generating Inc,NC,2874704,0,1774718
2001,Alcoa Power Generating Inc,NC,523112,0,1494734
2000,Alcoa Power Generating Inc,NC,597652,0,251805
1999,Alcoa Power Generating Inc,NC,1172281,0,843019
1998,Alcoa Power Generating Inc,NC,0,0,1881685
1997,Alcoa Power Generating Inc,NC,51687,0,465667
1996,Alcoa Power Generating Inc,NC,213865,0,294177
1995,Alcoa Power Generating Inc,NC,66526,0,1599760
1994,Alcoa Power Generating Inc,NC,12437,0,691770
2004,Alfalfa Electric Coop Inc,OK,0,780031,288059
2003,Alfalfa Electric Coop Inc,OK,0,759772,441129
2002,Alfalfa Electric Coop Inc,OK,0,582663,237537
2001,Alfalfa Electric Coop Inc,OK,0,694252,350734
2000,Alfalfa Electric Coop Inc,OK,0,951467,326843
1999,Alfalfa Electric Coop Inc,OK,0,756025,203401
2019,Allegheny Generating Co (The),MD,5583561,0,0
2018,Allegheny Generating Co (The),MD,1190786,0,0
2017,Allegheny Generating Co (The),MD,0,0,0
2016,Allegheny Generating Co (The),MD,0,0,0
2015,Allegheny Generating Co (The),MD,0,0,0
2014,Allegheny Generating Co (The),MD,0,0,68368
2013,Allegheny Generating Co (The),MD,0,0,394
2012,Allegheny Generating Co (The),MD,2413801,0,-8316
2011,Allegheny Generating Co (The),MD,-1688000,0,-1724
2010,Allegheny Generating Co (The),MD,9550,0,38119
2009,Allegheny Generating Co (The),MD,3425678,0,-6550
2008,Allegheny Generating Co (The),MD,1996,0,8000
2007,Allegheny Generating Co (The),MD,326727,0,0
2006,Allegheny Generating Co (The),MD,13011821,0,30087
2005,Allegheny Generating Co (The),MD,4279714,0,0
2004,Allegheny Generating Co (The),MD,11792,0,-19552
2003,Allegheny Generating Co (The),MD,0,0,0
2002,Allegheny Generating Co (The),MD,0,0,0
2001,Allegheny Generating Co (The),MD,1,0,121472
2000,Allegheny Generating Co (The),MD,0,0,0
1999,Allegheny Generating Co (The),MD,0,0,0
1998,Allegheny Generating Co (The),MD,1674,0,87556
1997,Allegheny Generating Co (The),MD,0,0,0
1996,Allegheny Generating Co (The),MD,-1,0,3624
1995,Allegheny Generating Co (The),MD,12658,0,69708
1994,Allegheny Generating Co (The),MD,35375,0,-79677
2019,ALLETE Inc,MN,35019280,23850128,11769775
2018,ALLETE Inc,MN,9497369,35639758,12347204
2017,ALLETE Inc,MN,47054713,27827536,19393454
2016,ALLETE Inc,MN,36977569,37083572,10513390
2015,ALLETE Inc,MN,85769031,20732561,13588759
2014,ALLETE Inc,MN,101994765,23412306,6159022
2013,ALLETE Inc,MN,73786288,21044532,15591625
2012,ALLETE Inc,MN,34180734,19160152,4111706
2011,ALLETE Inc,MN,13763664,22578578,19259036
2010,ALLETE Inc,MN,36789127,13964350,7137668
2009,ALLETE Inc,MN,138584508,12554701,9489438
2008,ALLETE Inc,MN,4044193,22647093,10026732
2007,ALLETE Inc,MN,8391733,33499223,11400520
2006,ALLETE Inc,MN,8240005,14524280,4023933
2005,ALLETE Inc,MN,3100885,14075326,4437295
2004,ALLETE Inc,MN,6456318,13454309,4079393
2003,ALLETE Inc,MN,5755406,17192017,5029058
2002,ALLETE Inc,MN,7105407,14861898,10126563
2001,ALLETE Inc,MN,5116552,8006543,3817807
2000,ALLETE Inc,MN,4248296,8930011,6229413
1999,ALLETE Inc,MN,3780074,5793515,5780776
1998,ALLETE Inc,MN,1812891,8379895,7179145
1997,ALLETE Inc,MN,1692609,8331039,4268045
1996,ALLETE Inc,MN,4842850,9767224,5347908
1995,ALLETE Inc,MN,3884270,13893660,12320981
1994,ALLETE Inc,MN,2957911,14451507,5307655
2019,Ameren Illinois,MO,472756535,362666109,79929691
2018,Ameren Illinois,MO,372992299,360174069,78836657
2017,Ameren Illinois,MO,295662677,379177315,41969143
2016,Ameren Illinois,MO,348069499,353320194,75026275
2015,Ameren Illinois,MO,310717387,388443260,50549960
2014,Ameren Illinois,MO,246146980,278301473,65725633
2013,Ameren Illinois,MO,197815073,250806053,45303885
2012,Ameren Illinois,MO,88413125,199367121,45588890
2011,Ameren Illinois,MO,72367275,154880821,9714167
2010,Ameren Illinois,MO,33354063,162402104,9066617
2019,Ameren Illinois Transmission Co,IL,256727610,0,616090
2018,Ameren Illinois Transmission Co,IL,220116407,0,1572913
2017,Ameren Illinois Transmission Co,IL,455073484,0,191292
2016,Ameren Illinois Transmission Co,IL,591151386,0,8782
2015,Ameren Illinois Transmission Co,IL,47627140,0,68699
2014,Ameren Illinois Transmission Co,IL,5773351,0,622512
2013,Ameren Illinois Transmission Co,IL,14296146,0,0
2012,Ameren Illinois Transmission Co,IL,120868,0,0
2011,Ameren Illinois Transmission Co,IL,309368,0,0
2010,Ameren Illinois Transmission Co,IL,52262109,0,0
2019,Ameren Missouri,MO,134729634,420941270,101051740
2018,Ameren Missouri,MO,79811231,256237568,74549823
2017,Ameren Missouri,MO,55656442,242926613,37206498
2016,Ameren Missouri,MO,175519926,295437816,66956817
2015,Ameren Missouri,MO,27110852,202503006,29694524
2014,Ameren Missouri,MO,130206307,241888450,50337975
2013,Ameren Missouri,MO,69923046,206198780,24460939
2012,Ameren Missouri,MO,18635850,246801858,36809187
2011,Ameren Missouri,MO,48924721,196572257,43618016
2010,Ameren Missouri,MO,47907256,213707870,37200211
2009,Ameren Missouri,MO,14306140,320957033,37150714
2008,Ameren Missouri,MO,59420284,256628604,47490593
2007,Ameren Missouri,MO,9975175,197227373,18240169
2006,Ameren Missouri,MO,65859264,217892463,28615056
2005,Ameren Missouri,MO,30030517,158988379,30276970
2004,Ameren Missouri,MO,18662901,131349734,18764088
2003,Ameren Missouri,MO,39483992,134516696,19695036
2002,Ameren Missouri,MO,17606067,126714716,27415429
2001,Ameren Missouri,MO,-1982587,114587098,9072047
2000,Ameren Missouri,MO,25318295,107327009,12337194
1999,Ameren Missouri,MO,29258987,106917472,8061726
1998,Ameren Missouri,MO,5517712,114570166,-11255070
1997,Ameren Missouri,MO,5355878,160389144,19846908
1996,Ameren Missouri,MO,9726253,138394826,21383446
1995,Ameren Missouri,MO,7023647,129383635,33361644
1994,Ameren Missouri,MO,22760370,126986631,45178804
2009,AmerenCILCO,IL,4560067,35760336,3221438
2008,AmerenCILCO,IL,2916521,38562562,7091845
2007,AmerenCILCO,IL,6865588,26682856,5439554
2006,AmerenCILCO,IL,7972108,36508053,2522237
2005,AmerenCILCO,IL,19575272,32176187,3612925
2004,AmerenCILCO,IL,918134,24375457,2672078
2003,AmerenCILCO,IL,1041191,23098785,3559261
2002,AmerenCILCO,IL,836227,22426430,2197889
2001,AmerenCILCO,IL,-4310819,17348943,1019748
2000,AmerenCILCO,IL,4448465,17183906,2901600
1999,AmerenCILCO,IL,533306,19648841,77028
1998,AmerenCILCO,IL,1960129,19654519,1128257
1997,AmerenCILCO,IL,1685808,16637051,933263
1996,AmerenCILCO,IL,1049847,25941795,773184
1995,AmerenCILCO,IL,7377871,24810692,1967368
1994,AmerenCILCO,IL,601683,25590873,1841494
2009,AmerenCIPS,IL,5622077,76061710,6097859
2008,AmerenCIPS,IL,11693647,54523939,10751359
2007,AmerenCIPS,IL,6248420,47534158,6672119
2006,AmerenCIPS,IL,18908106,48867177,7823766
2005,AmerenCIPS,IL,517280,39120662,5468373
2004,AmerenCIPS,IL,6724377,29933360,3280285
2003,AmerenCIPS,IL,12457837,31615047,5738411
2002,AmerenCIPS,IL,2705576,32957516,972528
2001,AmerenCIPS,IL,9681398,28803842,-656645
2000,AmerenCIPS,IL,-7989317,23767411,6312485
1999,AmerenCIPS,IL,-235794,26462877,433990
1998,AmerenCIPS,IL,17196131,24064110,15593361
1997,AmerenCIPS,IL,17501720,22947398,25406198
1996,AmerenCIPS,IL,16898833,42183792,12312993
1995,AmerenCIPS,IL,12313863,20153473,4697697
1994,AmerenCIPS,IL,34086309,34037478,10378766
2009,AmerenIP,IL,47554164,117308697,17128652
2008,AmerenIP,IL,7914005,105132203,19044459
2007,AmerenIP,IL,8467974,93196072,9125238
2006,AmerenIP,IL,5515487,128005597,17780220
2005,AmerenIP,IL,12734911,115812353,3890493
2004,AmerenIP,IL,7453974,93712689,23448433
2003,AmerenIP,IL,5841487,105560954,5222869
2002,AmerenIP,IL,18568653,84867232,24239312
2001,AmerenIP,IL,10325873,78968171,30667335
2000,AmerenIP,IL,8666710,77835555,10572845
1999,AmerenIP,IL,3774280,70101001,21260012
1998,AmerenIP,IL,31345526,76260398,25891528
1997,AmerenIP,IL,10737919,72402987,22944236
1996,AmerenIP,IL,-4561846,57951367,37457392
1995,AmerenIP,IL,12774450,65485308,19167071
1994,AmerenIP,IL,11619537,50988368,12438752
2019,American Transmission Co LLC,WI,461120194,0,27573505
2018,American Transmission Co LLC,WI,588565555,0,31345928
2017,American Transmission Co LLC,WI,341470245,0,83295825
2016,American Transmission Co LLC,WI,297036130,0,46710277
2015,American Transmission Co LLC,WI,273348595,0,21828329
2014,American Transmission Co LLC,WI,315634977,0,12959419
2013,American Transmission Co LLC,WI,332883900,0,22516290
2012,American Transmission Co LLC,WI,211689209,0,21855113
2011,American Transmission Co LLC,WI,133936592,0,7616347
2010,American Transmission Co LLC,WI,303175805,0,4447711
2009,American Transmission Co LLC,WI,449861695,0,22130099
2008,American Transmission Co LLC,WI,324444124,0,3446291
2007,American Transmission Co LLC,WI,295354951,0,11160428
2006,American Transmission Co LLC,WI,450358987,0,20616933
2005,American Transmission Co LLC,WI,240573200,0,19163034
2004,American Transmission Co LLC,WI,163609848,0,8619106
2003,American Transmission Co LLC,WI,138856600,0,7006926
2002,American Transmission Co LLC,WI,99196900,0,7930368
2001,American Transmission Co LLC,WI,93383746,0,9435745
2019,American Transmission Systems Inc,OH,364367794,0,64654312
2018,American Transmission Systems Inc,OH,334679999,0,10013785
2017,American Transmission Systems Inc,OH,396878801,0,19474793
2016,American Transmission Systems Inc,OH,496832816,0,22177123
2015,American Transmission Systems Inc,OH,716604238,0,1078777
2014,American Transmission Systems Inc,OH,576335257,0,39726879
2013,American Transmission Systems Inc,OH,257347042,0,55875595
2012,American Transmission Systems Inc,OH,128247807,0,6292991
2011,American Transmission Systems Inc,OH,60218495,0,397718
2010,American Transmission Systems Inc,OH,58723492,0,-445389
2009,American Transmission Systems Inc,OH,19044437,0,37602
2008,American Transmission Systems Inc,OH,53540129,0,1950474
2007,American Transmission Systems Inc,OH,60450117,0,5694213
2006,American Transmission Systems Inc,OH,64076969,0,16183142
2005,American Transmission Systems Inc,OH,43803287,0,51582
2004,American Transmission Systems Inc,OH,3411589,0,208059
2003,American Transmission Systems Inc,OH,12463415,23863,0
2002,American Transmission Systems Inc,OH,32677552,174238,37777
2001,American Transmission Systems Inc,OH,27934013,0,2291
2000,American Transmission Systems Inc,OH,774801,0,0
2019,Appalachian Power Co,VA,311750121,277218640,43119604
2018,Appalachian Power Co,VA,325480958,267041900,25673133
2017,Appalachian Power Co,VA,247993157,238726925,11521144
2016,Appalachian Power Co,VA,400032484,202717992,14409544
2015,Appalachian Power Co,VA,191186327,175404254,7408327
2014,Appalachian Power Co,VA,73640193,147799652,5250625
2013,Appalachian Power Co,VA,114954150,185627864,2495867
2012,Appalachian Power Co,VA,111464886,176423453,8661306
2011,Appalachian Power Co,VA,103985745,130112573,3944836
2010,Appalachian Power Co,VA,44940243,125193661,2718572
2009,Appalachian Power Co,VA,65251117,172837870,6464279
2008,Appalachian Power Co,VA,83981061,168892625,8100991
2007,Appalachian Power Co,VA,62314663,176976552,6165883
2006,Appalachian Power Co,VA,363760045,188806778,14171011
2005,Appalachian Power Co,VA,21878226,116440136,4593802
2004,Appalachian Power Co,VA,15099699,93605445,8242977
2003,Appalachian Power Co,VA,26461558,79997026,7831435
2002,Appalachian Power Co,VA,1735126,84574306,989250
2001,Appalachian Power Co,VA,49077624,97135616,9254185
2000,Appalachian Power Co,VA,28882017,103676486,2351191
1999,Appalachian Power Co,VA,42226288,118450460,4494250
1998,Appalachian Power Co,VA,42967673,67951035,5822787
1997,Appalachian Power Co,VA,28291232,109083673,11752693
1996,Appalachian Power Co,VA,17394475,110195924,11419335
1995,Appalachian Power Co,VA,39785039,125012748,2157258
1994,Appalachian Power Co,VA,31421033,109262928,2224460
2019,Arizona Public Service Co,AZ,95248516,384165121,105150017
2018,Arizona Public Service Co,AZ,207024382,395318728,84111548
2017,Arizona Public Service Co,AZ,98023387,320175439,95014039
2016,Arizona Public Service Co,AZ,258353781,247451694,100798760
2015,Arizona Public Service Co,AZ,257481707,243884657,98344546
2014,Arizona Public Service Co,AZ,32970435,213685428,93487906
2013,Arizona Public Service Co,AZ,77879761,203565290,52504363
2012,Arizona Public Service Co,AZ,85593352,220698450,68867013
2011,Arizona Public Service Co,AZ,75247750,227361164,91123832
2010,Arizona Public Service Co,AZ,175254794,219077173,67481956
2009,Arizona Public Service Co,AZ,143896059,197108917,34912353
2008,Arizona Public Service Co,AZ,104659484,306474936,58348335
2007,Arizona Public Service Co,AZ,125042564,332972299,33790210
2006,Arizona Public Service Co,AZ,90823479,321797716,47837228
2005,Arizona Public Service Co,AZ,74745141,267194671,30356069
2004,Arizona Public Service Co,AZ,68773636,250181462,10315382
2003,Arizona Public Service Co,AZ,114013038,212016462,40121694
2002,Arizona Public Service Co,AZ,77340097,208820806,45970053
2001,Arizona Public Service Co,AZ,79652147,218669289,19323672
2000,Arizona Public Service Co,AZ,37946425,191148497,24714925
1999,Arizona Public Service Co,AZ,27775330,194123244,20915557
1998,Arizona Public Service Co,AZ,26947641,165460443,25264210
1997,Arizona Public Service Co,AZ,14017334,170510166,12096542
1996,Arizona Public Service Co,AZ,65201473,159473353,20970753
1995,Arizona Public Service Co,AZ,12174596,146685177,27621224
1994,Arizona Public Service Co,AZ,7592750,142813311,21223305
1998,Aroostook Valley Electric Co,FL,0,0,0
1997,Aroostook Valley Electric Co,FL,0,0,0
1996,Aroostook Valley Electric Co,FL,0,0,0
1995,Aroostook Valley Electric Co,FL,0,0,0
1994,Aroostook Valley Electric Co,FL,0,0,0
2019,Atlantic City Electric Co,DE,190815797,136474450,31593586
2018,Atlantic City Electric Co,DE,82418826,158350185,22275699
2017,Atlantic City Electric Co,DE,165916002,129933047,10284374
2016,Atlantic City Electric Co,DE,170292241,84929513,9719038
2015,Atlantic City Electric Co,DE,134030625,90122996,9096435
2014,Atlantic City Electric Co,DE,61561236,123263658,12758774
2013,Atlantic City Electric Co,DE,55049513,130113910,17329684
2012,Atlantic City Electric Co,DE,55263256,127364372,9270813
2011,Atlantic City Electric Co,DE,8415979,91218697,4343782
2010,Atlantic City Electric Co,DE,37750967,109173154,7663405
2009,Atlantic City Electric Co,DE,26437450,76346122,4035406
2008,Atlantic City Electric Co,DE,119833058,84225203,2725894
2007,Atlantic City Electric Co,DE,28373180,63395039,3780508
2006,Atlantic City Electric Co,DE,29277637,59564617,1137177
2005,Atlantic City Electric Co,DE,109927768,57131730,4446527
2004,Atlantic City Electric Co,DE,16895539,77773357,649034
2003,Atlantic City Electric Co,DE,25707245,53327973,2738776
2002,Atlantic City Electric Co,DE,17293397,84926460,2538826
2001,Atlantic City Electric Co,DE,846377,26377380,801653
2000,Atlantic City Electric Co,DE,1354235,30504788,1810744
1999,Atlantic City Electric Co,DE,1513243,23330542,6282416
1998,Atlantic City Electric Co,DE,2870358,30734070,3141707
1997,Atlantic City Electric Co,DE,8634080,39341072,16825587
1996,Atlantic City Electric Co,DE,7987990,44772286,10175098
1995,Atlantic City Electric Co,DE,10081624,36673327,7679717
1994,Atlantic City Electric Co,DE,21912819,35667014,9569267
2019,Avista Corp,WA,54775439,125907829,8525342
2018,Avista Corp,WA,42706048,116410634,9826256
2017,Avista Corp,WA,49917983,101978338,8692015
2016,Avista Corp,WA,44249607,91970468,11567176
2015,Avista Corp,WA,38387038,109014041,10437235
2014,Avista Corp,WA,40768295,79544827,11178561
2013,Avista Corp,WA,25772782,72181498,15359800
2012,Avista Corp,WA,24252225,70083662,16573175
2011,Avista Corp,WA,27177956,79932157,8900398
2010,Avista Corp,WA,27708901,64962772,21112639
2009,Avista Corp,WA,13368177,69350405,99641911
2008,Avista Corp,WA,18651739,79172406,9139184
2007,Avista Corp,WA,62717849,55368577,6928382
2006,Avista Corp,WA,16063241,47545589,4657679
2005,Avista Corp,WA,33254609,35475504,6966177
2004,Avista Corp,WA,34136899,38519310,2752525
2003,Avista Corp,WA,10834636,27381365,3953451
