Year,Utility Name,State,Trn Total Operation Expenses $,Trn Total Maintenance Expenses $,Dis Total Maintenance Expenses $,Dis Total Operation Expenses $,Total Sales Expenses $,Total Customer Srv & Information Expenses $,CAE Total Customer Accounts Expenses $,Total Admin & General Expenses $,Total Regional Trans & Mark Operation Exps  $,A&G Total Operation Expenses $,A&G Oper Injuries & Damages $
2016,4C Acquisition LLC,AZ,6395,20010,0,0,-4,0,0,969537,0,969537,43631
2003,Access Energy Coop,IA,0,0,0,1818250,72716,202702,461496,1027690,0,1027690,0
2002,Access Energy Coop,IA,0,0,0,2205987,61038,157468,429795,1004481,0,1004481,0
2019,AEP Appalachian Transmission Co Inc,OH,531937,59139,0,0,0,0,0,322741,0,322722,3684
2018,AEP Appalachian Transmission Co Inc,OH,197027,26431,0,0,0,0,0,502888,0,502886,1239
2017,AEP Appalachian Transmission Co Inc,OH,27261,1773,0,0,0,0,0,154299,0,154291,50
2016,AEP Appalachian Transmission Co Inc,OH,156,0,0,0,0,0,0,131179,0,131179,9
2015,AEP Appalachian Transmission Co Inc,OH,228,-81,0,0,0,0,0,103531,0,103531,6
2014,AEP Appalachian Transmission Co Inc,OH,10634,774,0,0,0,0,0,207148,0,193721,783
2013,AEP Appalachian Transmission Co Inc,OH,32510,362,0,0,0,0,0,146499,0,146499,17
2012,AEP Appalachian Transmission Co Inc,OH,28761,0,0,0,0,0,0,189752,0,189752,0
2011,AEP Appalachian Transmission Co Inc,OH,33288,0,0,0,0,0,0,226049,0,226049,0
2010,AEP Appalachian Transmission Co Inc,OH,13343,0,0,0,0,0,0,113715,0,113715,0
2019,AEP Generating Co,OH,0,0,0,0,0,0,0,3319194,0,2898384,140446
2018,AEP Generating Co,OH,0,0,0,0,0,0,0,3526417,0,3107491,20253
2017,AEP Generating Co,OH,0,0,0,0,0,0,0,4815103,0,4348248,21124
2016,AEP Generating Co,OH,0,0,0,0,0,0,0,7547786,0,6955101,210449
2015,AEP Generating Co,OH,0,0,0,0,0,0,0,8562812,0,8184723,249416
2014,AEP Generating Co,OH,0,0,0,0,0,0,0,6076188,0,5676761,97769
2013,AEP Generating Co,OH,0,0,0,0,0,0,0,5909422,0,5705591,41081
2012,AEP Generating Co,OH,0,0,0,0,0,838,0,6207027,0,6158489,48993
2011,AEP Generating Co,OH,0,0,0,0,0,0,0,6908296,0,6807207,63467
2010,AEP Generating Co,OH,0,0,0,0,0,0,0,7385663,0,7282207,100838
2009,AEP Generating Co,OH,0,0,0,0,0,0,0,6640130,0,6533255,85013
2008,AEP Generating Co,OH,0,0,0,0,0,0,0,6540306,0,6426549,129123
2007,AEP Generating Co,OH,0,0,0,0,0,0,0,5965638,0,5816388,85365
2006,AEP Generating Co,OH,0,0,0,0,0,0,0,5425044,0,5288831,78893
2005,AEP Generating Co,OH,0,0,0,0,0,0,0,4562941,0,4424810,110355
2004,AEP Generating Co,OH,0,0,0,0,0,0,0,5373687,0,5225332,223076
2003,AEP Generating Co,OH,0,0,0,0,0,0,0,5270868,0,4954653,180674
2002,AEP Generating Co,OH,0,0,0,0,0,0,0,6459793,0,6214208,135368
2001,AEP Generating Co,OH,0,0,0,0,0,0,0,4744109,0,4722172,95047
2000,AEP Generating Co,OH,0,0,0,0,0,0,0,5412850,0,5407590,41786
1999,AEP Generating Co,OH,5710,1198,972,3612,0,11906,0,4789938,0,4790139,22660
1998,AEP Generating Co,OH,0,0,0,0,0,0,0,3709669,0,3694371,100624
1997,AEP Generating Co,OH,0,0,0,0,0,0,0,4608846,0,4588465,90135
1996,AEP Generating Co,OH,0,0,0,0,0,0,0,6216047,0,5958422,213334
1995,AEP Generating Co,OH,0,0,0,0,0,0,0,6694173,0,6525500,222517
1994,AEP Generating Co,OH,0,0,0,0,0,0,0,4871684,0,4723280,158115
2014,AEP Generation Resources Inc,OH,16770491,0,0,0,0,0,0,43192807,1452245,41138253,3169287
2019,AEP Indiana Michigan Transmission Co Inc,OH,15804337,4077708,0,0,0,0,0,5911266,0,5865398,147285
2018,AEP Indiana Michigan Transmission Co Inc,OH,13726625,2824136,0,0,0,0,0,7194485,0,7088106,116430
2017,AEP Indiana Michigan Transmission Co Inc,OH,8859379,1927114,0,0,0,0,0,4633831,0,4632447,93010
2016,AEP Indiana Michigan Transmission Co Inc,OH,3079341,2011485,0,0,0,0,0,3445881,0,3445881,46906
2015,AEP Indiana Michigan Transmission Co Inc,OH,2135538,1562295,0,0,0,0,0,2107363,0,2107363,37757
2014,AEP Indiana Michigan Transmission Co Inc,OH,803235,83912,0,0,0,0,0,1431285,0,1417153,18412
2013,AEP Indiana Michigan Transmission Co Inc,OH,472289,31346,0,0,0,0,0,479727,0,479727,6537
2012,AEP Indiana Michigan Transmission Co Inc,OH,106542,17189,0,0,0,0,0,552645,0,552645,0
2011,AEP Indiana Michigan Transmission Co Inc,OH,70021,0,0,0,0,0,0,332712,0,332712,0
2010,AEP Indiana Michigan Transmission Co Inc,OH,18822,0,0,0,0,0,0,202814,0,202814,0
2019,AEP Kentucky Transmission Co Inc,OH,1290758,119355,0,0,0,0,0,455158,0,455136,8242
2018,AEP Kentucky Transmission Co Inc,OH,1005764,98569,0,0,0,0,0,614746,0,614743,6224
2017,AEP Kentucky Transmission Co Inc,OH,789213,68480,0,0,0,0,0,427608,0,427530,6900
2016,AEP Kentucky Transmission Co Inc,OH,266670,62225,0,0,0,0,0,388567,0,388548,4720
2015,AEP Kentucky Transmission Co Inc,OH,81735,30580,0,0,0,0,0,280758,0,280758,1436
2014,AEP Kentucky Transmission Co Inc,OH,14395,830,0,0,0,0,0,169555,0,156211,637
2013,AEP Kentucky Transmission Co Inc,OH,18193,25,0,0,0,0,0,95682,0,95682,8
2012,AEP Kentucky Transmission Co Inc,OH,34899,0,0,0,0,0,0,98919,0,98919,0
2011,AEP Kentucky Transmission Co Inc,OH,64311,0,0,0,0,0,0,197215,0,197215,0
2010,AEP Kentucky Transmission Co Inc,OH,12345,0,0,0,0,0,0,98204,0,98204,0
2019,AEP Ohio Transmission Co Inc,OH,24050381,5821911,0,0,0,0,0,10537706,0,9865651,230574
2018,AEP Ohio Transmission Co Inc,OH,21471245,3412284,0,0,0,0,0,12591615,0,12188773,202582
2017,AEP Ohio Transmission Co Inc,OH,17569387,3236147,0,0,0,0,0,8066620,0,7827428,174452
2016,AEP Ohio Transmission Co Inc,OH,7617278,2464194,0,0,0,0,0,6928394,0,6816657,108074
2015,AEP Ohio Transmission Co Inc,OH,5910657,2083348,0,0,0,0,0,4969864,0,4969864,108721
2014,AEP Ohio Transmission Co Inc,OH,2150369,347198,0,0,0,0,0,3950895,0,3935455,61687
2013,AEP Ohio Transmission Co Inc,OH,1410000,68754,0,0,0,0,0,1558862,0,1558862,32295
2012,AEP Ohio Transmission Co Inc,OH,561988,24788,0,0,0,0,0,1722490,0,1722490,12122
2011,AEP Ohio Transmission Co Inc,OH,280060,6243,0,0,0,0,0,983542,0,983542,0
2010,AEP Ohio Transmission Co Inc,OH,15958,0,0,0,0,0,0,181556,0,181556,0
2019,AEP Oklahoma Transmission Co Inc,OH,8900831,2113383,0,0,0,0,0,3460885,0,3319018,79109
2018,AEP Oklahoma Transmission Co Inc,OH,7997145,2004146,0,0,0,0,0,4371946,0,4057421,69241
2017,AEP Oklahoma Transmission Co Inc,OH,7035368,1895891,0,0,0,0,0,2634355,0,2575034,66328
2016,AEP Oklahoma Transmission Co Inc,OH,2280293,1245879,0,0,0,0,0,2261480,0,2218504,36922
2015,AEP Oklahoma Transmission Co Inc,OH,1671379,897473,0,0,0,0,0,1596498,0,1596498,39746
2014,AEP Oklahoma Transmission Co Inc,OH,685834,78970,0,0,0,0,0,1450737,0,1436697,25546
2013,AEP Oklahoma Transmission Co Inc,OH,443338,77528,0,0,0,0,0,734270,0,734270,10516
2012,AEP Oklahoma Transmission Co Inc,OH,255340,14627,0,0,0,0,0,722193,0,722193,0
2011,AEP Oklahoma Transmission Co Inc,OH,97034,0,0,0,0,0,0,351371,0,351371,0
2010,AEP Oklahoma Transmission Co Inc,OH,26925,0,0,0,0,0,0,149744,0,149744,0
2019,AEP Southwestern Transmission Co Inc,OH,1564,342,0,0,0,0,0,95277,0,95277,6
2018,AEP Southwestern Transmission Co Inc,OH,709,125,0,0,0,0,0,103468,0,103468,7
2017,AEP Southwestern Transmission Co Inc,OH,9032,243,0,0,0,0,0,75933,0,75933,16
2016,AEP Southwestern Transmission Co Inc,OH,6268,2,0,0,0,0,0,138040,0,138040,9
2015,AEP Southwestern Transmission Co Inc,OH,6824,0,0,0,0,0,0,131671,0,131671,9
2014,AEP Southwestern Transmission Co Inc,OH,24087,19,0,0,0,0,0,170218,0,156864,15
2013,AEP Southwestern Transmission Co Inc,OH,86800,2,0,0,0,0,0,289933,0,289933,16
2012,AEP Southwestern Transmission Co Inc,OH,150713,0,0,0,0,0,0,462999,0,462999,0
2011,AEP Southwestern Transmission Co Inc,OH,54344,0,0,0,0,0,0,234028,0,234028,0
2010,AEP Southwestern Transmission Co Inc,OH,8890,0,0,0,0,0,0,134462,0,134462,0
2016,AEP Texas Central Co,TX,248525127,10026286,27366445,41308903,189281,15644883,7701046,47241815,0,36012396,3480494
2015,AEP Texas Central Co,TX,231760087,10849332,30798141,46524315,224865,16601635,10080961,52016540,0,38234327,4083371
2014,AEP Texas Central Co,TX,209422835,9672586,27377253,41856403,260625,15025761,9440458,47219790,0,37146550,4049682
2013,AEP Texas Central Co,TX,151361878,7780836,23765438,38305763,139325,15471452,11716945,43644396,0,35506609,3196100
2012,AEP Texas Central Co,TX,137111349,6772248,22437396,34616745,9023,14751902,15921205,41160816,0,33756829,3261069
2011,AEP Texas Central Co,TX,121356894,9013351,23180270,38121239,7898,17032595,17731384,50591543,0,42193122,5365971
2010,AEP Texas Central Co,TX,118728277,7655465,19854657,60382932,13929,20230989,18747293,58195849,0,50416428,4163367
2009,AEP Texas Central Co,TX,108416391,8282097,21142507,29838182,26224,18709830,19268688,63819202,0,56715666,3214534
2008,AEP Texas Central Co,TX,99663542,7726635,24205544,33075277,17034,10366394,20890870,74739519,0,68428528,3587811
2007,AEP Texas Central Co,TX,94202306,7402226,25284788,34133429,20581,10193360,21226638,77949484,0,71582668,3064614
2006,AEP Texas Central Co,TX,90410282,8637819,22834438,30650967,122236,10719588,22667665,85276815,0,79285727,3098573
2005,AEP Texas Central Co,TX,83739887,8191169,22659816,35667913,170487,8913078,26868132,91728987,0,86360540,3496008
2004,AEP Texas Central Co,TX,83111563,5463860,21467695,30526574,172233,7028182,23368654,101938012,0,95928317,5481297
2003,AEP Texas Central Co,TX,73448835,5718741,14775412,26868747,120076,8808484,21935484,98389369,0,90596923,7063856
2002,AEP Texas Central Co,TX,67497549,5446492,13679970,40592913,118153,9198546,25945921,104113192,0,97553754,6673797
2001,AEP Texas Central Co,TX,85945015,4614415,13310086,29692595,28502,10902464,30992950,90447973,0,84721501,5099529
2000,AEP Texas Central Co,TX,76633304,3810721,14872724,21677615,14223,10509456,27664480,114492830,0,108063578,8374084
1999,AEP Texas Central Co,TX,65218821,4819168,14925460,17028209,0,11300395,24303621,107131312,0,100833648,8486886
1998,AEP Texas Central Co,TX,52265599,3888809,13833447,13280264,0,10338115,15876326,103823168,0,96499793,2634217
1997,AEP Texas Central Co,TX,51706359,2315917,12378925,17321272,4227,17833149,15895967,118993676,0,113697779,3434379
1996,AEP Texas Central Co,TX,19381422,2762728,11269343,14056216,42547,9948149,17339825,122359295,0,117983247,5651859
1995,AEP Texas Central Co,TX,11884322,3376620,12587864,16890012,4083331,5713756,13883875,78177718,0,73928478,4489816
1994,AEP Texas Central Co,TX,10111003,4252475,14878931,16428797,3988443,3920384,17127578,115629382,0,111001644,8145292
2019,AEP Texas Inc,OK,317032701,20202266,114004610,57393315,450495,19002636,12977609,68211166,0,49515007,3013185
2018,AEP Texas Inc,OK,324353505,19707803,45509681,58683509,318138,19042566,12348081,61160603,0,43559047,4720125
2017,AEP Texas Inc,OK,306894180,12068971,43239399,54081280,297815,17611269,11153680,64374374,0,49820440,5073129
2016,AEP Texas North Co,TX,61730511,6164636,8385648,13675276,42504,2846394,1907817,17351585,0,13417497,1673431
2015,AEP Texas North Co,TX,60033961,7183456,13091469,16021978,50808,3295217,2518992,17969270,0,13518270,910630
2014,AEP Texas North Co,TX,54138776,6992700,10462403,13791632,58585,3076857,2357542,17108922,0,13223476,1434305
2013,AEP Texas North Co,TX,46030584,4626549,8694801,10851839,31189,3541967,2881189,16439405,0,13306333,1077875
2012,AEP Texas North Co,TX,41709004,4692191,6516488,10778018,-6,3035706,3906915,16776931,0,13975864,1027324
2011,AEP Texas North Co,TX,37294994,4421158,6603761,12737297,9,2801011,4073339,17673826,0,14855974,1251412
2010,AEP Texas North Co,TX,39237073,5015552,4810107,17594466,40,3086610,5481409,20918126,0,18145454,1154728
2009,AEP Texas North Co,TX,33132340,4697602,4806920,10545629,59,2046745,5632621,21296806,0,18725141,784941
2008,AEP Texas North Co,TX,29029528,4463492,5644569,11370124,0,2047273,6016864,19772422,0,17480784,1032750
2007,AEP Texas North Co,TX,28968500,4633965,5063996,11004353,0,2108793,6245511,19945139,543,17368046,1039508
2006,AEP Texas North Co,TX,26947520,4788744,5929482,11322850,-203,1996845,6461603,23616918,5529,20784849,970235
2005,AEP Texas North Co,TX,26044257,3965130,6482237,14217948,899,1620841,6120231,22964653,0,21008597,2243208
2004,AEP Texas North Co,TX,25100177,2718281,6773519,13223448,1032,1526964,7068456,30527940,0,28223092,1600792
2003,AEP Texas North Co,TX,23478784,1941756,4640858,11551926,1670,1629806,5048981,32307461,0,29417077,2020951
2002,AEP Texas North Co,TX,28440631,2604398,4447878,13197766,4741,2913207,7913744,38330702,0,35478133,1709837
2001,AEP Texas North Co,TX,32854737,1855757,5108223,12015746,5331,2835795,9809813,34774393,0,33016932,1141095
2000,AEP Texas North Co,TX,20252412,2019361,5638081,9388981,2691,4504305,7373832,34650391,0,32638700,1837655
1999,AEP Texas North Co,TX,29264616,2367033,5549141,7793925,0,4954135,7792466,33690021,0,31794112,2880575
1998,AEP Texas North Co,TX,24365522,1151178,4689113,5769058,0,3558935,5848442,36762480,0,34881682,882689
1997,AEP Texas North Co,TX,20411872,765754,4315086,6460628,765583,10060020,6045168,38565110,0,36992918,1046301
1996,AEP Texas North Co,TX,2846346,1181270,3982887,3386135,36833,4151298,5700165,41560090,0,40156974,1491858
1995,AEP Texas North Co,TX,2826737,1263656,3838982,5978791,1326581,2240128,5455547,22264290,0,20976235,1299149
1994,AEP Texas North Co,TX,2231242,1293796,4417792,6739692,951921,2568352,6713486,33609120,0,32493363,1416817
2019,AEP West Virginia Transmission Co Inc,OH,12402284,2364456,0,0,0,0,0,2952987,0,2949253,86978
2018,AEP West Virginia Transmission Co Inc,OH,9687218,1286678,0,0,0,0,0,4232028,0,4226201,67600
2017,AEP West Virginia Transmission Co Inc,OH,7351241,1083053,0,0,0,0,0,2419006,0,2416324,53110
2016,AEP West Virginia Transmission Co Inc,OH,3043044,757705,0,0,0,0,0,2054139,0,2054139,26692
2015,AEP West Virginia Transmission Co Inc,OH,1537778,459196,0,0,0,0,0,1374758,0,1374758,13759
2014,AEP West Virginia Transmission Co Inc,OH,93055,29510,0,0,0,0,0,767313,0,753844,9856
2013,AEP West Virginia Transmission Co Inc,OH,33176,455,0,0,0,0,0,192511,0,192511,15
2012,AEP West Virginia Transmission Co Inc,OH,33337,0,0,0,0,0,0,135516,0,135516,0
2011,AEP West Virginia Transmission Co Inc,OH,47043,0,0,0,0,0,0,278781,0,278781,0
2010,AEP West Virginia Transmission Co Inc,OH,45670,0,0,0,0,0,0,188167,0,188167,0
2019,Alabama Power Co,AL,42408306,48178102,289165276,79336377,6391335,44042426,97009877,334654663,0,330769421,29024513
2018,Alabama Power Co,AL,41179599,43947889,173463749,82145430,6450184,39916652,90894174,368629518,0,360185682,27314245
2017,Alabama Power Co,AL,39046440,49516761,162929751,76353334,6617774,48937613,89806548,426571368,0,418384893,24827788
2016,Alabama Power Co,AL,39916655,42049572,110157939,74117858,6972260,42360744,94943397,387121665,0,379537250,25611836
2015,Alabama Power Co,AL,38743833,32859590,108611365,68504202,9179714,40201331,97310745,413430310,0,404867928,24387731
2014,Alabama Power Co,AL,35875331,37413673,120250045,68449635,8779342,38459254,100081342,360310789,0,352691904,20824318
2013,Alabama Power Co,AL,30753459,29879700,109220970,61190151,9154199,34907456,90103210,351530898,0,343010787,19917895
2012,Alabama Power Co,AL,30249369,31639845,106348099,55432032,9501398,34380127,88847357,355203037,0,346766190,24708281
2011,Alabama Power Co,AL,30341473,39844123,132834515,52967313,8989414,32478726,91959964,310604857,0,301758972,17119014
2010,Alabama Power Co,AL,31743205,62675853,181646160,59009073,10849421,37962153,95833607,338128993,0,326450073,29706567
2009,Alabama Power Co,AL,27944622,45216235,149151675,55559429,11003753,30150349,101814166,279465375,0,272529214,16316131
2008,Alabama Power Co,AL,32295681,46740821,139467774,58620199,13564494,34841327,107272753,292365941,0,283387845,24183995
2007,Alabama Power Co,AL,28417724,37703029,135829275,55016051,13462722,34400253,99744865,299765708,0,291445759,24288272
2006,Alabama Power Co,AL,27449066,36748543,123198432,50289342,14554035,30484313,95023040,280730665,0,273307683,15519109
2005,Alabama Power Co,AL,24116722,32804918,122815309,48024000,13790664,32150104,92602772,261910609,0,258154557,21546689
2004,Alabama Power Co,AL,23893377,26368758,99006132,41181582,12550384,29364538,84467914,241160854,0,237956909,18908491
2003,Alabama Power Co,AL,22965411,26081825,94668909,43917895,12100857,33681942,88606516,210924452,0,207381151,21249649
2002,Alabama Power Co,AL,19652922,18791785,82883609,40958265,12670794,34478204,82607976,192794930,0,189333119,17739480
2001,Alabama Power Co,AL,19508475,22862160,82693602,37260626,12270746,31406008,77229267,157643726,0,154013390,11958224
2000,Alabama Power Co,AL,22639947,24349044,89143660,44796614,13330239,28361763,74141773,184218768,0,179774900,18531490
1999,Alabama Power Co,AL,22085022,23846623,69935347,38673934,13598224,27897018,70373293,202408395,0,196960145,11944239
1998,Alabama Power Co,AL,20107805,26458729,89503756,38538428,14393118,27873794,71026322,198175885,0,190441914,11946129
1997,Alabama Power Co,AL,18416770,16843903,62123054,33315657,12934383,27672923,73736117,192533083,0,186580404,14333380
1996,Alabama Power Co,AL,18581250,18239156,73166995,33381584,13828215,27097815,64139551,194483933,0,188976233,13346361
1995,Alabama Power Co,AL,14522043,19793562,77148883,30950347,4852437,31634553,52197402,211032516,0,202566368,12350727
1994,Alabama Power Co,AL,13325781,30397138,96379689,27781393,4433020,29842829,25351788,213511164,0,205560956,12350339
2019,Alaska Electric Light & Power Co,AK,125398,521286,1906387,1557446,0,2988,1258058,4762781,0,4247666,1152994
2018,Alaska Electric Light & Power Co,AK,226570,496998,1845088,1456875,0,8961,1080911,4886779,0,4350954,1219519
2017,Alaska Electric Light & Power Co,AK,252406,465208,1743437,1404329,0,18981,1182426,4575782,0,4153119,1171761
2016,Alaska Electric Light & Power Co,AK,208940,414243,1615395,1261130,0,3803,1108532,4329827,0,3920536,1138011
2015,Alaska Electric Light & Power Co,AK,93927,376264,1535158,1219942,0,3862,1113780,4429061,0,3942568,1203080
2014,Alaska Electric Light & Power Co,AK,86403,469981,1630681,1141291,0,1975,1167989,4190915,0,3799656,1152658
2013,Alaska Electric Light & Power Co,AK,101625,422180,1705606,1142542,0,4615,1159912,4316207,0,3904003,991428
2012,Alaska Electric Light & Power Co,AK,192651,312219,1292043,1122445,0,4929,1083294,4178727,0,3755913,1032848
2011,Alaska Electric Light & Power Co,AK,87990,274677,1127522,1015701,0,3638,1194570,4144285,0,3761882,1040208
2010,Alaska Electric Light & Power Co,AK,87831,271559,1303853,949480,0,8922,1213307,3817598,0,3429017,1112568
2009,Alaska Electric Light & Power Co,AK,89152,210846,1070401,883501,0,15128,1127377,3661334,0,3294345,992287
2008,Alaska Electric Light & Power Co,AK,85609,169329,921757,874795,0,24951,1179754,4366637,0,4002804,902235
2007,Alaska Electric Light & Power Co,AK,57535,131172,820242,868012,0,45571,988611,3603889,0,3218975,1095182
2006,Alaska Electric Light & Power Co,AK,70166,73056,945243,795826,0,29392,1106801,3301583,0,2910766,963756
2005,Alaska Electric Light & Power Co,AK,87807,44482,708409,758059,0,39657,866629,3074005,0,2773043,898893
2004,Alaska Electric Light & Power Co,AK,67859,170091,755843,760390,0,26438,935361,2643325,0,2319538,840379
2003,Alaska Electric Light & Power Co,AK,117128,123972,712432,710534,0,22502,879919,2568788,0,2234949,726056
2002,Alaska Electric Light & Power Co,AK,77407,85041,581899,671276,0,30088,866730,2448043,0,2154674,629163
2001,Alaska Electric Light & Power Co,AK,72335,88479,597725,717151,0,36821,842156,2268429,0,1950051,580921
2000,Alaska Electric Light & Power Co,AK,114809,166245,609056,713918,0,42042,802124,2118435,0,1839018,543118
1999,Alaska Electric Light & Power Co,AK,62577,88993,578432,754942,0,0,776745,1996309,0,1724469,499584
1998,Alaska Electric Light & Power Co,AK,122121,89930,526787,751469,0,0,705002,1930751,0,1698446,492692
1997,Alaska Electric Light & Power Co,AK,62013,101591,624150,866766,0,0,742932,1873219,0,1668136,516282
1996,Alaska Electric Light & Power Co,AK,56153,107263,621140,700708,0,6136,716195,1812230,0,1681839,453766
1995,Alaska Electric Light & Power Co,AK,63122,70652,642775,736653,0,3987,721442,1906433,0,1802650,536370
1994,Alaska Electric Light & Power Co,AK,57540,80967,591491,756678,0,11978,679631,1818671,0,1710157,491333
1999,Alcoa Generating Corp,PA,0,1296,0,0,0,0,0,1930574,0,1930574,22500
1998,Alcoa Generating Corp,PA,0,7094,0,0,0,0,0,1748395,0,1748395,5075
1997,Alcoa Generating Corp,PA,0,10508,0,0,0,0,0,1700153,0,1700153,26470
1996,Alcoa Generating Corp,PA,0,10929,0,0,0,0,0,2065787,0,2065787,3861
1995,Alcoa Generating Corp,PA,124,7562,0,0,0,0,0,1879709,0,1879709,32554
1994,Alcoa Generating Corp,PA,9368,52022,0,0,0,0,0,1369562,0,1369562,49074
2019,Alcoa Power Generating Inc,NC,994070,1584433,0,11463,0,0,0,17319805,0,17059609,0
2018,Alcoa Power Generating Inc,NC,1010603,1974445,0,11229,0,0,0,15832725,0,15595765,0
2017,Alcoa Power Generating Inc,NC,1533859,1818611,0,16902,0,0,0,20840749,0,20575051,0
2016,Alcoa Power Generating Inc,NC,2746584,2840129,0,162700,0,0,0,28585228,0,27600733,0
2015,Alcoa Power Generating Inc,NC,2250355,2170274,0,14961,0,0,0,31039865,0,30267014,0
2014,Alcoa Power Generating Inc,NC,2100706,2085588,0,146262,0,0,0,42256081,0,41673585,0
2013,Alcoa Power Generating Inc,NC,2444099,2140264,0,169926,0,0,0,31199350,0,30481380,0
2012,Alcoa Power Generating Inc,NC,3279474,2348473,0,304831,0,0,0,34654666,0,33957406,0
2011,Alcoa Power Generating Inc,NC,1903477,3054183,0,303751,0,0,0,33878005,0,32898266,0
2010,Alcoa Power Generating Inc,NC,1436146,2812572,0,90048,0,0,0,28634869,0,27977631,0
2009,Alcoa Power Generating Inc,NC,1450237,2763543,0,138656,0,0,0,30427916,0,29816375,140000
2008,Alcoa Power Generating Inc,NC,1971940,2867628,0,144118,0,0,0,43027481,0,42607706,0
2007,Alcoa Power Generating Inc,NC,1479586,2252332,0,21992,0,0,0,24684732,0,23866046,0
2006,Alcoa Power Generating Inc,NC,1630656,1410272,0,64831,0,0,0,23892725,0,23443442,862519
2005,Alcoa Power Generating Inc,NC,1995944,1973592,0,63512,0,0,0,15968944,0,15432953,3290
2004,Alcoa Power Generating Inc,NC,1688434,1141677,0,0,0,0,0,15666434,0,15543309,3061
2003,Alcoa Power Generating Inc,NC,1851788,1314369,0,0,0,0,0,13592693,0,13451050,210471
2002,Alcoa Power Generating Inc,NC,1622836,1593827,0,0,0,0,0,11606943,0,11447540,216237
2001,Alcoa Power Generating Inc,NC,1056429,1204354,0,0,0,0,0,8611208,0,8398066,203879
2000,Alcoa Power Generating Inc,NC,1167517,1145875,0,0,0,0,4555,7718311,0,7567138,266463
1999,Alcoa Power Generating Inc,NC,224032,166123,0,0,0,0,0,2030362,0,2033392,216410
1998,Alcoa Power Generating Inc,NC,210986,831773,0,0,0,0,0,1950182,0,1931905,209215
1997,Alcoa Power Generating Inc,NC,110252,574278,0,0,0,0,0,2013232,0,2005575,258076
1996,Alcoa Power Generating Inc,NC,143597,572328,0,0,0,0,0,2391308,0,2381857,74494
1995,Alcoa Power Generating Inc,NC,188981,609038,0,0,0,0,0,2311900,0,2266464,31478
1994,Alcoa Power Generating Inc,NC,224281,603852,0,0,0,0,0,2050961,0,1987029,128976
2004,Alfalfa Electric Coop Inc,OK,0,0,1256636,311701,64562,163697,427390,877877,0,810839,0
2003,Alfalfa Electric Coop Inc,OK,0,0,1061377,304700,68210,152432,402068,827722,0,786384,0
2002,Alfalfa Electric Coop Inc,OK,0,0,1194692,292603,44706,172597,434418,807228,0,741601,0
2001,Alfalfa Electric Coop Inc,OK,0,0,984551,352894,36246,178482,403319,771855,0,719393,0
2000,Alfalfa Electric Coop Inc,OK,0,0,1064751,335942,19248,197236,383439,766240,0,723326,0
1999,Alfalfa Electric Coop Inc,OK,0,0,1206083,301264,27317,226245,373106,706564,0,679555,3521
2019,Allegheny Generating Co (The),MD,0,582911,0,0,0,0,0,594909,0,594909,0
2018,Allegheny Generating Co (The),MD,0,0,0,0,0,0,0,445043,0,445043,0
2017,Allegheny Generating Co (The),MD,0,0,0,0,0,0,0,1308221,0,1308221,0
2016,Allegheny Generating Co (The),MD,0,0,0,0,0,0,0,1123452,0,1123452,0
2015,Allegheny Generating Co (The),MD,0,0,0,0,0,0,0,1156905,0,1156905,0
2014,Allegheny Generating Co (The),MD,0,0,0,0,0,0,0,1203711,0,1203711,0
2013,Allegheny Generating Co (The),MD,0,0,0,0,0,0,0,1406371,0,1406371,0
2012,Allegheny Generating Co (The),MD,0,180901,0,0,0,0,0,1300933,0,1300933,-3432
2011,Allegheny Generating Co (The),MD,1595,767323,0,0,0,0,0,1645610,0,1645610,0
2010,Allegheny Generating Co (The),MD,21,47052,0,0,0,0,0,984287,0,984287,0
2009,Allegheny Generating Co (The),MD,174685,713729,0,0,0,0,0,971863,0,971863,0
2008,Allegheny Generating Co (The),MD,-1,74513,0,0,0,0,0,958239,0,958239,0
2007,Allegheny Generating Co (The),MD,3,42850,0,0,0,0,0,1023181,0,1023181,0
2006,Allegheny Generating Co (The),MD,-4,65469,0,0,0,0,0,1143071,0,1143071,49
2005,Allegheny Generating Co (The),MD,-6,5898,0,0,0,0,0,907380,0,907380,171
2004,Allegheny Generating Co (The),MD,-4,17860,0,0,0,0,0,841845,0,841845,270
2003,Allegheny Generating Co (The),MD,298,9515,0,0,0,0,0,1313133,0,1313133,122
2002,Allegheny Generating Co (The),MD,-915,32309,0,0,0,0,0,1472388,0,1472388,387
2001,Allegheny Generating Co (The),MD,49763,98797,0,0,0,0,0,1310836,0,1310836,52953
2000,Allegheny Generating Co (The),MD,30715,95589,0,0,0,0,0,2131007,0,2131007,39249
1999,Allegheny Generating Co (The),MD,45247,111632,0,0,0,0,0,1617166,0,1617166,276
1998,Allegheny Generating Co (The),MD,36531,49674,0,0,0,0,0,1568475,0,1568475,69
1997,Allegheny Generating Co (The),MD,16855,35961,0,0,0,0,0,1910679,0,1910679,538
1996,Allegheny Generating Co (The),MD,12885,37393,0,0,0,0,0,2378497,0,2378497,0
1995,Allegheny Generating Co (The),MD,25466,18864,0,0,0,0,0,2044619,0,2044619,5697
1994,Allegheny Generating Co (The),MD,47949,317357,0,0,0,0,0,2877345,0,2877345,31538
2019,ALLETE Inc,MN,80246443,9132382,11914189,8324421,92202,14320849,4581364,62207780,0,48502113,0
