Year,Utility Name,State,Total Retail Sales MWh,Total Electricity Customers
2016,4C Acquisition LLC,AZ,0,0
2003,Access Energy Coop,IA,207186,8552
2002,Access Energy Coop,IA,203445,8468
2019,AEP Appalachian Transmission Co Inc,OH,0,0
2018,AEP Appalachian Transmission Co Inc,OH,0,0
2017,AEP Appalachian Transmission Co Inc,OH,0,0
2016,AEP Appalachian Transmission Co Inc,OH,0,0
2015,AEP Appalachian Transmission Co Inc,OH,0,0
2014,AEP Appalachian Transmission Co Inc,OH,0,0
2013,AEP Appalachian Transmission Co Inc,OH,0,0
2012,AEP Appalachian Transmission Co Inc,OH,0,0
2011,AEP Appalachian Transmission Co Inc,OH,0,0
2010,AEP Appalachian Transmission Co Inc,OH,0,0
2019,AEP Generating Co,OH,0,0
2018,AEP Generating Co,OH,0,2
2017,AEP Generating Co,OH,0,2
2016,AEP Generating Co,OH,0,3
2015,AEP Generating Co,OH,0,3
2014,AEP Generating Co,OH,0,0
2013,AEP Generating Co,OH,0,3
2012,AEP Generating Co,OH,0,3
2011,AEP Generating Co,OH,0,3
2010,AEP Generating Co,OH,0,3
2009,AEP Generating Co,OH,0,3
2008,AEP Generating Co,OH,0,3
2007,AEP Generating Co,OH,0,3
2006,AEP Generating Co,OH,0,2
2005,AEP Generating Co,OH,0,0
2004,AEP Generating Co,OH,0,0
2003,AEP Generating Co,OH,0,0
2002,AEP Generating Co,OH,0,0
2001,AEP Generating Co,OH,0,0
2000,AEP Generating Co,OH,0,0
1999,AEP Generating Co,OH,0,0
1998,AEP Generating Co,OH,0,0
1997,AEP Generating Co,OH,0,0
1996,AEP Generating Co,OH,0,3
1995,AEP Generating Co,OH,0,3
1994,AEP Generating Co,OH,0,3
2014,AEP Generation Resources Inc,OH,0,57
2019,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2018,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2017,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2016,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2015,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2014,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2013,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2012,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2011,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2010,AEP Indiana Michigan Transmission Co Inc,OH,0,0
2019,AEP Kentucky Transmission Co Inc,OH,0,0
2018,AEP Kentucky Transmission Co Inc,OH,0,0
2017,AEP Kentucky Transmission Co Inc,OH,0,0
2016,AEP Kentucky Transmission Co Inc,OH,0,0
2015,AEP Kentucky Transmission Co Inc,OH,0,0
2014,AEP Kentucky Transmission Co Inc,OH,0,0
2013,AEP Kentucky Transmission Co Inc,OH,0,0
2012,AEP Kentucky Transmission Co Inc,OH,0,0
2011,AEP Kentucky Transmission Co Inc,OH,0,0
2010,AEP Kentucky Transmission Co Inc,OH,0,0
2019,AEP Ohio Transmission Co Inc,OH,0,0
2018,AEP Ohio Transmission Co Inc,OH,0,0
2017,AEP Ohio Transmission Co Inc,OH,0,0
2016,AEP Ohio Transmission Co Inc,OH,0,0
2015,AEP Ohio Transmission Co Inc,OH,0,0
2014,AEP Ohio Transmission Co Inc,OH,0,0
2013,AEP Ohio Transmission Co Inc,OH,0,0
2012,AEP Ohio Transmission Co Inc,OH,0,0
2011,AEP Ohio Transmission Co Inc,OH,0,0
2010,AEP Ohio Transmission Co Inc,OH,0,0
2019,AEP Oklahoma Transmission Co Inc,OH,0,0
2018,AEP Oklahoma Transmission Co Inc,OH,0,0
2017,AEP Oklahoma Transmission Co Inc,OH,0,0
2016,AEP Oklahoma Transmission Co Inc,OH,0,0
2015,AEP Oklahoma Transmission Co Inc,OH,0,0
2014,AEP Oklahoma Transmission Co Inc,OH,0,0
2013,AEP Oklahoma Transmission Co Inc,OH,0,0
2012,AEP Oklahoma Transmission Co Inc,OH,0,0
2011,AEP Oklahoma Transmission Co Inc,OH,0,0
2010,AEP Oklahoma Transmission Co Inc,OH,0,0
2019,AEP Southwestern Transmission Co Inc,OH,0,0
2018,AEP Southwestern Transmission Co Inc,OH,0,0
2017,AEP Southwestern Transmission Co Inc,OH,0,0
2016,AEP Southwestern Transmission Co Inc,OH,0,0
2015,AEP Southwestern Transmission Co Inc,OH,0,0
2014,AEP Southwestern Transmission Co Inc,OH,0,0
2013,AEP Southwestern Transmission Co Inc,OH,0,0
2012,AEP Southwestern Transmission Co Inc,OH,0,0
2011,AEP Southwestern Transmission Co Inc,OH,0,0
2010,AEP Southwestern Transmission Co Inc,OH,0,0
2016,AEP Texas Central Co,TX,0,0
2015,AEP Texas Central Co,TX,0,0
2014,AEP Texas Central Co,TX,0,0
2013,AEP Texas Central Co,TX,0,0
2012,AEP Texas Central Co,TX,0,0
2011,AEP Texas Central Co,TX,0,0
2010,AEP Texas Central Co,TX,0,0
2009,AEP Texas Central Co,TX,0,0
2008,AEP Texas Central Co,TX,0,0
2007,AEP Texas Central Co,TX,0,2
2006,AEP Texas Central Co,TX,0,18
2005,AEP Texas Central Co,TX,0,51
2004,AEP Texas Central Co,TX,0,66
2003,AEP Texas Central Co,TX,0,103
2002,AEP Texas Central Co,TX,1423663,685683
2001,AEP Texas Central Co,TX,20153162,682168
2000,AEP Texas Central Co,TX,21106929,672765
1999,AEP Texas Central Co,TX,21303608,661124
1998,AEP Texas Central Co,TX,21192253,642041
1997,AEP Texas Central Co,TX,20102327,627940
1996,AEP Texas Central Co,TX,19561600,616784
1995,AEP Texas Central Co,TX,18593537,605667
1994,AEP Texas Central Co,TX,17844844,592794
2019,AEP Texas Inc,OK,0,0
2018,AEP Texas Inc,OK,0,0
2017,AEP Texas Inc,OK,0,0
2016,AEP Texas North Co,TX,0,1
2015,AEP Texas North Co,TX,0,1
2014,AEP Texas North Co,TX,0,1
2013,AEP Texas North Co,TX,0,1
2012,AEP Texas North Co,TX,0,1
2011,AEP Texas North Co,TX,0,1
2010,AEP Texas North Co,TX,0,1
2009,AEP Texas North Co,TX,0,1
2008,AEP Texas North Co,TX,0,2
2007,AEP Texas North Co,TX,0,7
2006,AEP Texas North Co,TX,0,26
2005,AEP Texas North Co,TX,0,59
2004,AEP Texas North Co,TX,0,44
2003,AEP Texas North Co,TX,0,107
2002,AEP Texas North Co,TX,423500,187209
2001,AEP Texas North Co,TX,4752432,189884
2000,AEP Texas North Co,TX,5017387,190445
1999,AEP Texas North Co,TX,4837210,189116
1998,AEP Texas North Co,TX,5017998,188236
1997,AEP Texas North Co,TX,4837572,187130
1996,AEP Texas North Co,TX,4645225,186108
1995,AEP Texas North Co,TX,4424116,185771
1994,AEP Texas North Co,TX,4432909,183537
2019,AEP West Virginia Transmission Co Inc,OH,0,0
2018,AEP West Virginia Transmission Co Inc,OH,0,0
2017,AEP West Virginia Transmission Co Inc,OH,0,0
2016,AEP West Virginia Transmission Co Inc,OH,0,0
2015,AEP West Virginia Transmission Co Inc,OH,0,0
2014,AEP West Virginia Transmission Co Inc,OH,0,0
2013,AEP West Virginia Transmission Co Inc,OH,0,0
2012,AEP West Virginia Transmission Co Inc,OH,0,0
2011,AEP West Virginia Transmission Co Inc,OH,0,0
2010,AEP West Virginia Transmission Co Inc,OH,0,0
2019,Alabama Power Co,AL,54152400,1488234
2018,Alabama Power Co,AL,55686193,1480475
2017,Alabama Power Co,AL,53709666,1475042
2016,Alabama Power Co,AL,54952074,1468744
2015,Alabama Power Co,AL,55765507,1458602
2014,Alabama Power Co,AL,56854751,1450921
2013,Alabama Power Co,AL,54926566,1444803
2012,Alabama Power Co,AL,53946766,1440488
2011,Alabama Power Co,AL,54703833,1434487
2010,Alabama Power Co,AL,55973891,1436229
2009,Alabama Power Co,AL,51030063,1435611
2008,Alabama Power Co,AL,55207195,1435370
2007,Alabama Power Co,AL,56641831,1425243
2006,Alabama Power Co,AL,56374799,1409748
2005,Alabama Power Co,AL,55683916,1394751
2004,Alabama Power Co,AL,54243900,1379154
2003,Alabama Power Co,AL,52208020,1363159
2002,Alabama Power Co,AL,52073190,1349700
2001,Alabama Power Co,AL,49337806,1336645
2000,Alabama Power Co,AL,52067783,1322207
1999,Alabama Power Co,AL,50157204,1303576
1998,Alabama Power Co,AL,49480816,1285360
1997,Alabama Power Co,AL,46575021,1262044
1996,Alabama Power Co,AL,45690068,1240099
1995,Alabama Power Co,AL,44475876,1221579
1994,Alabama Power Co,AL,42494185,1200260
2019,Alaska Electric Light & Power Co,AK,337796,17280
2018,Alaska Electric Light & Power Co,AK,388979,17165
2017,Alaska Electric Light & Power Co,AK,414210,17005
2016,Alaska Electric Light & Power Co,AK,395154,16853
2015,Alaska Electric Light & Power Co,AK,398066,16671
2014,Alaska Electric Light & Power Co,AK,422784,16464
2013,Alaska Electric Light & Power Co,AK,377005,16266
2012,Alaska Electric Light & Power Co,AK,399144,16180
2011,Alaska Electric Light & Power Co,AK,364710,16102
2010,Alaska Electric Light & Power Co,AK,370843,16034
2009,Alaska Electric Light & Power Co,AK,346506,15991
2008,Alaska Electric Light & Power Co,AK,310176,15918
2007,Alaska Electric Light & Power Co,AK,344761,15865
2006,Alaska Electric Light & Power Co,AK,346840,15698
2005,Alaska Electric Light & Power Co,AK,313347,15511
2004,Alaska Electric Light & Power Co,AK,307512,15392
2003,Alaska Electric Light & Power Co,AK,307588,15261
2002,Alaska Electric Light & Power Co,AK,311548,15113
2001,Alaska Electric Light & Power Co,AK,307737,14945
2000,Alaska Electric Light & Power Co,AK,301830,14765
1999,Alaska Electric Light & Power Co,AK,298983,14623
1998,Alaska Electric Light & Power Co,AK,291973,14467
1997,Alaska Electric Light & Power Co,AK,286783,14137
1996,Alaska Electric Light & Power Co,AK,297400,13840
1995,Alaska Electric Light & Power Co,AK,291827,13405
1994,Alaska Electric Light & Power Co,AK,286134,13071
1999,Alcoa Generating Corp,PA,4569705,2
1998,Alcoa Generating Corp,PA,4572291,2
1997,Alcoa Generating Corp,PA,4545988,1
1996,Alcoa Generating Corp,PA,4514832,2
1995,Alcoa Generating Corp,PA,4517990,2
1994,Alcoa Generating Corp,PA,4534344,2
2019,Alcoa Power Generating Inc,NC,5645805,0
2018,Alcoa Power Generating Inc,NC,5806785,5
2017,Alcoa Power Generating Inc,NC,4011416,7
2016,Alcoa Power Generating Inc,NC,26159270,7
2015,Alcoa Power Generating Inc,NC,7030102,6
2014,Alcoa Power Generating Inc,NC,7040193,8
2013,Alcoa Power Generating Inc,NC,7253457,7
2012,Alcoa Power Generating Inc,NC,7203926,9
2011,Alcoa Power Generating Inc,NC,7056907,8
2010,Alcoa Power Generating Inc,NC,7443251,8
2009,Alcoa Power Generating Inc,NC,7644872,9
2008,Alcoa Power Generating Inc,NC,7226441,8
2007,Alcoa Power Generating Inc,NC,7286481,11
2006,Alcoa Power Generating Inc,NC,7856822,10
2005,Alcoa Power Generating Inc,NC,8217816,10
2004,Alcoa Power Generating Inc,NC,6685409,12
2003,Alcoa Power Generating Inc,NC,6492878,11
2002,Alcoa Power Generating Inc,NC,6660689,13
2001,Alcoa Power Generating Inc,NC,7785407,7
2000,Alcoa Power Generating Inc,NC,8245787,9
1999,Alcoa Power Generating Inc,NC,1275543,1
1998,Alcoa Power Generating Inc,NC,1551477,1
1997,Alcoa Power Generating Inc,NC,1873216,1
1996,Alcoa Power Generating Inc,NC,1727289,1
1995,Alcoa Power Generating Inc,NC,1567312,1
1994,Alcoa Power Generating Inc,NC,2009504,0
2004,Alfalfa Electric Coop Inc,OK,128295,7875
2003,Alfalfa Electric Coop Inc,OK,125251,7867
2002,Alfalfa Electric Coop Inc,OK,127578,7851
2001,Alfalfa Electric Coop Inc,OK,132956,7846
2000,Alfalfa Electric Coop Inc,OK,133627,7841
1999,Alfalfa Electric Coop Inc,OK,123582,7849
2019,Allegheny Generating Co (The),MD,0,0
2018,Allegheny Generating Co (The),MD,0,0
2017,Allegheny Generating Co (The),MD,0,0
2016,Allegheny Generating Co (The),MD,0,0
2015,Allegheny Generating Co (The),MD,0,0
2014,Allegheny Generating Co (The),MD,0,0
2013,Allegheny Generating Co (The),MD,0,0
2012,Allegheny Generating Co (The),MD,0,0
2011,Allegheny Generating Co (The),MD,0,0
2010,Allegheny Generating Co (The),MD,0,0
2009,Allegheny Generating Co (The),MD,0,0
2008,Allegheny Generating Co (The),MD,0,0
2007,Allegheny Generating Co (The),MD,0,2
2006,Allegheny Generating Co (The),MD,0,2
2005,Allegheny Generating Co (The),MD,0,2
2004,Allegheny Generating Co (The),MD,0,2
2003,Allegheny Generating Co (The),MD,0,2
2002,Allegheny Generating Co (The),MD,0,2
2001,Allegheny Generating Co (The),MD,0,0
2000,Allegheny Generating Co (The),MD,0,3
1999,Allegheny Generating Co (The),MD,0,4
1998,Allegheny Generating Co (The),MD,0,3
1997,Allegheny Generating Co (The),MD,0,3
1996,Allegheny Generating Co (The),MD,0,3
1995,Allegheny Generating Co (The),MD,0,3
1994,Allegheny Generating Co (The),MD,0,3
2019,ALLETE Inc,MN,9014805,147357
2018,ALLETE Inc,MN,9027899,146758
2017,ALLETE Inc,MN,8997352,146370
2016,ALLETE Inc,MN,8181382,145639
2015,ALLETE Inc,MN,8424680,145054
2014,ALLETE Inc,MN,9391216,145059
2013,ALLETE Inc,MN,9284816,144600
2012,ALLETE Inc,MN,9388538,143163
2011,ALLETE Inc,MN,9288556,143712
2010,ALLETE Inc,MN,8720911,145661
2009,ALLETE Inc,MN,6417331,143842
2008,ALLETE Inc,MN,9138389,141555
2007,ALLETE Inc,MN,9001242,140750
2006,ALLETE Inc,MN,9077994,139241
2005,ALLETE Inc,MN,9051942,137325
2004,ALLETE Inc,MN,8903621,135681
2003,ALLETE Inc,MN,8425421,133759
2002,ALLETE Inc,MN,8779771,132514
2001,ALLETE Inc,MN,8311392,131427
2000,ALLETE Inc,MN,8906851,129828
1999,ALLETE Inc,MN,8429549,126244
1998,ALLETE Inc,MN,8869801,124891
1997,ALLETE Inc,MN,9256580,122930
1996,ALLETE Inc,MN,9347352,122268
1995,ALLETE Inc,MN,9250576,120557
1994,ALLETE Inc,MN,8382002,120049
2019,Ameren Illinois,MO,36057300,1222335
2018,Ameren Illinois,MO,37116233,1220681
2017,Ameren Illinois,MO,35241466,1221130
2016,Ameren Illinois,MO,36353294,1224649
2015,Ameren Illinois,MO,36062671,1221988
2014,Ameren Illinois,MO,36897391,1223176
2013,Ameren Illinois,MO,36981248,1222570
2012,Ameren Illinois,MO,37641539,1213560
2011,Ameren Illinois,MO,37461740,1206980
2010,Ameren Illinois,MO,37891801,1197805
2019,Ameren Illinois Transmission Co,IL,0,0
2018,Ameren Illinois Transmission Co,IL,0,0
2017,Ameren Illinois Transmission Co,IL,0,0
2016,Ameren Illinois Transmission Co,IL,0,0
2015,Ameren Illinois Transmission Co,IL,0,0
2014,Ameren Illinois Transmission Co,IL,0,0
2013,Ameren Illinois Transmission Co,IL,0,0
2012,Ameren Illinois Transmission Co,IL,0,0
2011,Ameren Illinois Transmission Co,IL,0,0
2019,Ameren Missouri,MO,32119373,1230256
2018,Ameren Missouri,MO,33699583,1223745
2017,Ameren Missouri,MO,31597238,1215799
2016,Ameren Missouri,MO,32872258,1208945
2015,Ameren Missouri,MO,35875728,1203552
2014,Ameren Missouri,MO,37022540,1200017
2013,Ameren Missouri,MO,37030285,1197298
2012,Ameren Missouri,MO,36745908,1193674
2011,Ameren Missouri,MO,37428457,1190483
2010,Ameren Missouri,MO,38427458,1190877
2009,Ameren Missouri,MO,35098274,1187617
2008,Ameren Missouri,MO,37980626,1196124
2007,Ameren Missouri,MO,38827452,1179795
2006,Ameren Missouri,MO,36864186,1170744
2005,Ameren Missouri,MO,37362021,1179627
2004,Ameren Missouri,MO,35649754,1210498
2003,Ameren Missouri,MO,35114117,1236984
2002,Ameren Missouri,MO,35716676,1233582
2001,Ameren Missouri,MO,35117420,1187052
2000,Ameren Missouri,MO,35070847,1178348
1999,Ameren Missouri,MO,33565723,1164141
1998,Ameren Missouri,MO,33993422,1153279
1997,Ameren Missouri,MO,32750794,1142866
1996,Ameren Missouri,MO,32481403,1133606
1995,Ameren Missouri,MO,31608861,1126483
1994,Ameren Missouri,MO,30351916,1115777
2009,AmerenCILCO,IL,5741302,211485
2008,AmerenCILCO,IL,6514201,214343
2007,AmerenCILCO,IL,6391621,210178
2006,AmerenCILCO,IL,6409779,209998
2005,AmerenCILCO,IL,6477456,206281
2004,AmerenCILCO,IL,5734089,205544
2003,AmerenCILCO,IL,9573886,205464
2002,AmerenCILCO,IL,6120984,203352
2001,AmerenCILCO,IL,6025927,203301
2000,AmerenCILCO,IL,5994231,199897
1999,AmerenCILCO,IL,5910714,198109
1998,AmerenCILCO,IL,5789818,195244
1997,AmerenCILCO,IL,5461727,194333
1996,AmerenCILCO,IL,5427626,193589
1995,AmerenCILCO,IL,5666057,191776
1994,AmerenCILCO,IL,5461963,190786
2009,AmerenCIPS,IL,11761525,383115
2008,AmerenCIPS,IL,12430979,392680
2007,AmerenCIPS,IL,12757566,387776
2006,AmerenCIPS,IL,12252530,387935
2005,AmerenCIPS,IL,11529036,368090
2004,AmerenCIPS,IL,7071764,325300
2003,AmerenCIPS,IL,7570504,319777
2002,AmerenCIPS,IL,10468874,325618
2001,AmerenCIPS,IL,10892698,321931
2000,AmerenCIPS,IL,9476844,323568
1999,AmerenCIPS,IL,8538572,319342
1998,AmerenCIPS,IL,8626234,353221
1997,AmerenCIPS,IL,8283049,352024
1996,AmerenCIPS,IL,8304451,320414
1995,AmerenCIPS,IL,8228616,318131
1994,AmerenCIPS,IL,8002452,315784
2009,AmerenIP,IL,17390365,616812
2008,AmerenIP,IL,18259681,626530
2007,AmerenIP,IL,18493029,613536
2006,AmerenIP,IL,18544274,616211
2005,AmerenIP,IL,18978458,605282
2004,AmerenIP,IL,18534876,599432
2003,AmerenIP,IL,18599486,583039
2002,AmerenIP,IL,19142460,573480
2001,AmerenIP,IL,18908012,575399
2000,AmerenIP,IL,18950067,567576
1999,AmerenIP,IL,18215454,566135
1998,AmerenIP,IL,18021714,567760
1997,AmerenIP,IL,17506146,559228
1996,AmerenIP,IL,17536492,557686
1995,AmerenIP,IL,17594558,551843
1994,AmerenIP,IL,17274006,553869
2019,American Transmission Co LLC,WI,0,0
2018,American Transmission Co LLC,WI,0,0
2017,American Transmission Co LLC,WI,0,0
2016,American Transmission Co LLC,WI,0,0
2015,American Transmission Co LLC,WI,0,0
2014,American Transmission Co LLC,WI,0,0
2013,American Transmission Co LLC,WI,0,0
2012,American Transmission Co LLC,WI,0,0
2011,American Transmission Co LLC,WI,0,0
2010,American Transmission Co LLC,WI,0,0
2009,American Transmission Co LLC,WI,0,0
2008,American Transmission Co LLC,WI,0,0
2007,American Transmission Co LLC,WI,0,0
2006,American Transmission Co LLC,WI,0,0
2005,American Transmission Co LLC,WI,0,0
2004,American Transmission Co LLC,WI,0,0
2003,American Transmission Co LLC,WI,0,0
2002,American Transmission Co LLC,WI,0,0
2001,American Transmission Co LLC,WI,0,0
2019,American Transmission Systems Inc,OH,0,0
2018,American Transmission Systems Inc,OH,0,0
2017,American Transmission Systems Inc,OH,0,0
2016,American Transmission Systems Inc,OH,0,0
2015,American Transmission Systems Inc,OH,0,0
2014,American Transmission Systems Inc,OH,0,0
2013,American Transmission Systems Inc,OH,0,0
2012,American Transmission Systems Inc,OH,0,0
2011,American Transmission Systems Inc,OH,0,0
2010,American Transmission Systems Inc,OH,0,0
2009,American Transmission Systems Inc,OH,0,0
2008,American Transmission Systems Inc,OH,0,0
2007,American Transmission Systems Inc,OH,0,0
2006,American Transmission Systems Inc,OH,0,0
2005,American Transmission Systems Inc,OH,0,0
2004,American Transmission Systems Inc,OH,0,0
2003,American Transmission Systems Inc,OH,0,0
2002,American Transmission Systems Inc,OH,0,0
2001,American Transmission Systems Inc,OH,0,0
2000,American Transmission Systems Inc,OH,0,0
2019,Appalachian Power Co,VA,28021094,954688
2018,Appalachian Power Co,VA,28894678,955609
2017,Appalachian Power Co,VA,27593035,955885
2016,Appalachian Power Co,VA,28438239,956754
2015,Appalachian Power Co,VA,28923166,956655
2014,Appalachian Power Co,VA,30183011,958093
2013,Appalachian Power Co,VA,29969669,959389
2012,Appalachian Power Co,VA,29785880,960278
2011,Appalachian Power Co,VA,30565224,961248
2010,Appalachian Power Co,VA,31978163,961336
2009,Appalachian Power Co,VA,30414469,959922
2008,Appalachian Power Co,VA,34209668,957963
2007,Appalachian Power Co,VA,33875411,951798
2006,Appalachian Power Co,VA,32448331,945189
2005,Appalachian Power Co,VA,30327723,938146
2004,Appalachian Power Co,VA,29420661,930609
2003,Appalachian Power Co,VA,28525829,925098
2002,Appalachian Power Co,VA,28943772,920951
2001,Appalachian Power Co,VA,28225769,912089
2000,Appalachian Power Co,VA,28448203,903294
1999,Appalachian Power Co,VA,27933324,892886
1998,Appalachian Power Co,VA,27370385,882573
1997,Appalachian Power Co,VA,27050284,871050
1996,Appalachian Power Co,VA,26624212,861639
1995,Appalachian Power Co,VA,26165482,852596
1994,Appalachian Power Co,VA,25002446,841089
2019,Arizona Public Service Co,AZ,27844577,1260163
2018,Arizona Public Service Co,AZ,27943387,1235489
2017,Arizona Public Service Co,AZ,28018011,1214667
2016,Arizona Public Service Co,AZ,28022002,1193557
2015,Arizona Public Service Co,AZ,27950491,1177541
2014,Arizona Public Service Co,AZ,27584533,1163134
2013,Arizona Public Service Co,AZ,28087605,1147514
2012,Arizona Public Service Co,AZ,28154136,1132345
2011,Arizona Public Service Co,AZ,28210326,1120282
2010,Arizona Public Service Co,AZ,27709463,1115360
2009,Arizona Public Service Co,AZ,28173296,1108829
2008,Arizona Public Service Co,AZ,28793588,1101956
2007,Arizona Public Service Co,AZ,29171321,1086388
2006,Arizona Public Service Co,AZ,27970397,1051972
2005,Arizona Public Service Co,AZ,26477586,1007718
2004,Arizona Public Service Co,AZ,25507883,966267
2003,Arizona Public Service Co,AZ,24562305,931528
2002,Arizona Public Service Co,AZ,23361755,902096
2001,Arizona Public Service Co,AZ,23362146,874603
2000,Arizona Public Service Co,AZ,22400986,837130
1999,Arizona Public Service Co,AZ,20961836,806638
1998,Arizona Public Service Co,AZ,20463083,777674
1997,Arizona Public Service Co,AZ,19816927,748128
1996,Arizona Public Service Co,AZ,19020696,717651
1995,Arizona Public Service Co,AZ,17748711,689166
1994,Arizona Public Service Co,AZ,17464834,663207
1998,Aroostook Valley Electric Co,FL,0,1
1997,Aroostook Valley Electric Co,FL,0,1
1996,Aroostook Valley Electric Co,FL,0,1
1995,Aroostook Valley Electric Co,FL,0,1
1994,Aroostook Valley Electric Co,FL,0,1
2019,Atlantic City Electric Co,DE,8787925,558559
2018,Atlantic City Electric Co,DE,9159778,554881
2017,Atlantic City Electric Co,DE,8584553,551332
2016,Atlantic City Electric Co,DE,9058873,548442
2015,Atlantic City Electric Co,DE,9249001,545783
2014,Atlantic City Electric Co,DE,9051377,545281
2013,Atlantic City Electric Co,DE,9230647,543918
2012,Atlantic City Electric Co,DE,9495149,546795
2011,Atlantic City Electric Co,DE,9683043,547762
2010,Atlantic City Electric Co,DE,10184695,547400
2009,Atlantic City Electric Co,DE,9659416,546236
2008,Atlantic City Electric Co,DE,10088743,545011
2007,Atlantic City Electric Co,DE,10186724,542126
2006,Atlantic City Electric Co,DE,9930532,536415
2005,Atlantic City Electric Co,DE,10080109,528271
2004,Atlantic City Electric Co,DE,9873664,520850
2003,Atlantic City Electric Co,DE,9642644,518011
2002,Atlantic City Electric Co,DE,9392449,511926
2001,Atlantic City Electric Co,DE,9082369,505302
2000,Atlantic City Electric Co,DE,7032933,497299
1999,Atlantic City Electric Co,DE,8831691,491035
1998,Atlantic City Electric Co,DE,8618002,486521
1997,Atlantic City Electric Co,DE,8330990,480960
1996,Atlantic City Electric Co,DE,8262787,475736
1995,Atlantic City Electric Co,DE,8110459,471851
1994,Atlantic City Electric Co,DE,8082835,466189
2017,Attala Transmission LLC,LA,0,0
2016,Attala Transmission LLC,LA,0,0
2015,Attala Transmission LLC,LA,0,0
2014,Attala Transmission LLC,LA,0,0
2013,Attala Transmission LLC,LA,0,0
2012,Attala Transmission LLC,LA,0,0
2011,Attala Transmission LLC,LA,0,0
2010,Attala Transmission LLC,LA,0,0
2009,Attala Transmission LLC,LA,0,0
2008,Attala Transmission LLC,LA,0,0
2007,Attala Transmission LLC,LA,0,0
2006,Attala Transmission LLC,LA,0,0
2019,Avista Corp,WA,9015988,390059
2018,Avista Corp,WA,8587539,384976
2017,Avista Corp,WA,8910726,379027
2016,Avista Corp,WA,8509330,374507
2015,Avista Corp,WA,8615654,373614
2014,Avista Corp,WA,8788922,367195
2013,Avista Corp,WA,8909409,363312
2012,Avista Corp,WA,8873005,360553
2011,Avista Corp,WA,9035133,358303
2010,Avista Corp,WA,8856389,356682
2009,Avista Corp,WA,8954984,355078
2008,Avista Corp,WA,9029319,352352
2007,Avista Corp,WA,8924726,347097
2006,Avista Corp,WA,8787002,340732
2005,Avista Corp,WA,8542674,333260
2004,Avista Corp,WA,8376616,327092
2003,Avista Corp,WA,8041166,321725
2002,Avista Corp,WA,7598029,317594
2001,Avista Corp,WA,8031037,314241
2000,Avista Corp,WA,8251809,310044
1999,Avista Corp,WA,8156926,306595
1998,Avista Corp,WA,7944343,301980
1997,Avista Corp,WA,7782847,297198
1996,Avista Corp,WA,7794298,292366
1995,Avista Corp,WA,7582295,287133
1994,Avista Corp,WA,7253800,270533
2019,Baltimore Gas & Electric Co,MD,29683784,1299421
2018,Baltimore Gas & Electric Co,MD,30223770,1282599
2017,Baltimore Gas & Electric Co,MD,28970770,1281044
2016,Baltimore Gas & Electric Co,MD,30019586,1268995
2015,Baltimore Gas & Electric Co,MD,30304293,1257765
2014,Baltimore Gas & Electric Co,MD,30562078,1248747
2013,Baltimore Gas & Electric Co,MD,30767778,1243697
2012,Baltimore Gas & Electric Co,MD,30993938,1240986
2011,Baltimore Gas & Electric Co,MD,31808754,1240291
2010,Baltimore Gas & Electric Co,MD,32864415,1236939
2009,Baltimore Gas & Electric Co,MD,31576198,1234644
2008,Baltimore Gas & Electric Co,MD,31962976,1229181
2007,Baltimore Gas & Electric Co,MD,33112456,1221284
2006,Baltimore Gas & Electric Co,MD,32057633,1209559
2005,Baltimore Gas & Electric Co,MD,33312070,1198259
2004,Baltimore Gas & Electric Co,MD,32356558,1186350
2003,Baltimore Gas & Electric Co,MD,32008723,1174278
2002,Baltimore Gas & Electric Co,MD,31729169,1162033
2001,Baltimore Gas & Electric Co,MD,30306138,1153343
2000,Baltimore Gas & Electric Co,MD,30193096,1140309
1999,Baltimore Gas & Electric Co,MD,29264078,1126035
1998,Baltimore Gas & Electric Co,MD,28766637,1116652
1997,Baltimore Gas & Electric Co,MD,28098537,1108872
1996,Baltimore Gas & Electric Co,MD,28429686,1100208
1995,Baltimore Gas & Electric Co,MD,28191647,1090970
1994,Baltimore Gas & Electric Co,MD,27453754,1079299
1998,Beebee Island Corp,NY,0,0
1997,Beebee Island Corp,NY,0,0
1996,Beebee Island Corp,NY,7279,2
1995,Beebee Island Corp,NY,0,2
1994,Beebee Island Corp,NY,0,2
2013,BHE Holdings Inc,ME,0,0
2012,BHE Holdings Inc,ME,0,0
2011,BHE Holdings Inc,ME,0,0
2010,BHE Holdings Inc,ME,0,0
2009,BHE Holdings Inc,ME,0,0
2008,BHE Holdings Inc,ME,0,0
2007,BHE Holdings Inc,ME,0,0
2006,BHE Holdings Inc,ME,0,0
2005,BHE Holdings Inc,ME,0,0
2004,BHE Holdings Inc,ME,0,0
2003,BHE Holdings Inc,ME,0,0
2002,BHE Holdings Inc,ME,0,0
2001,BHE Holdings Inc,ME,0,0
2000,BHE Holdings Inc,ME,109596,35432
